,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
23,Joe Pavelski (C/RW),San Jose Sharks,81,29,39,68,0.84,34,11,https://www.eliteprospects.com/player/10372/joe-pavelski,2016-2015,nhl,Joe Pavelski ,C/RW
24,Henrik Zetterberg (C),Detroit Red Wings,82,17,51,68,0.83,22,15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2016-2015,nhl,Henrik Zetterberg ,C
25,Max Pacioretty (LW),Montréal Canadiens,81,35,32,67,0.83,38,15,https://www.eliteprospects.com/player/12461/max-pacioretty,2016-2015,nhl,Max Pacioretty ,LW
26,Jeff Carter (C),Los Angeles Kings,82,32,34,66,0.81,41,2,https://www.eliteprospects.com/player/8813/jeff-carter,2016-2015,nhl,Jeff Carter ,C
27,John Tavares (C),New York Islanders,77,28,38,66,0.86,38,4,https://www.eliteprospects.com/player/9223/john-tavares,2016-2015,nhl,John Tavares ,C
28,Eric Staal (C),Minnesota Wild,82,28,37,65,0.79,34,17,https://www.eliteprospects.com/player/3656/eric-staal,2016-2015,nhl,Eric Staal ,C
29,Patrik Laine (LW/RW),Winnipeg Jets,73,36,28,64,0.88,26,7,https://www.eliteprospects.com/player/221667/patrik-laine,2016-2015,nhl,Patrik Laine ,LW/RW
30,Nikolaj Ehlers (LW),Winnipeg Jets,82,25,39,64,0.78,38,1,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,2016-2015,nhl,Nikolaj Ehlers ,LW
31,Jeff Skinner (LW/C),Carolina Hurricanes,79,37,26,63,0.80,28,-3,https://www.eliteprospects.com/player/23668/jeff-skinner,2016-2015,nhl,Jeff Skinner ,LW/C
32,Cam Atkinson (RW),Columbus Blue Jackets,82,35,27,62,0.76,22,13,https://www.eliteprospects.com/player/19166/cam-atkinson,2016-2015,nhl,Cam Atkinson ,RW
33,James van Riemsdyk (LW),Toronto Maple Leafs,82,29,33,62,0.76,37,-2,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2016-2015,nhl,James van Riemsdyk ,LW
34,Nazem Kadri (C),Toronto Maple Leafs,82,32,29,61,0.74,95,-7,https://www.eliteprospects.com/player/14728/nazem-kadri,2016-2015,nhl,Nazem Kadri ,C
35,Viktor Arvidsson (LW/RW),Nashville Predators,80,31,30,61,0.76,28,16,https://www.eliteprospects.com/player/27484/viktor-arvidsson,2016-2015,nhl,Viktor Arvidsson ,LW/RW
36,Mike Hoffman (LW/C),Ottawa Senators,74,26,35,61,0.82,51,17,https://www.eliteprospects.com/player/18800/mike-hoffman,2016-2015,nhl,Mike Hoffman ,LW/C
37,William Nylander (RW),Toronto Maple Leafs,81,22,39,61,0.75,32,-3,https://www.eliteprospects.com/player/38703/william-nylander,2016-2015,nhl,William Nylander ,RW
38,Jakub Voracek (RW),Philadelphia Flyers,82,20,41,61,0.74,56,-24,https://www.eliteprospects.com/player/9285/jakub-voracek,2016-2015,nhl,Jakub Voracek ,RW
39,Mitchell Marner (RW),Toronto Maple Leafs,77,19,42,61,0.79,38,0,https://www.eliteprospects.com/player/223194/mitchell-marner,2016-2015,nhl,Mitchell Marner ,RW
40,Johnny Gaudreau (LW),Calgary Flames,72,18,43,61,0.85,4,-7,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2016-2015,nhl,Johnny Gaudreau ,LW
41,Ryan Johansen (C),Nashville Predators,82,14,47,61,0.74,60,1,https://www.eliteprospects.com/player/45512/ryan-johansen,2016-2015,nhl,Ryan Johansen ,C
42,Yevgeni Kuznetsov (C),Washington Capitals,82,19,40,59,0.72,46,18,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2016-2015,nhl,Yevgeni Kuznetsov ,C
43,Mats Zuccarello (RW/LW),New York Rangers,80,15,44,59,0.74,26,15,https://www.eliteprospects.com/player/10881/mats-zuccarello,2016-2015,nhl,Mats Zuccarello ,RW/LW
44,Alexander Wennberg (C),Columbus Blue Jackets,80,13,46,59,0.74,21,9,https://www.eliteprospects.com/player/37041/alexander-wennberg,2016-2015,nhl,Alexander Wennberg ,C
45,Filip Forsberg (W/C),Nashville Predators,82,31,27,58,0.71,32,-4,https://www.eliteprospects.com/player/29626/filip-forsberg,2016-2015,nhl,Filip Forsberg ,W/C
46,Sean Monahan (C),Calgary Flames,82,27,31,58,0.71,20,-1,https://www.eliteprospects.com/player/85013/sean-monahan,2016-2015,nhl,Sean Monahan ,C
47,Marcus Johansson (C/LW),Washington Capitals,82,24,34,58,0.71,10,25,https://www.eliteprospects.com/player/6225/marcus-johansson,2016-2015,nhl,Marcus Johansson ,C/LW
48,Ryan Kesler (C),Anaheim Ducks,82,22,36,58,0.71,83,8,https://www.eliteprospects.com/player/9014/ryan-kesler,2016-2015,nhl,Ryan Kesler ,C
49,Jonathan Toews (C),Chicago Blackhawks,72,21,37,58,0.81,35,7,https://www.eliteprospects.com/player/8792/jonathan-toews,2016-2015,nhl,Jonathan Toews ,C
50,Mikko Koivu (C),Minnesota Wild,80,18,40,58,0.73,34,27,https://www.eliteprospects.com/player/2696/mikko-koivu,2016-2015,nhl,Mikko Koivu ,C
51,Claude Giroux (W/C),Philadelphia Flyers,82,14,44,58,0.71,38,-15,https://www.eliteprospects.com/player/10437/claude-giroux,2016-2015,nhl,Claude Giroux ,W/C
52,Nino Niederreiter (RW/LW),Minnesota Wild,82,25,32,57,0.70,53,17,https://www.eliteprospects.com/player/17679/nino-niederreiter,2016-2015,nhl,Nino Niederreiter ,RW/LW
53,Jack Eichel (C),Buffalo Sabres,61,24,33,57,0.93,22,-13,https://www.eliteprospects.com/player/191959/jack-eichel,2016-2015,nhl,Jack Eichel ,C
54,T.J. Oshie (RW),Washington Capitals,68,33,23,56,0.82,36,28,https://www.eliteprospects.com/player/9209/t.j.-oshie,2016-2015,nhl,T.J. Oshie ,RW
55,J.T. Miller (C/W),New York Rangers,82,22,34,56,0.68,21,17,https://www.eliteprospects.com/player/38624/j.t.-miller,2016-2015,nhl,J.T. Miller ,C/W
56,Charlie Coyle (C/RW),Minnesota Wild,82,18,38,56,0.68,36,13,https://www.eliteprospects.com/player/60251/charlie-coyle,2016-2015,nhl,Charlie Coyle ,C/RW
57,Kevin Shattenkirk (D),totals,80,13,43,56,0.70,47,-7,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2016-2015,nhl,Kevin Shattenkirk ,D
58,Josh Bailey (RW/C),New York Islanders,82,13,43,56,0.68,12,5,https://www.eliteprospects.com/player/14013/josh-bailey,2016-2015,nhl,Josh Bailey ,RW/C
59,Kyle Turris (C/RW),Ottawa Senators,78,27,28,55,0.71,47,-3,https://www.eliteprospects.com/player/11345/kyle-turris,2016-2015,nhl,Kyle Turris ,C/RW
60,Brayden Schenn (C/W),Philadelphia Flyers,79,25,30,55,0.70,38,-13,https://www.eliteprospects.com/player/14739/brayden-schenn,2016-2015,nhl,Brayden Schenn ,C/W
61,Ryan O'Reilly (C),Buffalo Sabres,72,20,35,55,0.76,10,-1,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2016-2015,nhl,Ryan O'Reilly ,C
62,Radim Vrbata (RW),Arizona Coyotes,81,20,35,55,0.68,16,-18,https://www.eliteprospects.com/player/8626/radim-vrbata,2016-2015,nhl,Radim Vrbata ,RW
63,Jaden Schwartz (LW),St. Louis Blues,78,19,36,55,0.71,18,14,https://www.eliteprospects.com/player/33907/jaden-schwartz,2016-2015,nhl,Jaden Schwartz ,LW
64,Tyler Bozak (C),Toronto Maple Leafs,78,18,37,55,0.71,30,-1,https://www.eliteprospects.com/player/11589/tyler-bozak,2016-2015,nhl,Tyler Bozak ,C
65,Derek Stepan (C),New York Rangers,81,17,38,55,0.68,16,19,https://www.eliteprospects.com/player/19040/derek-stepan,2016-2015,nhl,Derek Stepan ,C
66,Wayne Simmonds (RW),Philadelphia Flyers,82,31,23,54,0.66,122,-18,https://www.eliteprospects.com/player/12517/wayne-simmonds,2016-2015,nhl,Wayne Simmonds ,RW
67,David Krejci (C),Boston Bruins,82,23,31,54,0.66,26,-12,https://www.eliteprospects.com/player/9226/david-krejci,2016-2015,nhl,David Krejci ,C
68,Vincent Trocheck (C),Florida Panthers,82,23,31,54,0.66,43,-13,https://www.eliteprospects.com/player/45560/vincent-trocheck,2016-2015,nhl,Vincent Trocheck ,C
69,Mark Stone (RW),Ottawa Senators,71,22,32,54,0.76,25,12,https://www.eliteprospects.com/player/32806/mark-stone,2016-2015,nhl,Mark Stone ,RW
70,Alexander Radulov (RW),Montréal Canadiens,76,18,36,54,0.71,62,10,https://www.eliteprospects.com/player/8794/alexander-radulov,2016-2015,nhl,Alexander Radulov ,RW
71,Chris Kreider (LW),New York Rangers,75,28,25,53,0.71,58,6,https://www.eliteprospects.com/player/37998/chris-kreider,2016-2015,nhl,Chris Kreider ,LW
72,Kyle Palmieri (RW),New Jersey Devils,80,26,27,53,0.66,46,2,https://www.eliteprospects.com/player/17508/kyle-palmieri,2016-2015,nhl,Kyle Palmieri ,RW
73,Brandon Saad (LW/RW),Columbus Blue Jackets,82,24,29,53,0.65,8,23,https://www.eliteprospects.com/player/31264/brandon-saad,2016-2015,nhl,Brandon Saad ,LW/RW
74,Conor Sheary (LW/RW),Pittsburgh Penguins,61,23,30,53,0.87,22,24,https://www.eliteprospects.com/player/94484/conor-sheary,2016-2015,nhl,Conor Sheary ,LW/RW
75,Mikael Backlund (C),Calgary Flames,81,22,31,53,0.65,36,9,https://www.eliteprospects.com/player/4295/mikael-backlund,2016-2015,nhl,Mikael Backlund ,C
76,Jonathan Drouin (LW/C),Tampa Bay Lightning,73,21,32,53,0.73,16,-13,https://www.eliteprospects.com/player/118657/jonathan-drouin,2016-2015,nhl,Jonathan Drouin ,LW/C
77,Patrice Bergeron (C),Boston Bruins,79,21,32,53,0.67,24,12,https://www.eliteprospects.com/player/9079/patrice-bergeron,2016-2015,nhl,Patrice Bergeron ,C
78,Taylor Hall (LW),New Jersey Devils,72,20,33,53,0.74,32,-9,https://www.eliteprospects.com/player/14360/taylor-hall,2016-2015,nhl,Taylor Hall ,LW
79,Corey Perry (RW),Anaheim Ducks,82,19,34,53,0.65,76,2,https://www.eliteprospects.com/player/8541/corey-perry,2016-2015,nhl,Corey Perry ,RW
80,Nathan MacKinnon (C/RW),Colorado Avalanche,82,16,37,53,0.65,16,-14,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2016-2015,nhl,Nathan MacKinnon ,C/RW
81,Duncan Keith (D),Chicago Blackhawks,80,6,47,53,0.66,16,22,https://www.eliteprospects.com/player/9012/duncan-keith,2016-2015,nhl,Duncan Keith ,D
82,Anders Lee (LW),New York Islanders,81,34,18,52,0.64,56,9,https://www.eliteprospects.com/player/19068/anders-lee,2016-2015,nhl,Anders Lee ,LW
83,Logan Couture (C),San Jose Sharks,73,25,27,52,0.71,12,11,https://www.eliteprospects.com/player/11109/logan-couture,2016-2015,nhl,Logan Couture ,C
84,Aleksander Barkov (C),Florida Panthers,61,21,31,52,0.85,10,13,https://www.eliteprospects.com/player/50044/aleksander-barkov,2016-2015,nhl,Aleksander Barkov ,C
85,Bo Horvat (C),Vancouver Canucks,81,20,32,52,0.64,27,-7,https://www.eliteprospects.com/player/117012/bo-horvat,2016-2015,nhl,Bo Horvat ,C
86,Ondrej Palat (LW),Tampa Bay Lightning,75,17,35,52,0.69,39,8,https://www.eliteprospects.com/player/18097/ondrej-palat,2016-2015,nhl,Ondrej Palat ,LW
87,Dustin Byfuglien (D),Winnipeg Jets,80,13,39,52,0.65,117,10,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2016-2015,nhl,Dustin Byfuglien ,D
88,Anze Kopitar (C),Los Angeles Kings,76,12,40,52,0.68,28,-10,https://www.eliteprospects.com/player/4233/anze-kopitar,2016-2015,nhl,Anze Kopitar ,C
89,Rickard Rakell (W/C),Anaheim Ducks,71,33,18,51,0.72,12,10,https://www.eliteprospects.com/player/17435/rickard-rakell,2016-2015,nhl,Rickard Rakell ,W/C
90,Patrick Eaves (RW/LW),totals,79,32,19,51,0.65,24,-2,https://www.eliteprospects.com/player/9144/patrick-eaves,2016-2015,nhl,Patrick Eaves ,RW/LW
91,Jonathan Marchessault (LW/RW),Florida Panthers,75,30,21,51,0.68,38,-21,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2016-2015,nhl,Jonathan Marchessault ,LW/RW
92,Nick Foligno (LW/RW),Columbus Blue Jackets,79,26,25,51,0.65,55,-4,https://www.eliteprospects.com/player/10675/nick-foligno,2016-2015,nhl,Nick Foligno ,LW/RW
93,Jordan Eberle (RW),Edmonton Oilers,82,20,31,51,0.62,16,3,https://www.eliteprospects.com/player/11098/jordan-eberle,2016-2015,nhl,Jordan Eberle ,RW
94,Alexander Steen (LW/RW),St. Louis Blues,76,16,35,51,0.67,53,-2,https://www.eliteprospects.com/player/460/alexander-steen,2016-2015,nhl,Alexander Steen ,LW/RW
95,Justin Schultz (D),Pittsburgh Penguins,78,12,39,51,0.65,34,27,https://www.eliteprospects.com/player/18241/justin-schultz,2016-2015,nhl,Justin Schultz ,D
96,Torey Krug (D),Boston Bruins,81,8,43,51,0.63,37,-10,https://www.eliteprospects.com/player/37747/torey-krug,2016-2015,nhl,Torey Krug ,D
97,Milan Lucic (LW),Edmonton Oilers,82,23,27,50,0.61,50,-3,https://www.eliteprospects.com/player/11104/milan-lucic,2016-2015,nhl,Milan Lucic ,LW
98,Sam Gagner (C/RW),Columbus Blue Jackets,81,18,32,50,0.62,22,10,https://www.eliteprospects.com/player/10425/sam-gagner,2016-2015,nhl,Sam Gagner ,C/RW
99,Jason Spezza (C),Dallas Stars,68,15,35,50,0.74,29,-18,https://www.eliteprospects.com/player/3661/jason-spezza,2016-2015,nhl,Jason Spezza ,C
100,Henrik Sedin (C),Vancouver Canucks,82,15,35,50,0.61,28,-27,https://www.eliteprospects.com/player/738/henrik-sedin,2016-2015,nhl,Henrik Sedin ,C
101,Dougie Hamilton (D),Calgary Flames,81,13,37,50,0.62,64,12,https://www.eliteprospects.com/player/45596/dougie-hamilton,2016-2015,nhl,Dougie Hamilton ,D
102,Joe Thornton (C),San Jose Sharks,79,7,43,50,0.63,51,7,https://www.eliteprospects.com/player/3670/joe-thornton,2016-2015,nhl,Joe Thornton ,C
103,Sebastian Aho (C/LW),Carolina Hurricanes,82,24,25,49,0.60,26,-1,https://www.eliteprospects.com/player/152111/sebastian-aho,2016-2015,nhl,Sebastian Aho ,C/LW
104,Jakob Silfverberg (RW/LW),Anaheim Ducks,79,23,26,49,0.62,20,10,https://www.eliteprospects.com/player/6562/jakob-silfverberg,2016-2015,nhl,Jakob Silfverberg ,RW/LW
105,Kevin Hayes (C),New York Rangers,76,17,32,49,0.65,18,10,https://www.eliteprospects.com/player/40243/kevin-hayes,2016-2015,nhl,Kevin Hayes ,C
106,John Klingberg (D),Dallas Stars,80,13,36,49,0.61,34,2,https://www.eliteprospects.com/player/21717/john-klingberg,2016-2015,nhl,John Klingberg ,D
107,Roman Josi (D),Nashville Predators,72,12,37,49,0.68,18,7,https://www.eliteprospects.com/player/12668/roman-josi,2016-2015,nhl,Roman Josi ,D
108,Justin Williams (RW),Washington Capitals,80,24,24,48,0.60,50,14,https://www.eliteprospects.com/player/4506/justin-williams,2016-2015,nhl,Justin Williams ,RW
109,Thomas Vanek (LW/RW),totals,68,17,31,48,0.71,22,-5,https://www.eliteprospects.com/player/8493/thomas-vanek,2016-2015,nhl,Thomas Vanek ,LW/RW
110,Alex Pietrangelo (D),St. Louis Blues,80,14,34,48,0.60,24,3,https://www.eliteprospects.com/player/11317/alex-pietrangelo,2016-2015,nhl,Alex Pietrangelo ,D
111,Matthew Tkachuk (LW/RW),Calgary Flames,76,13,35,48,0.63,105,14,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2016-2015,nhl,Matthew Tkachuk ,LW/RW
112,Gustav Nyquist (C/W),Detroit Red Wings,76,12,36,48,0.63,18,0,https://www.eliteprospects.com/player/6223/gustav-nyquist,2016-2015,nhl,Gustav Nyquist ,C/W
113,Jason Zucker (LW/RW),Minnesota Wild,79,22,25,47,0.60,30,34,https://www.eliteprospects.com/player/20726/jason-zucker,2016-2015,nhl,Jason Zucker ,LW/RW
114,Bryan Little (C),Winnipeg Jets,59,21,26,47,0.80,18,-7,https://www.eliteprospects.com/player/10426/bryan-little,2016-2015,nhl,Bryan Little ,C
115,Sam Reinhart (C/RW),Buffalo Sabres,79,17,30,47,0.60,8,-11,https://www.eliteprospects.com/player/95032/sam-reinhart,2016-2015,nhl,Sam Reinhart ,C/RW
116,Jason Pominville (RW),Minnesota Wild,78,13,34,47,0.60,4,2,https://www.eliteprospects.com/player/8809/jason-pominville,2016-2015,nhl,Jason Pominville ,RW
117,Zach Werenski (D),Columbus Blue Jackets,78,11,36,47,0.60,14,17,https://www.eliteprospects.com/player/186311/zach-werenski,2016-2015,nhl,Zach Werenski ,D
118,Patrick Marleau (LW),San Jose Sharks,82,27,19,46,0.56,28,4,https://www.eliteprospects.com/player/3671/patrick-marleau,2016-2015,nhl,Patrick Marleau ,LW
119,Tomas Tatar (LW/RW),Detroit Red Wings,82,25,21,46,0.56,26,-8,https://www.eliteprospects.com/player/17750/tomas-tatar,2016-2015,nhl,Tomas Tatar ,LW/RW
120,David Perron (LW/RW),St. Louis Blues,82,18,28,46,0.56,54,-2,https://www.eliteprospects.com/player/11123/david-perron,2016-2015,nhl,David Perron ,LW/RW
121,Jaromír Jágr (RW),Florida Panthers,82,16,30,46,0.56,56,2,https://www.eliteprospects.com/player/8627/jaromir-jagr,2016-2015,nhl,Jaromír Jágr ,RW
122,Nick Leddy (D),New York Islanders,81,11,35,46,0.57,12,-3,https://www.eliteprospects.com/player/38067/nick-leddy,2016-2015,nhl,Nick Leddy ,D
123,Marián Hossa (RW),Chicago Blackhawks,73,26,19,45,0.62,8,7,https://www.eliteprospects.com/player/4720/marian-hossa,2016-2015,nhl,Marián Hossa ,RW
124,Artyom Anisimov (C),Chicago Blackhawks,64,22,23,45,0.70,30,9,https://www.eliteprospects.com/player/9300/artyom-anisimov,2016-2015,nhl,Artyom Anisimov ,C
125,Brock Nelson (C),New York Islanders,81,20,25,45,0.56,36,-6,https://www.eliteprospects.com/player/74997/brock-nelson,2016-2015,nhl,Brock Nelson ,C
126,Kyle Okposo (RW/C),Buffalo Sabres,65,19,26,45,0.69,24,-7,https://www.eliteprospects.com/player/10458/kyle-okposo,2016-2015,nhl,Kyle Okposo ,RW/C
127,Tyler Johnson (C),Tampa Bay Lightning,66,19,26,45,0.68,28,-5,https://www.eliteprospects.com/player/12078/tyler-johnson,2016-2015,nhl,Tyler Johnson ,C
128,Jordan Staal (C),Carolina Hurricanes,75,16,29,45,0.60,38,-1,https://www.eliteprospects.com/player/10157/jordan-staal,2016-2015,nhl,Jordan Staal ,C
129,Victor Rask (C/LW),Carolina Hurricanes,82,16,29,45,0.55,16,-10,https://www.eliteprospects.com/player/15747/victor-rask,2016-2015,nhl,Victor Rask ,C/LW
130,Travis Zajac (C),New Jersey Devils,80,14,31,45,0.56,33,-8,https://www.eliteprospects.com/player/10232/travis-zajac,2016-2015,nhl,Travis Zajac ,C
131,Mathieu Perreault (C),Winnipeg Jets,65,13,32,45,0.69,30,-11,https://www.eliteprospects.com/player/10441/mathieu-perreault,2016-2015,nhl,Mathieu Perreault ,C
132,Elias Lindholm (C),Carolina Hurricanes,72,11,34,45,0.63,16,-2,https://www.eliteprospects.com/player/33387/elias-lindholm,2016-2015,nhl,Elias Lindholm ,C
133,Rasmus Ristolainen (D),Buffalo Sabres,79,6,39,45,0.57,58,-9,https://www.eliteprospects.com/player/43497/rasmus-ristolainen,2016-2015,nhl,Rasmus Ristolainen ,D
134,Tanner Pearson (LW),Los Angeles Kings,80,24,20,44,0.55,13,5,https://www.eliteprospects.com/player/75951/tanner-pearson,2016-2015,nhl,Tanner Pearson ,LW
135,Richard Pánik (RW/LW),Chicago Blackhawks,82,22,22,44,0.54,58,14,https://www.eliteprospects.com/player/11849/richard-panik,2016-2015,nhl,Richard Pánik ,RW/LW
136,Patric Hörnqvist (RW),Pittsburgh Penguins,70,21,23,44,0.63,28,16,https://www.eliteprospects.com/player/3683/patric-hornqvist,2016-2015,nhl,Patric Hörnqvist ,RW
137,Alex Galchenyuk (C/LW),Montréal Canadiens,61,17,27,44,0.72,24,-5,https://www.eliteprospects.com/player/74611/alex-galchenyuk,2016-2015,nhl,Alex Galchenyuk ,C/LW
138,Michael Frolík (RW/LW),Calgary Flames,82,17,27,44,0.54,58,13,https://www.eliteprospects.com/player/8701/michael-frolik,2016-2015,nhl,Michael Frolík ,RW/LW
139,Daniel Sedin (LW),Vancouver Canucks,82,15,29,44,0.54,32,-16,https://www.eliteprospects.com/player/737/daniel-sedin,2016-2015,nhl,Daniel Sedin ,LW
140,Drew Doughty (D),Los Angeles Kings,82,12,32,44,0.54,46,8,https://www.eliteprospects.com/player/10430/drew-doughty,2016-2015,nhl,Drew Doughty ,D
141,Evander Kane (LW),Buffalo Sabres,70,28,15,43,0.61,113,-17,https://www.eliteprospects.com/player/14657/evander-kane,2016-2015,nhl,Evander Kane ,LW
142,Paul Byron (LW/C),Montréal Canadiens,81,22,21,43,0.53,29,21,https://www.eliteprospects.com/player/15036/paul-byron,2016-2015,nhl,Paul Byron ,LW/C
143,Ryan Nugent-Hopkins (C),Edmonton Oilers,82,18,25,43,0.52,29,-10,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2016-2015,nhl,Ryan Nugent-Hopkins ,C
144,Jake Gardiner (D),Toronto Maple Leafs,82,9,34,43,0.52,34,24,https://www.eliteprospects.com/player/18592/jake-gardiner,2016-2015,nhl,Jake Gardiner ,D
145,Pat Maroon (LW),Edmonton Oilers,81,27,15,42,0.52,95,13,https://www.eliteprospects.com/player/12063/pat-maroon,2016-2015,nhl,Pat Maroon ,LW
146,Zach Parise (LW/RW),Minnesota Wild,69,19,23,42,0.61,30,-3,https://www.eliteprospects.com/player/8903/zach-parise,2016-2015,nhl,Zach Parise ,LW/RW
147,Mike Fisher (C),Nashville Predators,72,18,24,42,0.58,55,1,https://www.eliteprospects.com/player/8771/mike-fisher,2016-2015,nhl,Mike Fisher ,C
148,Shea Weber (D),Montréal Canadiens,78,17,25,42,0.54,38,20,https://www.eliteprospects.com/player/9505/shea-weber,2016-2015,nhl,Shea Weber ,D
149,Teuvo Teräväinen (W/C),Carolina Hurricanes,81,15,27,42,0.52,16,-6,https://www.eliteprospects.com/player/44567/teuvo-teravainen,2016-2015,nhl,Teuvo Teräväinen ,W/C
150,Seth Jones (D),Columbus Blue Jackets,75,12,30,42,0.56,24,6,https://www.eliteprospects.com/player/90355/seth-jones,2016-2015,nhl,Seth Jones ,D
151,Valtteri Filppula (C/LW),totals,79,12,30,42,0.53,26,-1,https://www.eliteprospects.com/player/3197/valtteri-filppula,2016-2015,nhl,Valtteri Filppula ,C/LW
152,Ryan McDonagh (D),New York Rangers,77,6,36,42,0.55,37,20,https://www.eliteprospects.com/player/11458/ryan-mcdonagh,2016-2015,nhl,Ryan McDonagh ,D
153,James Neal (LW),Nashville Predators,70,23,18,41,0.59,35,-10,https://www.eliteprospects.com/player/9362/james-neal,2016-2015,nhl,James Neal ,LW
154,Matt Duchene (C/RW),Colorado Avalanche,77,18,23,41,0.53,12,-34,https://www.eliteprospects.com/player/12571/matt-duchene,2016-2015,nhl,Matt Duchene ,C/RW
155,Frans Nielsen (C),Detroit Red Wings,79,17,24,41,0.52,18,-19,https://www.eliteprospects.com/player/210/frans-nielsen,2016-2015,nhl,Frans Nielsen ,C
