,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
0,Leon Draisaitl (C/W),Edmonton Oilers,71,43,67,110,1.55,18,-7,https://www.eliteprospects.com/player/71913/leon-draisaitl,2019-2018,nhl,Leon Draisaitl ,C/W
1,Connor McDavid (C),Edmonton Oilers,64,34,63,97,1.52,28,-6,https://www.eliteprospects.com/player/183442/connor-mcdavid,2019-2018,nhl,Connor McDavid ,C
2,David Pastrnak (RW),Boston Bruins,70,48,47,95,1.36,40,21,https://www.eliteprospects.com/player/130383/david-pastrnak,2019-2018,nhl,David Pastrnak ,RW
3,Artemi Panarin (LW),New York Rangers,69,32,63,95,1.38,20,36,https://www.eliteprospects.com/player/24664/artemi-panarin,2019-2018,nhl,Artemi Panarin ,LW
4,Nathan MacKinnon (C/RW),Colorado Avalanche,69,35,58,93,1.35,12,13,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2019-2018,nhl,Nathan MacKinnon ,C/RW
5,Brad Marchand (W/C),Boston Bruins,70,28,59,87,1.24,82,25,https://www.eliteprospects.com/player/10439/brad-marchand,2019-2018,nhl,Brad Marchand ,W/C
6,Nikita Kucherov (RW),Tampa Bay Lightning,68,33,52,85,1.25,38,26,https://www.eliteprospects.com/player/77237/nikita-kucherov,2019-2018,nhl,Nikita Kucherov ,RW
7,Patrick Kane (RW),Chicago Blackhawks,70,33,51,84,1.20,40,8,https://www.eliteprospects.com/player/9326/patrick-kane,2019-2018,nhl,Patrick Kane ,RW
8,Auston Matthews (C),Toronto Maple Leafs,70,47,33,80,1.14,8,19,https://www.eliteprospects.com/player/199898/auston-matthews,2019-2018,nhl,Auston Matthews ,C
9,Jack Eichel (C),Buffalo Sabres,68,36,42,78,1.15,34,5,https://www.eliteprospects.com/player/191959/jack-eichel,2019-2018,nhl,Jack Eichel ,C
10,Jonathan Huberdeau (LW),Florida Panthers,69,23,55,78,1.13,30,5,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2019-2018,nhl,Jonathan Huberdeau ,LW
11,Mika Zibanejad (C),New York Rangers,57,41,34,75,1.32,14,9,https://www.eliteprospects.com/player/23856/mika-zibanejad,2019-2018,nhl,Mika Zibanejad ,C
12,John Carlson (D),Washington Capitals,69,15,60,75,1.09,26,12,https://www.eliteprospects.com/player/18590/john-carlson,2019-2018,nhl,John Carlson ,D
13,Yevgeni Malkin (C),Pittsburgh Penguins,55,25,49,74,1.35,58,7,https://www.eliteprospects.com/player/4231/yevgeni-malkin,2019-2018,nhl,Yevgeni Malkin ,C
14,Kyle Connor (LW),Winnipeg Jets,71,38,35,73,1.03,34,4,https://www.eliteprospects.com/player/177671/kyle-connor,2019-2018,nhl,Kyle Connor ,LW
