,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
68,Brandon Saad (LW/RW),Columbus Blue Jackets,78,31,22,53,0.68,14,1,https://www.eliteprospects.com/player/31264/brandon-saad,2015-2014,nhl,Brandon Saad ,LW/RW
69,Cam Atkinson (RW),Columbus Blue Jackets,81,27,26,53,0.65,22,-8,https://www.eliteprospects.com/player/19166/cam-atkinson,2015-2014,nhl,Cam Atkinson ,RW
70,Zach Parise (LW/RW),Minnesota Wild,70,25,28,53,0.76,36,-3,https://www.eliteprospects.com/player/8903/zach-parise,2015-2014,nhl,Zach Parise ,LW/RW
71,Vincent Trocheck (C),Florida Panthers,76,25,28,53,0.70,44,15,https://www.eliteprospects.com/player/45560/vincent-trocheck,2015-2014,nhl,Vincent Trocheck ,C
72,Derek Stepan (C),New York Rangers,72,22,31,53,0.74,20,5,https://www.eliteprospects.com/player/19040/derek-stepan,2015-2014,nhl,Derek Stepan ,C
73,Ryan Kesler (C),Anaheim Ducks,79,21,32,53,0.67,78,5,https://www.eliteprospects.com/player/9014/ryan-kesler,2015-2014,nhl,Ryan Kesler ,C
74,Gabriel Landeskog (LW/RW),Colorado Avalanche,75,20,33,53,0.71,69,-5,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2015-2014,nhl,Gabriel Landeskog ,LW/RW
75,Dustin Byfuglien (D),Winnipeg Jets,81,19,34,53,0.65,119,4,https://www.eliteprospects.com/player/10667/dustin-byfuglien,2015-2014,nhl,Dustin Byfuglien ,D
76,Justin Williams (RW),Washington Capitals,82,22,30,52,0.63,36,15,https://www.eliteprospects.com/player/4506/justin-williams,2015-2014,nhl,Justin Williams ,RW
77,Nathan MacKinnon (C/RW),Colorado Avalanche,72,21,31,52,0.72,20,-4,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2015-2014,nhl,Nathan MacKinnon ,C/RW
78,Frans Nielsen (C),New York Islanders,81,20,32,52,0.64,12,1,https://www.eliteprospects.com/player/210/frans-nielsen,2015-2014,nhl,Frans Nielsen ,C
79,Max Domi (C/LW),Arizona Coyotes,81,18,34,52,0.64,72,3,https://www.eliteprospects.com/player/95484/max-domi,2015-2014,nhl,Max Domi ,C/LW
80,Alexander Steen (LW/RW),St. Louis Blues,67,17,35,52,0.78,48,3,https://www.eliteprospects.com/player/460/alexander-steen,2015-2014,nhl,Alexander Steen ,LW/RW
81,Jeff Skinner (LW/C),Carolina Hurricanes,82,28,23,51,0.62,38,-2,https://www.eliteprospects.com/player/23668/jeff-skinner,2015-2014,nhl,Jeff Skinner ,LW/C
82,T.J. Oshie (RW),Washington Capitals,80,26,25,51,0.64,34,16,https://www.eliteprospects.com/player/9209/t.j.-oshie,2015-2014,nhl,T.J. Oshie ,RW
83,Patric Hörnqvist (RW),Pittsburgh Penguins,82,22,29,51,0.62,36,15,https://www.eliteprospects.com/player/3683/patric-hornqvist,2015-2014,nhl,Patric Hörnqvist ,RW
84,Mika Zibanejad (C),Ottawa Senators,81,21,30,51,0.63,18,-2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2015-2014,nhl,Mika Zibanejad ,C
85,Shea Weber (D),Nashville Predators,78,20,31,51,0.65,27,-7,https://www.eliteprospects.com/player/9505/shea-weber,2015-2014,nhl,Shea Weber ,D
86,Leon Draisaitl (C/W),Edmonton Oilers,72,19,32,51,0.71,20,-2,https://www.eliteprospects.com/player/71913/leon-draisaitl,2015-2014,nhl,Leon Draisaitl ,C/W
87,Lee Stempniak (RW),totals,82,19,32,51,0.62,38,4,https://www.eliteprospects.com/player/10199/lee-stempniak,2015-2014,nhl,Lee Stempniak ,RW
88,Mikkel Bødker (LW/RW),totals,80,17,34,51,0.64,12,-33,https://www.eliteprospects.com/player/5996/mikkel-bodker,2015-2014,nhl,Mikkel Bødker ,LW/RW
89,Drew Doughty (D),Los Angeles Kings,82,14,37,51,0.62,52,24,https://www.eliteprospects.com/player/10430/drew-doughty,2015-2014,nhl,Drew Doughty ,D
90,Carl Söderberg (C),Colorado Avalanche,82,12,39,51,0.62,32,-7,https://www.eliteprospects.com/player/665/carl-soderberg,2015-2014,nhl,Carl Söderberg ,C
91,Ryan Suter (D),Minnesota Wild,82,8,43,51,0.62,30,10,https://www.eliteprospects.com/player/8897/ryan-suter,2015-2014,nhl,Ryan Suter ,D
92,P.K. Subban (D),Montréal Canadiens,68,6,45,51,0.75,75,4,https://www.eliteprospects.com/player/11251/p.k.-subban,2015-2014,nhl,P.K. Subban ,D
93,Adam Henrique (C/LW),New Jersey Devils,80,30,20,50,0.63,23,10,https://www.eliteprospects.com/player/19043/adam-henrique,2015-2014,nhl,Adam Henrique ,C/LW
94,Reilly Smith (RW/LW),Florida Panthers,82,25,25,50,0.61,31,19,https://www.eliteprospects.com/player/33903/reilly-smith,2015-2014,nhl,Reilly Smith ,RW/LW
95,Henrik Zetterberg (C),Detroit Red Wings,82,13,37,50,0.61,24,-15,https://www.eliteprospects.com/player/285/henrik-zetterberg,2015-2014,nhl,Henrik Zetterberg ,C
96,Mike Ribeiro (C),Nashville Predators,81,7,43,50,0.62,62,11,https://www.eliteprospects.com/player/8715/mike-ribeiro,2015-2014,nhl,Mike Ribeiro ,C
97,Boone Jenner (C),Columbus Blue Jackets,82,30,19,49,0.60,77,-15,https://www.eliteprospects.com/player/45587/boone-jenner,2015-2014,nhl,Boone Jenner ,C
98,Scott Hartnell (LW),Columbus Blue Jackets,79,23,26,49,0.62,112,-11,https://www.eliteprospects.com/player/8764/scott-hartnell,2015-2014,nhl,Scott Hartnell ,LW
99,Pavel Datsyuk (C),Detroit Red Wings,66,16,33,49,0.74,14,7,https://www.eliteprospects.com/player/8615/pavel-datsyuk,2015-2014,nhl,Pavel Datsyuk ,C
100,Brent Seabrook (D),Chicago Blackhawks,81,14,35,49,0.61,32,6,https://www.eliteprospects.com/player/8879/brent-seabrook,2015-2014,nhl,Brent Seabrook ,D
101,Tyson Barrie (D),Colorado Avalanche,78,13,36,49,0.63,31,-16,https://www.eliteprospects.com/player/15127/tyson-barrie,2015-2014,nhl,Tyson Barrie ,D
102,Ryan Spooner (C/LW),Boston Bruins,80,13,36,49,0.61,35,-9,https://www.eliteprospects.com/player/23117/ryan-spooner,2015-2014,nhl,Ryan Spooner ,C/LW
103,Paul Stastny (C),St. Louis Blues,64,10,39,49,0.77,26,3,https://www.eliteprospects.com/player/10212/paul-stastny,2015-2014,nhl,Paul Stastny ,C
104,Patrick Marleau (LW),San Jose Sharks,82,25,23,48,0.59,10,-22,https://www.eliteprospects.com/player/3671/patrick-marleau,2015-2014,nhl,Patrick Marleau ,LW
105,Victor Rask (C/LW),Carolina Hurricanes,80,21,27,48,0.60,24,-6,https://www.eliteprospects.com/player/15747/victor-rask,2015-2014,nhl,Victor Rask ,C/LW
106,Jordan Staal (C),Carolina Hurricanes,82,20,28,48,0.59,34,6,https://www.eliteprospects.com/player/10157/jordan-staal,2015-2014,nhl,Jordan Staal ,C
107,Brandon Dubinsky (C/LW),Columbus Blue Jackets,75,17,31,48,0.64,71,-16,https://www.eliteprospects.com/player/11024/brandon-dubinsky,2015-2014,nhl,Brandon Dubinsky ,C/LW
108,Connor McDavid (C),Edmonton Oilers,45,16,32,48,1.07,18,-1,https://www.eliteprospects.com/player/183442/connor-mcdavid,2015-2014,nhl,Connor McDavid ,C
109,Shane Doan (RW),Arizona Coyotes,72,28,19,47,0.65,98,4,https://www.eliteprospects.com/player/9137/shane-doan,2015-2014,nhl,Shane Doan ,RW
110,Jordan Eberle (RW),Edmonton Oilers,69,25,22,47,0.68,14,-12,https://www.eliteprospects.com/player/11098/jordan-eberle,2015-2014,nhl,Jordan Eberle ,RW
111,Jarome Iginla (RW),Colorado Avalanche,82,22,25,47,0.57,41,-22,https://www.eliteprospects.com/player/9036/jarome-iginla,2015-2014,nhl,Jarome Iginla ,RW
112,Mikael Backlund (C),Calgary Flames,82,21,26,47,0.57,28,10,https://www.eliteprospects.com/player/4295/mikael-backlund,2015-2014,nhl,Mikael Backlund ,C
113,Victor Hedman (D),Tampa Bay Lightning,78,10,37,47,0.60,46,21,https://www.eliteprospects.com/player/6007/victor-hedman,2015-2014,nhl,Victor Hedman ,D
114,Keith Yandle (D),New York Rangers,82,5,42,47,0.57,40,-4,https://www.eliteprospects.com/player/10247/keith-yandle,2015-2014,nhl,Keith Yandle ,D
115,Andrew Ladd (LW),totals,78,25,21,46,0.59,45,-13,https://www.eliteprospects.com/player/6668/andrew-ladd,2015-2014,nhl,Andrew Ladd ,LW
116,Tomas Hertl (C/LW),San Jose Sharks,81,21,25,46,0.57,26,16,https://www.eliteprospects.com/player/56038/tomas-hertl,2015-2014,nhl,Tomas Hertl ,C/LW
117,Shayne Gostisbehere (D),Philadelphia Flyers,64,17,29,46,0.72,24,8,https://www.eliteprospects.com/player/122787/shayne-gostisbehere,2015-2014,nhl,Shayne Gostisbehere ,D
118,Marcus Johansson (C/LW),Washington Capitals,74,17,29,46,0.62,16,12,https://www.eliteprospects.com/player/6225/marcus-johansson,2015-2014,nhl,Marcus Johansson ,C/LW
119,Jiri Hudler (LW),totals,72,16,30,46,0.64,27,-1,https://www.eliteprospects.com/player/6665/jiri-hudler,2015-2014,nhl,Jiri Hudler ,LW
120,Dylan Larkin (C),Detroit Red Wings,80,23,22,45,0.56,34,11,https://www.eliteprospects.com/player/177693/dylan-larkin,2015-2014,nhl,Dylan Larkin ,C
121,David Backes (RW/C),St. Louis Blues,79,21,24,45,0.57,83,4,https://www.eliteprospects.com/player/11435/david-backes,2015-2014,nhl,David Backes ,RW/C
122,Tomas Tatar (LW/RW),Detroit Red Wings,81,21,24,45,0.56,24,4,https://www.eliteprospects.com/player/17750/tomas-tatar,2015-2014,nhl,Tomas Tatar ,LW/RW
123,Nazem Kadri (C),Toronto Maple Leafs,76,17,28,45,0.59,73,-15,https://www.eliteprospects.com/player/14728/nazem-kadri,2015-2014,nhl,Nazem Kadri ,C
124,T.J. Brodie (D),Calgary Flames,70,6,39,45,0.64,18,4,https://www.eliteprospects.com/player/19170/t.j.-brodie,2015-2014,nhl,T.J. Brodie ,D
125,Anthony Duclair (W/C),Arizona Coyotes,81,20,24,44,0.54,49,12,https://www.eliteprospects.com/player/98665/anthony-duclair,2015-2014,nhl,Anthony Duclair ,W/C
126,Joe Colborne (C/W),Calgary Flames,73,19,25,44,0.60,27,-9,https://www.eliteprospects.com/player/18593/joe-colborne,2015-2014,nhl,Joe Colborne ,C/W
127,Kevin Shattenkirk (D),St. Louis Blues,72,14,30,44,0.61,51,-14,https://www.eliteprospects.com/player/11460/kevin-shattenkirk,2015-2014,nhl,Kevin Shattenkirk ,D
128,Mikael Granlund (C),Minnesota Wild,82,13,31,44,0.54,20,-12,https://www.eliteprospects.com/player/16037/mikael-granlund,2015-2014,nhl,Mikael Granlund ,C
129,Andrei Markov (D),Montréal Canadiens,82,5,39,44,0.54,38,-6,https://www.eliteprospects.com/player/8579/andrei-markov,2015-2014,nhl,Andrei Markov ,D
130,Torey Krug (D),Boston Bruins,81,4,40,44,0.54,33,9,https://www.eliteprospects.com/player/37747/torey-krug,2015-2014,nhl,Torey Krug ,D
131,J.T. Miller (C/W),New York Rangers,82,22,21,43,0.52,46,10,https://www.eliteprospects.com/player/38624/j.t.-miller,2015-2014,nhl,J.T. Miller ,C/W
132,Joel Ward (RW),San Jose Sharks,79,21,22,43,0.54,28,-15,https://www.eliteprospects.com/player/11014/joel-ward,2015-2014,nhl,Joel Ward ,RW
133,Chris Kreider (LW),New York Rangers,79,21,22,43,0.54,58,10,https://www.eliteprospects.com/player/37998/chris-kreider,2015-2014,nhl,Chris Kreider ,LW
134,Rickard Rakell (W/C),Anaheim Ducks,72,20,23,43,0.60,19,-1,https://www.eliteprospects.com/player/17435/rickard-rakell,2015-2014,nhl,Rickard Rakell ,W/C
135,Nino Niederreiter (RW/LW),Minnesota Wild,82,20,23,43,0.52,36,9,https://www.eliteprospects.com/player/17679/nino-niederreiter,2015-2014,nhl,Nino Niederreiter ,RW/LW
136,Jean-Gabriel Pageau (C),Ottawa Senators,82,19,24,43,0.52,26,17,https://www.eliteprospects.com/player/45134/jean-gabriel-pageau,2015-2014,nhl,Jean-Gabriel Pageau ,C
137,Gustav Nyquist (C/W),Detroit Red Wings,82,17,26,43,0.52,34,-2,https://www.eliteprospects.com/player/6223/gustav-nyquist,2015-2014,nhl,Gustav Nyquist ,C/W
138,Teddy Purcell (LW/RW),totals,76,14,29,43,0.57,12,-11,https://www.eliteprospects.com/player/14179/teddy-purcell,2015-2014,nhl,Teddy Purcell ,LW/RW
139,Dougie Hamilton (D),Calgary Flames,82,12,31,43,0.52,46,-14,https://www.eliteprospects.com/player/45596/dougie-hamilton,2015-2014,nhl,Dougie Hamilton ,D
140,Duncan Keith (D),Chicago Blackhawks,67,9,34,43,0.64,26,13,https://www.eliteprospects.com/player/9012/duncan-keith,2015-2014,nhl,Duncan Keith ,D
141,Sam Reinhart (C/RW),Buffalo Sabres,79,23,19,42,0.53,8,-8,https://www.eliteprospects.com/player/95032/sam-reinhart,2015-2014,nhl,Sam Reinhart ,C/RW
142,Charlie Coyle (C/RW),Minnesota Wild,82,21,21,42,0.51,16,1,https://www.eliteprospects.com/player/60251/charlie-coyle,2015-2014,nhl,Charlie Coyle ,C/RW
143,Artyom Anisimov (C),Chicago Blackhawks,77,20,22,42,0.55,12,8,https://www.eliteprospects.com/player/9300/artyom-anisimov,2015-2014,nhl,Artyom Anisimov ,C
144,Justin Abdelkader (LW/RW),Detroit Red Wings,82,19,23,42,0.51,120,-16,https://www.eliteprospects.com/player/10460/justin-abdelkader,2015-2014,nhl,Justin Abdelkader ,LW/RW
145,Bryan Little (C),Winnipeg Jets,57,17,25,42,0.74,12,-13,https://www.eliteprospects.com/player/10426/bryan-little,2015-2014,nhl,Bryan Little ,C
146,Travis Zajac (C),New Jersey Devils,74,14,28,42,0.57,25,3,https://www.eliteprospects.com/player/10232/travis-zajac,2015-2014,nhl,Travis Zajac ,C
147,Pierre-Alexandre Parenteau (RW),Toronto Maple Leafs,77,20,21,41,0.53,68,0,https://www.eliteprospects.com/player/9520/pierre-alexandre-parenteau,2015-2014,nhl,Pierre-Alexandre Parenteau ,RW
148,Thomas Vanek (LW/RW),Minnesota Wild,74,18,23,41,0.55,22,-10,https://www.eliteprospects.com/player/8493/thomas-vanek,2015-2014,nhl,Thomas Vanek ,LW/RW
149,Mathieu Perreault (C),Winnipeg Jets,71,9,32,41,0.58,36,-11,https://www.eliteprospects.com/player/10441/mathieu-perreault,2015-2014,nhl,Mathieu Perreault ,C
150,Rasmus Ristolainen (D),Buffalo Sabres,82,9,32,41,0.50,33,-21,https://www.eliteprospects.com/player/43497/rasmus-ristolainen,2015-2014,nhl,Rasmus Ristolainen ,D
151,Brock Nelson (C),New York Islanders,81,26,14,40,0.49,30,-3,https://www.eliteprospects.com/player/74997/brock-nelson,2015-2014,nhl,Brock Nelson ,C
152,Jason Chimera (LW/RW),Washington Capitals,82,20,20,40,0.49,22,0,https://www.eliteprospects.com/player/8762/jason-chimera,2015-2014,nhl,Jason Chimera ,LW/RW
153,Brendan Gallagher (RW),Montréal Canadiens,53,19,21,40,0.76,24,13,https://www.eliteprospects.com/player/25705/brendan-gallagher,2015-2014,nhl,Brendan Gallagher ,RW
154,Chris Kunitz (LW),Pittsburgh Penguins,80,17,23,40,0.50,41,29,https://www.eliteprospects.com/player/8523/chris-kunitz,2015-2014,nhl,Chris Kunitz ,LW
155,Ondrej Palat (LW),Tampa Bay Lightning,62,16,24,40,0.65,20,10,https://www.eliteprospects.com/player/18097/ondrej-palat,2015-2014,nhl,Ondrej Palat ,LW
