,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
30,Mika Zibanejad (C),New York Rangers,81,29,52,81,1.00,12,30,https://www.eliteprospects.com/player/23856/mika-zibanejad,2021-2020,nhl,Mika Zibanejad ,C
31,Joe Pavelski (C/RW),Dallas Stars,82,27,54,81,0.99,14,11,https://www.eliteprospects.com/player/10372/joe-pavelski,2021-2020,nhl,Joe Pavelski ,C/RW
32,William Nylander (RW),Toronto Maple Leafs,81,34,46,80,0.99,16,-9,https://www.eliteprospects.com/player/38703/william-nylander,2021-2020,nhl,William Nylander ,RW
33,Brad Marchand (W/C),Boston Bruins,70,32,48,80,1.14,97,16,https://www.eliteprospects.com/player/10439/brad-marchand,2021-2020,nhl,Brad Marchand ,W/C
34,Jason Robertson (LW),Dallas Stars,74,41,38,79,1.07,22,16,https://www.eliteprospects.com/player/201455/jason-robertson,2021-2020,nhl,Jason Robertson ,LW
35,Mats Zuccarello (RW/LW),Minnesota Wild,70,24,55,79,1.13,24,21,https://www.eliteprospects.com/player/10881/mats-zuccarello,2021-2020,nhl,Mats Zuccarello ,RW/LW
36,Alex DeBrincat (W/C),Chicago Blackhawks,82,41,37,78,0.95,19,-13,https://www.eliteprospects.com/player/231275/alex-debrincat,2021-2020,nhl,Alex DeBrincat ,W/C
37,Yevgeni Kuznetsov (C),Washington Capitals,79,24,54,78,0.99,44,7,https://www.eliteprospects.com/player/34777/yevgeni-kuznetsov,2021-2020,nhl,Yevgeni Kuznetsov ,C
38,Chris Kreider (LW),New York Rangers,81,52,25,77,0.95,24,19,https://www.eliteprospects.com/player/37998/chris-kreider,2021-2020,nhl,Chris Kreider ,LW
39,David Pastrnak (RW),Boston Bruins,72,40,37,77,1.07,20,13,https://www.eliteprospects.com/player/130383/david-pastrnak,2021-2020,nhl,David Pastrnak ,RW
40,Robert Thomas (C/RW),St. Louis Blues,72,20,57,77,1.07,16,17,https://www.eliteprospects.com/player/201681/robert-thomas,2021-2020,nhl,Robert Thomas ,C/RW
41,Timo Meier (LW/RW),San Jose Sharks,77,35,41,76,0.99,54,-3,https://www.eliteprospects.com/player/95921/timo-meier,2021-2020,nhl,Timo Meier ,LW/RW
42,Pavel Buchnevich (RW/LW),St. Louis Blues,73,30,46,76,1.04,34,29,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2021-2020,nhl,Pavel Buchnevich ,RW/LW
43,John Tavares (C),Toronto Maple Leafs,79,27,49,76,0.96,32,-8,https://www.eliteprospects.com/player/9223/john-tavares,2021-2020,nhl,John Tavares ,C
44,Jordan Kyrou (C/RW),St. Louis Blues,74,27,48,75,1.01,20,10,https://www.eliteprospects.com/player/269034/jordan-kyrou,2021-2020,nhl,Jordan Kyrou ,C/RW
45,Adam Fox (D),New York Rangers,78,11,63,74,0.95,26,18,https://www.eliteprospects.com/player/248380/adam-fox,2021-2020,nhl,Adam Fox ,D
46,Jesper Bratt (LW/RW),New Jersey Devils,76,26,47,73,0.96,16,0,https://www.eliteprospects.com/player/117698/jesper-bratt,2021-2020,nhl,Jesper Bratt ,LW/RW
47,Roope Hintz (C/LW),Dallas Stars,80,37,35,72,0.90,28,15,https://www.eliteprospects.com/player/92117/roope-hintz,2021-2020,nhl,Roope Hintz ,C/LW
48,John Carlson (D),Washington Capitals,78,17,54,71,0.91,20,13,https://www.eliteprospects.com/player/18590/john-carlson,2021-2020,nhl,John Carlson ,D
49,Mark Scheifele (C),Winnipeg Jets,67,29,41,70,1.05,23,-17,https://www.eliteprospects.com/player/75379/mark-scheifele,2021-2020,nhl,Mark Scheifele ,C
50,Dylan Larkin (C),Detroit Red Wings,71,31,38,69,0.97,47,-18,https://www.eliteprospects.com/player/177693/dylan-larkin,2021-2020,nhl,Dylan Larkin ,C
51,Andrei Svechnikov (RW/LW),Carolina Hurricanes,78,30,39,69,0.89,79,19,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2021-2020,nhl,Andrei Svechnikov ,RW/LW
52,Nikita Kucherov (RW),Tampa Bay Lightning,47,25,44,69,1.47,22,1,https://www.eliteprospects.com/player/77237/nikita-kucherov,2021-2020,nhl,Nikita Kucherov ,RW
53,Tage Thompson (C/W),Buffalo Sabres,78,38,30,68,0.87,37,-17,https://www.eliteprospects.com/player/301349/tage-thompson,2021-2020,nhl,Tage Thompson ,C/W
54,Elias Pettersson (C/W),Vancouver Canucks,80,32,36,68,0.85,12,1,https://www.eliteprospects.com/player/266336/elias-pettersson,2021-2020,nhl,Elias Pettersson ,C/W
55,Kris Letang (D),Pittsburgh Penguins,78,10,58,68,0.87,49,20,https://www.eliteprospects.com/player/9189/kris-letang,2021-2020,nhl,Kris Letang ,D
56,Morgan Rielly (D),Toronto Maple Leafs,82,10,58,68,0.83,40,16,https://www.eliteprospects.com/player/41184/morgan-rielly,2021-2020,nhl,Morgan Rielly ,D
57,Quinn Hughes (D),Vancouver Canucks,76,8,60,68,0.90,28,10,https://www.eliteprospects.com/player/201671/quinn-hughes,2021-2020,nhl,Quinn Hughes ,D
58,Troy Terry (RW/C),Anaheim Ducks,75,37,30,67,0.89,26,-11,https://www.eliteprospects.com/player/234046/troy-terry,2021-2020,nhl,Troy Terry ,RW/C
59,Brady Tkachuk (LW),Ottawa Senators,79,30,37,67,0.85,117,-7,https://www.eliteprospects.com/player/201473/brady-tkachuk,2021-2020,nhl,Brady Tkachuk ,LW
60,Anze Kopitar (C),Los Angeles Kings,81,19,48,67,0.83,14,-6,https://www.eliteprospects.com/player/4233/anze-kopitar,2021-2020,nhl,Anze Kopitar ,C
61,Jonathan Marchessault (LW/RW),Vegas Golden Knights,76,30,36,66,0.87,36,3,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2021-2020,nhl,Jonathan Marchessault ,LW/RW
62,Ryan Hartman (RW/C),Minnesota Wild,82,34,31,65,0.79,95,31,https://www.eliteprospects.com/player/90345/ryan-hartman,2021-2020,nhl,Ryan Hartman ,RW/C
63,Patrice Bergeron (C),Boston Bruins,73,25,40,65,0.89,32,26,https://www.eliteprospects.com/player/9079/patrice-bergeron,2021-2020,nhl,Patrice Bergeron ,C
64,Teuvo Teräväinen (W/C),Carolina Hurricanes,77,22,43,65,0.84,24,22,https://www.eliteprospects.com/player/44567/teuvo-teravainen,2021-2020,nhl,Teuvo Teräväinen ,W/C
65,Claude Giroux (W/C),totals,75,21,44,65,0.87,26,-5,https://www.eliteprospects.com/player/10437/claude-giroux,2021-2020,nhl,Claude Giroux ,W/C
66,Tomas Hertl (C/LW),San Jose Sharks,82,30,34,64,0.78,30,-9,https://www.eliteprospects.com/player/56038/tomas-hertl,2021-2020,nhl,Tomas Hertl ,C/LW
67,Chandler Stephenson (C/LW),Vegas Golden Knights,79,21,43,64,0.81,26,5,https://www.eliteprospects.com/player/60726/chandler-stephenson,2021-2020,nhl,Chandler Stephenson ,C/LW
68,Mikael Granlund (C),Nashville Predators,80,11,53,64,0.80,33,-9,https://www.eliteprospects.com/player/16037/mikael-granlund,2021-2020,nhl,Mikael Granlund ,C
69,Jeff Skinner (LW/C),Buffalo Sabres,80,33,30,63,0.79,42,-14,https://www.eliteprospects.com/player/23668/jeff-skinner,2021-2020,nhl,Jeff Skinner ,LW/C
70,Clayton Keller (W/C),Arizona Coyotes,67,28,35,63,0.94,28,3,https://www.eliteprospects.com/player/226432/clayton-keller,2021-2020,nhl,Clayton Keller ,W/C
71,Ryan Johansen (C),Nashville Predators,79,26,37,63,0.80,53,-2,https://www.eliteprospects.com/player/45512/ryan-johansen,2021-2020,nhl,Ryan Johansen ,C
72,Michael Bunting (LW/RW),Toronto Maple Leafs,79,23,40,63,0.80,80,27,https://www.eliteprospects.com/player/245191/michael-bunting,2021-2020,nhl,Michael Bunting ,LW/RW
73,Tyler Bertuzzi (LW),Detroit Red Wings,68,30,32,62,0.91,47,-11,https://www.eliteprospects.com/player/125028/tyler-bertuzzi,2021-2020,nhl,Tyler Bertuzzi ,LW
74,Jakub Voracek (RW),Columbus Blue Jackets,79,6,56,62,0.79,44,-13,https://www.eliteprospects.com/player/9285/jakub-voracek,2021-2020,nhl,Jakub Voracek ,RW
75,Trevor Zegras (C),Anaheim Ducks,75,23,38,61,0.81,50,-21,https://www.eliteprospects.com/player/424453/trevor-zegras,2021-2020,nhl,Trevor Zegras ,C
76,André Burakovsky (LW/RW),Colorado Avalanche,80,22,39,61,0.76,18,12,https://www.eliteprospects.com/player/38705/andre-burakovsky,2021-2020,nhl,André Burakovsky ,LW/RW
77,Nick Suzuki (C),Montréal Canadiens,82,21,40,61,0.74,30,-29,https://www.eliteprospects.com/player/300436/nick-suzuki,2021-2020,nhl,Nick Suzuki ,C
78,Taylor Hall (LW),Boston Bruins,81,20,41,61,0.75,42,11,https://www.eliteprospects.com/player/14360/taylor-hall,2021-2020,nhl,Taylor Hall ,LW
79,Pierre-Luc Dubois (C/LW),Winnipeg Jets,81,28,32,60,0.74,106,-6,https://www.eliteprospects.com/player/252480/pierre-luc-dubois,2021-2020,nhl,Pierre-Luc Dubois ,C/LW
80,Ivan Barbashev (C/W),St. Louis Blues,81,26,34,60,0.74,40,4,https://www.eliteprospects.com/player/108659/ivan-barbashev,2021-2020,nhl,Ivan Barbashev ,C/W
81,Nico Hischier (C),New Jersey Devils,70,21,39,60,0.86,17,-1,https://www.eliteprospects.com/player/116244/nico-hischier,2021-2020,nhl,Nico Hischier ,C
82,Blake Wheeler (RW/C),Winnipeg Jets,65,17,43,60,0.92,36,-15,https://www.eliteprospects.com/player/9215/blake-wheeler,2021-2020,nhl,Blake Wheeler ,RW/C
83,Brock Nelson (C),New York Islanders,72,37,22,59,0.82,33,-5,https://www.eliteprospects.com/player/74997/brock-nelson,2021-2020,nhl,Brock Nelson ,C
84,Gabriel Landeskog (LW/RW),Colorado Avalanche,51,30,29,59,1.16,78,27,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2021-2020,nhl,Gabriel Landeskog ,LW/RW
85,Alex Killorn (LW),Tampa Bay Lightning,82,25,34,59,0.72,66,1,https://www.eliteprospects.com/player/12523/alex-killorn,2021-2020,nhl,Alex Killorn ,LW
86,Nick Schmaltz (C/RW),Arizona Coyotes,63,23,36,59,0.94,14,1,https://www.eliteprospects.com/player/156966/nick-schmaltz,2021-2020,nhl,Nick Schmaltz ,C/RW
87,Mathew Barzal (C),New York Islanders,73,15,44,59,0.81,18,-15,https://www.eliteprospects.com/player/186310/mathew-barzal,2021-2020,nhl,Mathew Barzal ,C
88,Anthony Duclair (W/C),Florida Panthers,74,31,27,58,0.78,30,19,https://www.eliteprospects.com/player/98665/anthony-duclair,2021-2020,nhl,Anthony Duclair ,W/C
89,Brayden Point (C),Tampa Bay Lightning,66,28,30,58,0.88,33,-5,https://www.eliteprospects.com/player/62204/brayden-point,2021-2020,nhl,Brayden Point ,C
90,Bryan Rust (RW/LW),Pittsburgh Penguins,60,24,34,58,0.97,14,7,https://www.eliteprospects.com/player/20708/bryan-rust,2021-2020,nhl,Bryan Rust ,RW/LW
91,Brayden Schenn (C/W),St. Louis Blues,62,24,34,58,0.94,33,21,https://www.eliteprospects.com/player/14739/brayden-schenn,2021-2020,nhl,Brayden Schenn ,C/W
92,Tim Stützle (LW/C),Ottawa Senators,79,22,36,58,0.73,37,-27,https://www.eliteprospects.com/player/348134/tim-stutzle,2021-2020,nhl,Tim Stützle ,LW/C
93,Ryan O'Reilly (C),St. Louis Blues,78,21,37,58,0.74,12,11,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2021-2020,nhl,Ryan O'Reilly ,C
94,Oliver Bjorkstrand (RW),Columbus Blue Jackets,80,28,29,57,0.71,16,-35,https://www.eliteprospects.com/player/92803/oliver-bjorkstrand,2021-2020,nhl,Oliver Bjorkstrand ,RW
95,David Perron (LW/RW),St. Louis Blues,67,27,30,57,0.85,48,8,https://www.eliteprospects.com/player/11123/david-perron,2021-2020,nhl,David Perron ,LW/RW
96,Lucas Raymond (RW),Detroit Red Wings,82,23,34,57,0.70,16,-32,https://www.eliteprospects.com/player/350702/lucas-raymond,2021-2020,nhl,Lucas Raymond ,RW
97,Aaron Ekblad (D),Florida Panthers,61,15,42,57,0.93,26,38,https://www.eliteprospects.com/player/49042/aaron-ekblad,2021-2020,nhl,Aaron Ekblad ,D
98,Devon Toews (D),Colorado Avalanche,66,13,44,57,0.86,20,52,https://www.eliteprospects.com/player/59575/devon-toews,2021-2020,nhl,Devon Toews ,D
99,Jack Hughes (C),New Jersey Devils,49,26,30,56,1.14,0,-16,https://www.eliteprospects.com/player/305432/jack-hughes,2021-2020,nhl,Jack Hughes ,C
100,Patrik Laine (LW/RW),Columbus Blue Jackets,56,26,30,56,1.00,24,-7,https://www.eliteprospects.com/player/221667/patrik-laine,2021-2020,nhl,Patrik Laine ,LW/RW
101,Logan Couture (C),San Jose Sharks,77,23,33,56,0.73,18,-11,https://www.eliteprospects.com/player/11109/logan-couture,2021-2020,nhl,Logan Couture ,C
102,Charlie McAvoy (D),Boston Bruins,78,10,46,56,0.72,66,31,https://www.eliteprospects.com/player/245142/charlie-mcavoy,2021-2020,nhl,Charlie McAvoy ,D
103,Josh Norris (C),Ottawa Senators,66,35,20,55,0.83,16,-7,https://www.eliteprospects.com/player/273954/josh-norris,2021-2020,nhl,Josh Norris ,C
104,Andrew Mangiapane (W/C),Calgary Flames,82,35,20,55,0.67,38,20,https://www.eliteprospects.com/player/223199/andrew-mangiapane,2021-2020,nhl,Andrew Mangiapane ,W/C
105,Nikolaj Ehlers (LW),Winnipeg Jets,62,28,27,55,0.89,20,18,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,2021-2020,nhl,Nikolaj Ehlers ,LW
106,Carter Verhaeghe (C/LW),Florida Panthers,78,24,31,55,0.71,48,24,https://www.eliteprospects.com/player/116967/carter-verhaeghe,2021-2020,nhl,Carter Verhaeghe ,C/LW
107,Adrian Kempe (C/W),Los Angeles Kings,78,35,19,54,0.69,46,-2,https://www.eliteprospects.com/player/86313/adrian-kempe,2021-2020,nhl,Adrian Kempe ,C/W
108,Zach Hyman (W/C),Edmonton Oilers,76,27,27,54,0.71,36,-9,https://www.eliteprospects.com/player/75045/zach-hyman,2021-2020,nhl,Zach Hyman ,W/C
109,Ryan Strome (C/RW),New York Rangers,74,21,33,54,0.73,69,15,https://www.eliteprospects.com/player/44789/ryan-strome,2021-2020,nhl,Ryan Strome ,C/RW
110,Brent Burns (D),San Jose Sharks,82,10,44,54,0.66,42,-15,https://www.eliteprospects.com/player/9103/brent-burns,2021-2020,nhl,Brent Burns ,D
111,Andrew Copp (C/LW),totals,72,21,32,53,0.74,16,15,https://www.eliteprospects.com/player/101962/andrew-copp,2021-2020,nhl,Andrew Copp ,C/LW
112,Gustav Nyquist (C/W),Columbus Blue Jackets,82,18,35,53,0.65,26,-12,https://www.eliteprospects.com/player/6223/gustav-nyquist,2021-2020,nhl,Gustav Nyquist ,C/W
113,Rasmus Dahlin (D),Buffalo Sabres,80,13,40,53,0.66,68,-22,https://www.eliteprospects.com/player/310545/rasmus-dahlin,2021-2020,nhl,Rasmus Dahlin ,D
114,Bo Horvat (C),Vancouver Canucks,70,31,21,52,0.74,40,3,https://www.eliteprospects.com/player/117012/bo-horvat,2021-2020,nhl,Bo Horvat ,C
115,Valeri Nichushkin (RW),Colorado Avalanche,62,25,27,52,0.84,14,21,https://www.eliteprospects.com/player/108661/valeri-nichushkin,2021-2020,nhl,Valeri Nichushkin ,RW
116,Tom Wilson (RW),Washington Capitals,78,24,28,52,0.67,98,13,https://www.eliteprospects.com/player/98663/tom-wilson,2021-2020,nhl,Tom Wilson ,RW
117,Conor Garland (RW/LW),Vancouver Canucks,77,19,33,52,0.68,36,18,https://www.eliteprospects.com/player/177208/conor-garland,2021-2020,nhl,Conor Garland ,RW/LW
118,Travis Konecny (RW/LW),Philadelphia Flyers,79,16,36,52,0.66,77,-23,https://www.eliteprospects.com/player/205148/travis-konecny,2021-2020,nhl,Travis Konecny ,RW/LW
119,Shea Theodore (D),Vegas Golden Knights,78,14,38,52,0.67,24,6,https://www.eliteprospects.com/player/101581/shea-theodore,2021-2020,nhl,Shea Theodore ,D
120,Phil Kessel (RW/C),Arizona Coyotes,82,8,44,52,0.63,40,-24,https://www.eliteprospects.com/player/8793/phil-kessel,2021-2020,nhl,Phil Kessel ,RW/C
121,Phillip Danault (C/LW),Los Angeles Kings,79,27,24,51,0.65,38,14,https://www.eliteprospects.com/player/45282/phillip-danault,2021-2020,nhl,Phillip Danault ,C/LW
122,Vincent Trocheck (C),Carolina Hurricanes,81,21,30,51,0.63,78,21,https://www.eliteprospects.com/player/45560/vincent-trocheck,2021-2020,nhl,Vincent Trocheck ,C
123,Shayne Gostisbehere (D),Arizona Coyotes,82,14,37,51,0.62,26,-23,https://www.eliteprospects.com/player/122787/shayne-gostisbehere,2021-2020,nhl,Shayne Gostisbehere ,D
124,Noah Dobson (D),New York Islanders,80,13,38,51,0.64,18,-3,https://www.eliteprospects.com/player/275797/noah-dobson,2021-2020,nhl,Noah Dobson ,D
125,Alexander Kerfoot (C/LW),Toronto Maple Leafs,82,13,38,51,0.62,20,19,https://www.eliteprospects.com/player/59968/alexander-kerfoot,2021-2020,nhl,Alexander Kerfoot ,C/LW
126,Tony DeAngelo (D),Carolina Hurricanes,64,10,41,51,0.80,56,30,https://www.eliteprospects.com/player/89818/tony-deangelo,2021-2020,nhl,Tony DeAngelo ,D
127,Seth Jones (D),Chicago Blackhawks,78,5,46,51,0.65,28,-37,https://www.eliteprospects.com/player/90355/seth-jones,2021-2020,nhl,Seth Jones ,D
128,Jared McCann (C/LW),Seattle Kraken,74,27,23,50,0.68,33,-26,https://www.eliteprospects.com/player/189369/jared-mccann,2021-2020,nhl,Jared McCann ,C/LW
129,Cam Atkinson (RW),Philadelphia Flyers,73,23,27,50,0.69,10,-2,https://www.eliteprospects.com/player/19166/cam-atkinson,2021-2020,nhl,Cam Atkinson ,RW
130,Ryan Nugent-Hopkins (C),Edmonton Oilers,63,11,39,50,0.79,16,3,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2021-2020,nhl,Ryan Nugent-Hopkins ,C
131,Moritz Seider (D),Detroit Red Wings,82,7,43,50,0.61,34,-9,https://www.eliteprospects.com/player/258987/moritz-seider,2021-2020,nhl,Moritz Seider ,D
132,Rasmus Andersson (D),Calgary Flames,82,4,46,50,0.61,28,30,https://www.eliteprospects.com/player/86137/rasmus-andersson,2021-2020,nhl,Rasmus Andersson ,D
133,Sam Bennett (C/LW),Florida Panthers,71,28,21,49,0.69,74,27,https://www.eliteprospects.com/player/189371/sam-bennett,2021-2020,nhl,Sam Bennett ,C/LW
134,Joel Eriksson Ek (C),Minnesota Wild,77,26,23,49,0.64,28,16,https://www.eliteprospects.com/player/139633/joel-eriksson-ek,2021-2020,nhl,Joel Eriksson Ek ,C
135,Brandon Saad (LW/RW),St. Louis Blues,78,24,25,49,0.63,10,11,https://www.eliteprospects.com/player/31264/brandon-saad,2021-2020,nhl,Brandon Saad ,LW/RW
136,Tyler Seguin (C/RW),Dallas Stars,81,24,25,49,0.61,30,-21,https://www.eliteprospects.com/player/23807/tyler-seguin,2021-2020,nhl,Tyler Seguin ,C/RW
137,Viktor Arvidsson (LW/RW),Los Angeles Kings,66,20,29,49,0.74,22,1,https://www.eliteprospects.com/player/27484/viktor-arvidsson,2021-2020,nhl,Viktor Arvidsson ,LW/RW
138,Victor Olofsson (LW/RW),Buffalo Sabres,72,20,29,49,0.68,6,-16,https://www.eliteprospects.com/player/86308/victor-olofsson,2021-2020,nhl,Victor Olofsson ,LW/RW
139,Tyler Toffoli (W/C),totals,74,20,29,49,0.66,14,-5,https://www.eliteprospects.com/player/23813/tyler-toffoli,2021-2020,nhl,Tyler Toffoli ,W/C
140,Ondrej Palat (LW),Tampa Bay Lightning,77,18,31,49,0.64,20,15,https://www.eliteprospects.com/player/18097/ondrej-palat,2021-2020,nhl,Ondrej Palat ,LW
141,Dylan Strome (C/RW),Chicago Blackhawks,69,22,26,48,0.70,28,-6,https://www.eliteprospects.com/player/228107/dylan-strome,2021-2020,nhl,Dylan Strome ,C/RW
142,Yanni Gourde (C/W),Seattle Kraken,74,21,27,48,0.65,45,-13,https://www.eliteprospects.com/player/37303/yanni-gourde,2021-2020,nhl,Yanni Gourde ,C/W
143,Trevor Moore (C/W),Los Angeles Kings,81,17,31,48,0.59,20,20,https://www.eliteprospects.com/player/87846/trevor-moore,2021-2020,nhl,Trevor Moore ,C/W
144,Zach Werenski (D),Columbus Blue Jackets,68,11,37,48,0.71,22,-15,https://www.eliteprospects.com/player/186311/zach-werenski,2021-2020,nhl,Zach Werenski ,D
145,Noah Hanifin (D),Calgary Flames,81,10,38,48,0.59,19,27,https://www.eliteprospects.com/player/177710/noah-hanifin,2021-2020,nhl,Noah Hanifin ,D
146,Mason Marchment (LW/C),Florida Panthers,54,18,29,47,0.87,53,29,https://www.eliteprospects.com/player/208693/mason-marchment,2021-2020,nhl,Mason Marchment ,LW/C
147,Justin Faulk (D),St. Louis Blues,76,16,31,47,0.62,43,41,https://www.eliteprospects.com/player/20715/justin-faulk,2021-2020,nhl,Justin Faulk ,D
148,John Klingberg (D),Dallas Stars,74,6,41,47,0.64,34,-28,https://www.eliteprospects.com/player/21717/john-klingberg,2021-2020,nhl,John Klingberg ,D
149,Anders Lee (LW),New York Islanders,76,28,18,46,0.61,34,-11,https://www.eliteprospects.com/player/19068/anders-lee,2021-2020,nhl,Anders Lee ,LW
150,Yegor Sharangovich (C/W),New Jersey Devils,76,24,22,46,0.61,23,-14,https://www.eliteprospects.com/player/271111/yegor-sharangovich,2021-2020,nhl,Yegor Sharangovich ,C/W
151,Brock Boeser (RW),Vancouver Canucks,71,23,23,46,0.65,20,-5,https://www.eliteprospects.com/player/248381/brock-boeser,2021-2020,nhl,Brock Boeser ,RW
152,Jamie Benn (LW),Dallas Stars,82,18,28,46,0.56,88,-13,https://www.eliteprospects.com/player/15399/jamie-benn,2021-2020,nhl,Jamie Benn ,LW
153,Damon Severson (D),New Jersey Devils,80,11,35,46,0.58,57,-14,https://www.eliteprospects.com/player/55867/damon-severson,2021-2020,nhl,Damon Severson ,D
