,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
0,Connor McDavid (C),Edmonton Oilers,80,44,79,123,1.54,45,28,https://www.eliteprospects.com/player/183442/connor-mcdavid,2021-2020,nhl,Connor McDavid ,C
1,Johnny Gaudreau (LW),Calgary Flames,82,40,75,115,1.40,26,64,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2021-2020,nhl,Johnny Gaudreau ,LW
2,Jonathan Huberdeau (LW),Florida Panthers,80,30,85,115,1.44,54,35,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2021-2020,nhl,Jonathan Huberdeau ,LW
3,Leon Draisaitl (C/W),Edmonton Oilers,80,55,55,110,1.38,40,17,https://www.eliteprospects.com/player/71913/leon-draisaitl,2021-2020,nhl,Leon Draisaitl ,C/W
4,Kirill Kaprizov (LW),Minnesota Wild,81,47,61,108,1.33,34,27,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2021-2020,nhl,Kirill Kaprizov ,LW
5,Auston Matthews (C),Toronto Maple Leafs,73,60,46,106,1.45,18,20,https://www.eliteprospects.com/player/199898/auston-matthews,2021-2020,nhl,Auston Matthews ,C
6,Steven Stamkos (C/W),Tampa Bay Lightning,81,42,64,106,1.31,36,24,https://www.eliteprospects.com/player/11113/steven-stamkos,2021-2020,nhl,Steven Stamkos ,C/W
7,Matthew Tkachuk (LW/RW),Calgary Flames,82,42,62,104,1.27,68,57,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2021-2020,nhl,Matthew Tkachuk ,LW/RW
8,J.T. Miller (C/W),Vancouver Canucks,80,32,67,99,1.24,47,15,https://www.eliteprospects.com/player/38624/j.t.-miller,2021-2020,nhl,J.T. Miller ,C/W
9,Mitchell Marner (RW),Toronto Maple Leafs,72,35,62,97,1.35,16,23,https://www.eliteprospects.com/player/223194/mitchell-marner,2021-2020,nhl,Mitchell Marner ,RW
10,Roman Josi (D),Nashville Predators,80,23,73,96,1.20,46,13,https://www.eliteprospects.com/player/12668/roman-josi,2021-2020,nhl,Roman Josi ,D
11,Artemi Panarin (LW),New York Rangers,75,22,74,96,1.28,18,21,https://www.eliteprospects.com/player/24664/artemi-panarin,2021-2020,nhl,Artemi Panarin ,LW
12,Kyle Connor (LW),Winnipeg Jets,79,47,46,93,1.18,4,-3,https://www.eliteprospects.com/player/177671/kyle-connor,2021-2020,nhl,Kyle Connor ,LW
13,Mikko Rantanen (W/C),Colorado Avalanche,75,36,56,92,1.23,56,35,https://www.eliteprospects.com/player/91186/mikko-rantanen,2021-2020,nhl,Mikko Rantanen ,W/C
14,Patrick Kane (RW),Chicago Blackhawks,78,26,66,92,1.18,18,-19,https://www.eliteprospects.com/player/9326/patrick-kane,2021-2020,nhl,Patrick Kane ,RW
15,Alexander Ovechkin (LW),Washington Capitals,77,50,40,90,1.17,18,8,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2021-2020,nhl,Alexander Ovechkin ,LW
16,Aleksander Barkov (C),Florida Panthers,67,39,49,88,1.31,18,36,https://www.eliteprospects.com/player/50044/aleksander-barkov,2021-2020,nhl,Aleksander Barkov ,C
17,Nathan MacKinnon (C/RW),Colorado Avalanche,65,32,56,88,1.35,42,22,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2021-2020,nhl,Nathan MacKinnon ,C/RW
18,Nazem Kadri (C),Colorado Avalanche,71,28,59,87,1.23,71,13,https://www.eliteprospects.com/player/14728/nazem-kadri,2021-2020,nhl,Nazem Kadri ,C
19,Matt Duchene (C/RW),Nashville Predators,78,43,43,86,1.10,38,6,https://www.eliteprospects.com/player/12571/matt-duchene,2021-2020,nhl,Matt Duchene ,C/RW
20,Cale Makar (D),Colorado Avalanche,77,28,58,86,1.12,26,48,https://www.eliteprospects.com/player/199655/cale-makar,2021-2020,nhl,Cale Makar ,D
21,Kevin Fiala (W/C),Minnesota Wild,82,33,52,85,1.04,52,23,https://www.eliteprospects.com/player/87971/kevin-fiala,2021-2020,nhl,Kevin Fiala ,W/C
22,Victor Hedman (D),Tampa Bay Lightning,82,20,65,85,1.04,36,26,https://www.eliteprospects.com/player/6007/victor-hedman,2021-2020,nhl,Victor Hedman ,D
23,Filip Forsberg (W/C),Nashville Predators,69,42,42,84,1.22,22,12,https://www.eliteprospects.com/player/29626/filip-forsberg,2021-2020,nhl,Filip Forsberg ,W/C
24,Jake Guentzel (W/C),Pittsburgh Penguins,76,40,44,84,1.11,44,13,https://www.eliteprospects.com/player/199870/jake-guentzel,2021-2020,nhl,Jake Guentzel ,W/C
25,Sidney Crosby (C),Pittsburgh Penguins,69,31,53,84,1.22,32,19,https://www.eliteprospects.com/player/6146/sidney-crosby,2021-2020,nhl,Sidney Crosby ,C
26,Elias Lindholm (C),Calgary Flames,82,42,40,82,1.00,22,61,https://www.eliteprospects.com/player/33387/elias-lindholm,2021-2020,nhl,Elias Lindholm ,C
27,Vladimir Tarasenko (RW),St. Louis Blues,75,34,48,82,1.09,32,7,https://www.eliteprospects.com/player/24787/vladimir-tarasenko,2021-2020,nhl,Vladimir Tarasenko ,RW
28,Sam Reinhart (C/RW),Florida Panthers,78,33,49,82,1.05,13,25,https://www.eliteprospects.com/player/95032/sam-reinhart,2021-2020,nhl,Sam Reinhart ,C/RW
29,Sebastian Aho (C/LW),Carolina Hurricanes,79,37,44,81,1.03,38,18,https://www.eliteprospects.com/player/152111/sebastian-aho,2021-2020,nhl,Sebastian Aho ,C/LW
