,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
19,Nicklas Bäckström (C),Washington Capitals,55,15,38,53,0.96,14,0,https://www.eliteprospects.com/player/3682/nicklas-backstrom,2020-2019,nhl,Nicklas Bäckström ,C
20,Gabriel Landeskog (LW/RW),Colorado Avalanche,54,20,32,52,0.96,34,14,https://www.eliteprospects.com/player/10393/gabriel-landeskog,2020-2019,nhl,Gabriel Landeskog ,LW/RW
21,Kirill Kaprizov (LW),Minnesota Wild,55,27,24,51,0.93,16,10,https://www.eliteprospects.com/player/265645/kirill-kaprizov,2020-2019,nhl,Kirill Kaprizov ,LW
22,Joe Pavelski (C/RW),Dallas Stars,56,25,26,51,0.91,16,22,https://www.eliteprospects.com/player/10372/joe-pavelski,2020-2019,nhl,Joe Pavelski ,C/RW
23,Max Pacioretty (LW),Vegas Golden Knights,48,24,27,51,1.06,14,20,https://www.eliteprospects.com/player/12461/max-pacioretty,2020-2019,nhl,Max Pacioretty ,LW
24,Kyle Connor (LW),Winnipeg Jets,56,26,24,50,0.89,12,-4,https://www.eliteprospects.com/player/177671/kyle-connor,2020-2019,nhl,Kyle Connor ,LW
25,Mika Zibanejad (C),New York Rangers,56,24,26,50,0.89,18,2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2020-2019,nhl,Mika Zibanejad ,C
26,John Tavares (C),Toronto Maple Leafs,56,19,31,50,0.89,14,12,https://www.eliteprospects.com/player/9223/john-tavares,2020-2019,nhl,John Tavares ,C
27,Anze Kopitar (C),Los Angeles Kings,56,13,37,50,0.89,10,-7,https://www.eliteprospects.com/player/4233/anze-kopitar,2020-2019,nhl,Anze Kopitar ,C
28,Brock Boeser (RW),Vancouver Canucks,56,23,26,49,0.88,16,-3,https://www.eliteprospects.com/player/248381/brock-boeser,2020-2019,nhl,Brock Boeser ,RW
29,Evander Kane (LW),San Jose Sharks,56,22,27,49,0.88,42,-1,https://www.eliteprospects.com/player/14657/evander-kane,2020-2019,nhl,Evander Kane ,LW
30,Johnny Gaudreau (LW),Calgary Flames,56,19,30,49,0.88,6,2,https://www.eliteprospects.com/player/88391/johnny-gaudreau,2020-2019,nhl,Johnny Gaudreau ,LW
31,Ryan Strome (C/RW),New York Rangers,56,14,35,49,0.88,39,6,https://www.eliteprospects.com/player/44789/ryan-strome,2020-2019,nhl,Ryan Strome ,C/RW
32,Patrice Bergeron (C),Boston Bruins,54,23,25,48,0.89,16,27,https://www.eliteprospects.com/player/9079/patrice-bergeron,2020-2019,nhl,Patrice Bergeron ,C
33,Brayden Point (C),Tampa Bay Lightning,56,23,25,48,0.86,11,2,https://www.eliteprospects.com/player/62204/brayden-point,2020-2019,nhl,Brayden Point ,C
34,David Pastrnak (RW),Boston Bruins,48,20,28,48,1.00,24,10,https://www.eliteprospects.com/player/130383/david-pastrnak,2020-2019,nhl,David Pastrnak ,RW
35,Pavel Buchnevich (RW/LW),New York Rangers,54,20,28,48,0.89,42,12,https://www.eliteprospects.com/player/158906/pavel-buchnevich,2020-2019,nhl,Pavel Buchnevich ,RW/LW
36,Tyson Barrie (D),Edmonton Oilers,56,8,40,48,0.86,10,4,https://www.eliteprospects.com/player/15127/tyson-barrie,2020-2019,nhl,Tyson Barrie ,D
37,Elias Lindholm (C),Calgary Flames,56,19,28,47,0.84,22,10,https://www.eliteprospects.com/player/33387/elias-lindholm,2020-2019,nhl,Elias Lindholm ,C
38,Adam Fox (D),New York Rangers,55,5,42,47,0.86,14,19,https://www.eliteprospects.com/player/248380/adam-fox,2020-2019,nhl,Adam Fox ,D
39,Nikolaj Ehlers (LW),Winnipeg Jets,47,21,25,46,0.98,15,15,https://www.eliteprospects.com/player/66581/nikolaj-ehlers,2020-2019,nhl,Nikolaj Ehlers ,LW
40,Blake Wheeler (RW/C),Winnipeg Jets,50,15,31,46,0.92,50,-17,https://www.eliteprospects.com/player/9215/blake-wheeler,2020-2019,nhl,Blake Wheeler ,RW/C
41,J.T. Miller (C/W),Vancouver Canucks,53,15,31,46,0.87,43,-7,https://www.eliteprospects.com/player/38624/j.t.-miller,2020-2019,nhl,J.T. Miller ,C/W
42,Ondrej Palat (LW),Tampa Bay Lightning,55,15,31,46,0.84,26,1,https://www.eliteprospects.com/player/18097/ondrej-palat,2020-2019,nhl,Ondrej Palat ,LW
43,Jason Robertson (LW),Dallas Stars,51,17,28,45,0.88,16,13,https://www.eliteprospects.com/player/201455/jason-robertson,2020-2019,nhl,Jason Robertson ,LW
44,Mathew Barzal (C),New York Islanders,55,17,28,45,0.82,48,15,https://www.eliteprospects.com/player/186310/mathew-barzal,2020-2019,nhl,Mathew Barzal ,C
45,Victor Hedman (D),Tampa Bay Lightning,54,9,36,45,0.83,28,5,https://www.eliteprospects.com/player/6007/victor-hedman,2020-2019,nhl,Victor Hedman ,D
46,Kris Letang (D),Pittsburgh Penguins,55,7,38,45,0.82,32,19,https://www.eliteprospects.com/player/9189/kris-letang,2020-2019,nhl,Kris Letang ,D
47,Tyler Toffoli (W/C),Montréal Canadiens,52,28,16,44,0.85,24,0,https://www.eliteprospects.com/player/23813/tyler-toffoli,2020-2019,nhl,Tyler Toffoli ,W/C
48,André Burakovsky (LW/RW),Colorado Avalanche,53,19,25,44,0.83,10,4,https://www.eliteprospects.com/player/38705/andre-burakovsky,2020-2019,nhl,André Burakovsky ,LW/RW
49,Jonathan Marchessault (LW/RW),Vegas Golden Knights,55,18,26,44,0.80,39,19,https://www.eliteprospects.com/player/32872/jonathan-marchessault,2020-2019,nhl,Jonathan Marchessault ,LW/RW
50,Oliver Bjorkstrand (RW),Columbus Blue Jackets,56,18,26,44,0.79,23,-15,https://www.eliteprospects.com/player/92803/oliver-bjorkstrand,2020-2019,nhl,Oliver Bjorkstrand ,RW
51,John Carlson (D),Washington Capitals,52,10,34,44,0.85,12,-5,https://www.eliteprospects.com/player/18590/john-carlson,2020-2019,nhl,John Carlson ,D
52,Cale Makar (D),Colorado Avalanche,44,8,36,44,1.00,12,17,https://www.eliteprospects.com/player/199655/cale-makar,2020-2019,nhl,Cale Makar ,D
53,David Krejci (C),Boston Bruins,51,8,36,44,0.86,16,16,https://www.eliteprospects.com/player/9226/david-krejci,2020-2019,nhl,David Krejci ,C
54,T.J. Oshie (RW),Washington Capitals,53,22,21,43,0.81,18,-3,https://www.eliteprospects.com/player/9209/t.j.-oshie,2020-2019,nhl,T.J. Oshie ,RW
55,Phil Kessel (RW/C),Arizona Coyotes,56,20,23,43,0.77,12,-17,https://www.eliteprospects.com/player/8793/phil-kessel,2020-2019,nhl,Phil Kessel ,RW/C
56,Tomas Hertl (C/LW),San Jose Sharks,50,19,24,43,0.86,27,1,https://www.eliteprospects.com/player/56038/tomas-hertl,2020-2019,nhl,Tomas Hertl ,C/LW
57,Vincent Trocheck (C),Carolina Hurricanes,47,17,26,43,0.92,20,-3,https://www.eliteprospects.com/player/45560/vincent-trocheck,2020-2019,nhl,Vincent Trocheck ,C
58,James van Riemsdyk (LW),Philadelphia Flyers,56,17,26,43,0.77,14,2,https://www.eliteprospects.com/player/9324/james-van-riemsdyk,2020-2019,nhl,James van Riemsdyk ,LW
59,Claude Giroux (W/C),Philadelphia Flyers,54,16,27,43,0.80,12,-4,https://www.eliteprospects.com/player/10437/claude-giroux,2020-2019,nhl,Claude Giroux ,W/C
60,Matthew Tkachuk (LW/RW),Calgary Flames,56,16,27,43,0.77,55,6,https://www.eliteprospects.com/player/233030/matthew-tkachuk,2020-2019,nhl,Matthew Tkachuk ,LW/RW
61,Roope Hintz (C/LW),Dallas Stars,41,15,28,43,1.05,4,13,https://www.eliteprospects.com/player/92117/roope-hintz,2020-2019,nhl,Roope Hintz ,C/LW
62,Jakub Voracek (RW),Philadelphia Flyers,53,9,34,43,0.81,18,-12,https://www.eliteprospects.com/player/9285/jakub-voracek,2020-2019,nhl,Jakub Voracek ,RW
63,Alexander Ovechkin (LW),Washington Capitals,45,24,18,42,0.93,12,-7,https://www.eliteprospects.com/player/4230/alexander-ovechkin,2020-2019,nhl,Alexander Ovechkin ,LW
64,Bryan Rust (RW/LW),Pittsburgh Penguins,56,22,20,42,0.75,18,9,https://www.eliteprospects.com/player/20708/bryan-rust,2020-2019,nhl,Bryan Rust ,RW/LW
65,William Nylander (RW),Toronto Maple Leafs,51,17,25,42,0.82,16,10,https://www.eliteprospects.com/player/38703/william-nylander,2020-2019,nhl,William Nylander ,RW
66,Andrei Svechnikov (RW/LW),Carolina Hurricanes,55,15,27,42,0.76,44,1,https://www.eliteprospects.com/player/328556/andrei-svechnikov,2020-2019,nhl,Andrei Svechnikov ,RW/LW
67,Jeff Petry (D),Montréal Canadiens,55,12,30,42,0.76,20,6,https://www.eliteprospects.com/player/12265/jeff-petry,2020-2019,nhl,Jeff Petry ,D
68,Dougie Hamilton (D),Carolina Hurricanes,55,10,32,42,0.76,35,20,https://www.eliteprospects.com/player/45596/dougie-hamilton,2020-2019,nhl,Dougie Hamilton ,D
69,Shea Theodore (D),Vegas Golden Knights,53,8,34,42,0.79,14,28,https://www.eliteprospects.com/player/101581/shea-theodore,2020-2019,nhl,Shea Theodore ,D
70,Sean Couturier (C),Philadelphia Flyers,45,18,23,41,0.91,8,-4,https://www.eliteprospects.com/player/32885/sean-couturier,2020-2019,nhl,Sean Couturier ,C
71,Jakob Chychrun (D),Arizona Coyotes,56,18,23,41,0.73,42,-6,https://www.eliteprospects.com/player/243386/jakob-chychrun,2020-2019,nhl,Jakob Chychrun ,D
72,Nick Suzuki (C),Montréal Canadiens,56,15,26,41,0.73,26,-5,https://www.eliteprospects.com/player/300436/nick-suzuki,2020-2019,nhl,Nick Suzuki ,C
73,Martin Necas (C/RW),Carolina Hurricanes,53,14,27,41,0.77,10,25,https://www.eliteprospects.com/player/237071/martin-necas,2020-2019,nhl,Martin Necas ,C/RW
74,Quinn Hughes (D),Vancouver Canucks,56,3,38,41,0.73,22,-24,https://www.eliteprospects.com/player/201671/quinn-hughes,2020-2019,nhl,Quinn Hughes ,D
75,Sam Reinhart (C/RW),Buffalo Sabres,54,25,15,40,0.74,10,-28,https://www.eliteprospects.com/player/95032/sam-reinhart,2020-2019,nhl,Sam Reinhart ,C/RW
76,Kevin Fiala (W/C),Minnesota Wild,50,20,20,40,0.80,43,-2,https://www.eliteprospects.com/player/87971/kevin-fiala,2020-2019,nhl,Kevin Fiala ,W/C
77,Bo Horvat (C),Vancouver Canucks,56,19,20,39,0.70,23,-6,https://www.eliteprospects.com/player/117012/bo-horvat,2020-2019,nhl,Bo Horvat ,C
78,Andrew Copp (C/LW),Winnipeg Jets,55,15,24,39,0.71,20,2,https://www.eliteprospects.com/player/101962/andrew-copp,2020-2019,nhl,Andrew Copp ,C/LW
79,William Karlsson (C),Vegas Golden Knights,56,14,25,39,0.70,4,19,https://www.eliteprospects.com/player/19432/william-karlsson,2020-2019,nhl,William Karlsson ,C
80,Conor Garland (RW/LW),Arizona Coyotes,49,12,27,39,0.80,26,-3,https://www.eliteprospects.com/player/177208/conor-garland,2020-2019,nhl,Conor Garland ,RW/LW
81,Joel Farabee (LW),Philadelphia Flyers,55,20,18,38,0.69,28,0,https://www.eliteprospects.com/player/334036/joel-farabee,2020-2019,nhl,Joel Farabee ,LW
82,Dominik Kubalík (LW),Chicago Blackhawks,56,17,21,38,0.68,18,-3,https://www.eliteprospects.com/player/101221/dominik-kubalik,2020-2019,nhl,Dominik Kubalík ,LW
83,Jordan Staal (C),Carolina Hurricanes,53,16,22,38,0.72,30,2,https://www.eliteprospects.com/player/10157/jordan-staal,2020-2019,nhl,Jordan Staal ,C
84,Jakub Vrána (LW/RW),totals,50,19,17,36,0.72,10,10,https://www.eliteprospects.com/player/101250/jakub-vrana,2020-2019,nhl,Jakub Vrána ,LW/RW
85,Carter Verhaeghe (C/LW),Florida Panthers,43,18,18,36,0.84,31,24,https://www.eliteprospects.com/player/116967/carter-verhaeghe,2020-2019,nhl,Carter Verhaeghe ,C/LW
86,Mike Hoffman (LW/C),St. Louis Blues,52,17,19,36,0.69,10,2,https://www.eliteprospects.com/player/18800/mike-hoffman,2020-2019,nhl,Mike Hoffman ,LW/C
87,Yanni Gourde (C/W),Tampa Bay Lightning,56,17,19,36,0.64,44,10,https://www.eliteprospects.com/player/37303/yanni-gourde,2020-2019,nhl,Yanni Gourde ,C/W
88,Brady Tkachuk (LW),Ottawa Senators,56,17,19,36,0.64,69,-17,https://www.eliteprospects.com/player/201473/brady-tkachuk,2020-2019,nhl,Brady Tkachuk ,LW
89,Brayden Schenn (C/W),St. Louis Blues,56,16,20,36,0.64,35,-2,https://www.eliteprospects.com/player/14739/brayden-schenn,2020-2019,nhl,Brayden Schenn ,C/W
90,Darnell Nurse (D),Edmonton Oilers,56,16,20,36,0.64,57,27,https://www.eliteprospects.com/player/97352/darnell-nurse,2020-2019,nhl,Darnell Nurse ,D
91,John Klingberg (D),Dallas Stars,53,7,29,36,0.68,23,-15,https://www.eliteprospects.com/player/21717/john-klingberg,2020-2019,nhl,John Klingberg ,D
92,MacKenzie Weegar (D),Florida Panthers,54,6,30,36,0.67,45,29,https://www.eliteprospects.com/player/97908/mackenzie-weegar,2020-2019,nhl,MacKenzie Weegar ,D
93,Connor Brown (RW),Ottawa Senators,56,21,14,35,0.63,12,1,https://www.eliteprospects.com/player/97341/connor-brown,2020-2019,nhl,Connor Brown ,RW
94,Pavel Zacha (C/LW),New Jersey Devils,50,17,18,35,0.70,10,-11,https://www.eliteprospects.com/player/130786/pavel-zacha,2020-2019,nhl,Pavel Zacha ,C/LW
95,Josh Norris (C),Ottawa Senators,56,17,18,35,0.63,13,-12,https://www.eliteprospects.com/player/273954/josh-norris,2020-2019,nhl,Josh Norris ,C
96,Ryan Nugent-Hopkins (C),Edmonton Oilers,52,16,19,35,0.67,22,-4,https://www.eliteprospects.com/player/25636/ryan-nugent-hopkins,2020-2019,nhl,Ryan Nugent-Hopkins ,C
97,Chandler Stephenson (C/LW),Vegas Golden Knights,51,14,21,35,0.69,29,22,https://www.eliteprospects.com/player/60726/chandler-stephenson,2020-2019,nhl,Chandler Stephenson ,C/LW
98,Jordan Kyrou (C/RW),St. Louis Blues,55,14,21,35,0.64,12,1,https://www.eliteprospects.com/player/269034/jordan-kyrou,2020-2019,nhl,Jordan Kyrou ,C/RW
99,Clayton Keller (W/C),Arizona Coyotes,56,14,21,35,0.63,18,-5,https://www.eliteprospects.com/player/226432/clayton-keller,2020-2019,nhl,Clayton Keller ,W/C
100,Mats Zuccarello (RW/LW),Minnesota Wild,42,11,24,35,0.83,8,9,https://www.eliteprospects.com/player/10881/mats-zuccarello,2020-2019,nhl,Mats Zuccarello ,RW/LW
101,Jamie Benn (LW),Dallas Stars,52,11,24,35,0.67,33,13,https://www.eliteprospects.com/player/15399/jamie-benn,2020-2019,nhl,Jamie Benn ,LW
102,Josh Bailey (RW/C),New York Islanders,54,8,27,35,0.65,4,12,https://www.eliteprospects.com/player/14013/josh-bailey,2020-2019,nhl,Josh Bailey ,RW/C
103,Morgan Rielly (D),Toronto Maple Leafs,55,5,30,35,0.64,14,11,https://www.eliteprospects.com/player/41184/morgan-rielly,2020-2019,nhl,Morgan Rielly ,D
104,Nino Niederreiter (RW/LW),Carolina Hurricanes,56,20,14,34,0.61,29,20,https://www.eliteprospects.com/player/17679/nino-niederreiter,2020-2019,nhl,Nino Niederreiter ,RW/LW
105,Steven Stamkos (C/W),Tampa Bay Lightning,38,17,17,34,0.90,16,4,https://www.eliteprospects.com/player/11113/steven-stamkos,2020-2019,nhl,Steven Stamkos ,C/W
106,Drake Batherson (RW/C),Ottawa Senators,56,17,17,34,0.61,8,-17,https://www.eliteprospects.com/player/195192/drake-batherson,2020-2019,nhl,Drake Batherson ,RW/C
107,Cam Atkinson (RW),Columbus Blue Jackets,56,15,19,34,0.61,4,-16,https://www.eliteprospects.com/player/19166/cam-atkinson,2020-2019,nhl,Cam Atkinson ,RW
108,Jack Roslovic (C/RW),Columbus Blue Jackets,48,12,22,34,0.71,14,-11,https://www.eliteprospects.com/player/226309/jack-roslovic,2020-2019,nhl,Jack Roslovic ,C/RW
109,Travis Konecny (RW/LW),Philadelphia Flyers,50,11,23,34,0.68,26,-5,https://www.eliteprospects.com/player/205148/travis-konecny,2020-2019,nhl,Travis Konecny ,RW/LW
110,Drew Doughty (D),Los Angeles Kings,56,8,26,34,0.61,26,-14,https://www.eliteprospects.com/player/10430/drew-doughty,2020-2019,nhl,Drew Doughty ,D
111,Alex Tuch (RW/C),Vegas Golden Knights,55,18,15,33,0.60,28,16,https://www.eliteprospects.com/player/178526/alex-tuch,2020-2019,nhl,Alex Tuch ,RW/C
112,Brock Nelson (C),New York Islanders,56,18,15,33,0.59,14,-5,https://www.eliteprospects.com/player/74997/brock-nelson,2020-2019,nhl,Brock Nelson ,C
113,Jordan Eberle (RW),New York Islanders,55,16,17,33,0.60,16,9,https://www.eliteprospects.com/player/11098/jordan-eberle,2020-2019,nhl,Jordan Eberle ,RW
114,Maxime Comtois (LW),Anaheim Ducks,55,16,17,33,0.60,40,3,https://www.eliteprospects.com/player/201534/maxime-comtois,2020-2019,nhl,Maxime Comtois ,LW
115,Zach Hyman (W/C),Toronto Maple Leafs,43,15,18,33,0.77,28,19,https://www.eliteprospects.com/player/75045/zach-hyman,2020-2019,nhl,Zach Hyman ,W/C
116,Alex Killorn (LW),Tampa Bay Lightning,56,15,18,33,0.59,37,-1,https://www.eliteprospects.com/player/12523/alex-killorn,2020-2019,nhl,Alex Killorn ,LW
117,Tom Wilson (RW),Washington Capitals,47,13,20,33,0.70,96,1,https://www.eliteprospects.com/player/98663/tom-wilson,2020-2019,nhl,Tom Wilson ,RW
118,Taylor Hall (LW),totals,53,10,23,33,0.62,26,-6,https://www.eliteprospects.com/player/14360/taylor-hall,2020-2019,nhl,Taylor Hall ,LW
119,Roman Josi (D),Nashville Predators,48,8,25,33,0.69,20,-11,https://www.eliteprospects.com/player/12668/roman-josi,2020-2019,nhl,Roman Josi ,D
120,Andrew Mangiapane (W/C),Calgary Flames,56,18,14,32,0.57,24,1,https://www.eliteprospects.com/player/223199/andrew-mangiapane,2020-2019,nhl,Andrew Mangiapane ,W/C
121,Jared McCann (C/LW),Pittsburgh Penguins,43,14,18,32,0.74,8,17,https://www.eliteprospects.com/player/189369/jared-mccann,2020-2019,nhl,Jared McCann ,C/LW
122,Patric Hörnqvist (RW),Florida Panthers,44,14,18,32,0.73,39,-3,https://www.eliteprospects.com/player/3683/patric-hornqvist,2020-2019,nhl,Patric Hörnqvist ,RW
123,Craig Smith (RW/C),Boston Bruins,54,13,19,32,0.59,18,21,https://www.eliteprospects.com/player/27038/craig-smith,2020-2019,nhl,Craig Smith ,RW/C
124,Victor Olofsson (LW/RW),Buffalo Sabres,56,13,19,32,0.57,6,-23,https://www.eliteprospects.com/player/86308/victor-olofsson,2020-2019,nhl,Victor Olofsson ,LW/RW
125,Filip Forsberg (W/C),Nashville Predators,39,12,20,32,0.82,16,-9,https://www.eliteprospects.com/player/29626/filip-forsberg,2020-2019,nhl,Filip Forsberg ,W/C
126,Nazem Kadri (C),Colorado Avalanche,56,11,21,32,0.57,34,-7,https://www.eliteprospects.com/player/14728/nazem-kadri,2020-2019,nhl,Nazem Kadri ,C
127,Anthony Duclair (W/C),Florida Panthers,43,10,22,32,0.74,18,27,https://www.eliteprospects.com/player/98665/anthony-duclair,2020-2019,nhl,Anthony Duclair ,W/C
128,Nick Schmaltz (C/RW),Arizona Coyotes,52,10,22,32,0.62,16,-1,https://www.eliteprospects.com/player/156966/nick-schmaltz,2020-2019,nhl,Nick Schmaltz ,C/RW
129,Alec Martinez (D),Vegas Golden Knights,53,9,23,32,0.60,12,26,https://www.eliteprospects.com/player/12531/alec-martinez,2020-2019,nhl,Alec Martinez ,D
130,Mikael Backlund (C),Calgary Flames,54,9,23,32,0.59,30,-7,https://www.eliteprospects.com/player/4295/mikael-backlund,2020-2019,nhl,Mikael Backlund ,C
131,Jordan Greenway (LW),Minnesota Wild,56,6,26,32,0.57,49,5,https://www.eliteprospects.com/player/183455/jordan-greenway,2020-2019,nhl,Jordan Greenway ,LW
132,Samuel Girard (D),Colorado Avalanche,48,5,27,32,0.67,16,15,https://www.eliteprospects.com/player/251476/samuel-girard,2020-2019,nhl,Samuel Girard ,D
133,Neal Pionk (D),Winnipeg Jets,54,3,29,32,0.59,20,6,https://www.eliteprospects.com/player/196583/neal-pionk,2020-2019,nhl,Neal Pionk ,D
134,Torey Krug (D),St. Louis Blues,51,2,30,32,0.63,25,11,https://www.eliteprospects.com/player/37747/torey-krug,2020-2019,nhl,Torey Krug ,D
135,Dustin Brown (RW/LW),Los Angeles Kings,49,17,14,31,0.63,18,-3,https://www.eliteprospects.com/player/9099/dustin-brown,2020-2019,nhl,Dustin Brown ,RW/LW
136,Joonas Donskoi (RW/LW),Colorado Avalanche,51,17,14,31,0.61,10,14,https://www.eliteprospects.com/player/16039/joonas-donskoi,2020-2019,nhl,Joonas Donskoi ,RW/LW
137,Logan Couture (C),San Jose Sharks,53,17,14,31,0.59,25,-11,https://www.eliteprospects.com/player/11109/logan-couture,2020-2019,nhl,Logan Couture ,C
138,Christian Dvorak (LW/C),Arizona Coyotes,56,17,14,31,0.55,12,-11,https://www.eliteprospects.com/player/194889/christian-dvorak,2020-2019,nhl,Christian Dvorak ,LW/C
139,Blake Coleman (C/W),Tampa Bay Lightning,55,14,17,31,0.56,37,15,https://www.eliteprospects.com/player/46889/blake-coleman,2020-2019,nhl,Blake Coleman ,C/W
140,Timo Meier (LW/RW),San Jose Sharks,54,12,19,31,0.57,22,-5,https://www.eliteprospects.com/player/95921/timo-meier,2020-2019,nhl,Timo Meier ,LW/RW
141,Kevin Hayes (C),Philadelphia Flyers,55,12,19,31,0.56,22,-2,https://www.eliteprospects.com/player/40243/kevin-hayes,2020-2019,nhl,Kevin Hayes ,C
142,Jack Hughes (C),New Jersey Devils,56,11,20,31,0.55,16,-3,https://www.eliteprospects.com/player/305432/jack-hughes,2020-2019,nhl,Jack Hughes ,C
143,Devon Toews (D),Colorado Avalanche,53,9,22,31,0.59,16,29,https://www.eliteprospects.com/player/59575/devon-toews,2020-2019,nhl,Devon Toews ,D
144,Thomas Chabot (D),Ottawa Senators,49,6,25,31,0.63,36,-15,https://www.eliteprospects.com/player/213607/thomas-chabot,2020-2019,nhl,Thomas Chabot ,D
145,Nick Leddy (D),New York Islanders,56,2,29,31,0.55,8,-3,https://www.eliteprospects.com/player/38067/nick-leddy,2020-2019,nhl,Nick Leddy ,D
146,Chris Kreider (LW),New York Rangers,50,20,10,30,0.60,34,-1,https://www.eliteprospects.com/player/37998/chris-kreider,2020-2019,nhl,Chris Kreider ,LW
147,Joel Eriksson Ek (C),Minnesota Wild,56,19,11,30,0.54,20,16,https://www.eliteprospects.com/player/139633/joel-eriksson-ek,2020-2019,nhl,Joel Eriksson Ek ,C
148,Jeff Carter (C),totals,54,17,13,30,0.56,22,3,https://www.eliteprospects.com/player/8813/jeff-carter,2020-2019,nhl,Jeff Carter ,C
149,Yegor Sharangovich (C/W),New Jersey Devils,54,16,14,30,0.56,4,-4,https://www.eliteprospects.com/player/271111/yegor-sharangovich,2020-2019,nhl,Yegor Sharangovich ,C/W
150,Alex Iafallo (LW/C),Los Angeles Kings,55,13,17,30,0.55,4,-8,https://www.eliteprospects.com/player/121859/alex-iafallo,2020-2019,nhl,Alex Iafallo ,LW/C
151,Denis Guryanov (RW),Dallas Stars,55,12,18,30,0.55,21,0,https://www.eliteprospects.com/player/263964/denis-guryanov,2020-2019,nhl,Denis Guryanov ,RW
152,Kasperi Kapanen (RW/LW),Pittsburgh Penguins,40,11,19,30,0.75,7,15,https://www.eliteprospects.com/player/92226/kasperi-kapanen,2020-2019,nhl,Kasperi Kapanen ,RW/LW
153,Tomas Tatar (LW/RW),Montréal Canadiens,50,10,20,30,0.60,8,0,https://www.eliteprospects.com/player/17750/tomas-tatar,2020-2019,nhl,Tomas Tatar ,LW/RW
154,Jason Spezza (C),Toronto Maple Leafs,54,10,20,30,0.56,6,3,https://www.eliteprospects.com/player/3661/jason-spezza,2020-2019,nhl,Jason Spezza ,C
