,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
0,Connor McDavid (C),Edmonton Oilers,56,33,72,105,1.88,20,21,https://www.eliteprospects.com/player/183442/connor-mcdavid,2020-2019,nhl,Connor McDavid ,C
1,Leon Draisaitl (C/W),Edmonton Oilers,56,31,53,84,1.50,22,29,https://www.eliteprospects.com/player/71913/leon-draisaitl,2020-2019,nhl,Leon Draisaitl ,C/W
2,Brad Marchand (W/C),Boston Bruins,53,29,40,69,1.30,46,26,https://www.eliteprospects.com/player/10439/brad-marchand,2020-2019,nhl,Brad Marchand ,W/C
3,Mitchell Marner (RW),Toronto Maple Leafs,55,20,47,67,1.22,20,21,https://www.eliteprospects.com/player/223194/mitchell-marner,2020-2019,nhl,Mitchell Marner ,RW
4,Auston Matthews (C),Toronto Maple Leafs,52,41,25,66,1.27,10,21,https://www.eliteprospects.com/player/199898/auston-matthews,2020-2019,nhl,Auston Matthews ,C
5,Mikko Rantanen (W/C),Colorado Avalanche,52,30,36,66,1.27,34,30,https://www.eliteprospects.com/player/91186/mikko-rantanen,2020-2019,nhl,Mikko Rantanen ,W/C
6,Patrick Kane (RW),Chicago Blackhawks,56,15,51,66,1.18,14,-7,https://www.eliteprospects.com/player/9326/patrick-kane,2020-2019,nhl,Patrick Kane ,RW
7,Nathan MacKinnon (C/RW),Colorado Avalanche,48,20,45,65,1.35,37,22,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2020-2019,nhl,Nathan MacKinnon ,C/RW
8,Mark Scheifele (C),Winnipeg Jets,56,21,42,63,1.13,12,-4,https://www.eliteprospects.com/player/75379/mark-scheifele,2020-2019,nhl,Mark Scheifele ,C
9,Sidney Crosby (C),Pittsburgh Penguins,55,24,38,62,1.13,26,8,https://www.eliteprospects.com/player/6146/sidney-crosby,2020-2019,nhl,Sidney Crosby ,C
10,Mark Stone (RW),Vegas Golden Knights,55,21,40,61,1.11,28,26,https://www.eliteprospects.com/player/32806/mark-stone,2020-2019,nhl,Mark Stone ,RW
11,Jonathan Huberdeau (LW),Florida Panthers,55,20,41,61,1.11,36,12,https://www.eliteprospects.com/player/45261/jonathan-huberdeau,2020-2019,nhl,Jonathan Huberdeau ,LW
12,Aleksander Barkov (C),Florida Panthers,50,26,32,58,1.16,14,12,https://www.eliteprospects.com/player/50044/aleksander-barkov,2020-2019,nhl,Aleksander Barkov ,C
13,David Perron (LW/RW),St. Louis Blues,56,19,39,58,1.04,22,6,https://www.eliteprospects.com/player/11123/david-perron,2020-2019,nhl,David Perron ,LW/RW
14,Artemi Panarin (LW),New York Rangers,42,17,41,58,1.38,6,14,https://www.eliteprospects.com/player/24664/artemi-panarin,2020-2019,nhl,Artemi Panarin ,LW
15,Sebastian Aho (C/LW),Carolina Hurricanes,56,24,33,57,1.02,32,16,https://www.eliteprospects.com/player/152111/sebastian-aho,2020-2019,nhl,Sebastian Aho ,C/LW
16,Jake Guentzel (W/C),Pittsburgh Penguins,56,23,34,57,1.02,28,7,https://www.eliteprospects.com/player/199870/jake-guentzel,2020-2019,nhl,Jake Guentzel ,W/C
17,Alex DeBrincat (W/C),Chicago Blackhawks,52,32,24,56,1.08,12,3,https://www.eliteprospects.com/player/231275/alex-debrincat,2020-2019,nhl,Alex DeBrincat ,W/C
18,Ryan O'Reilly (C),St. Louis Blues,56,24,30,54,0.96,18,26,https://www.eliteprospects.com/player/14371/ryan-o-reilly,2020-2019,nhl,Ryan O'Reilly ,C
