,player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
0,Artemi Panarin (LW),New York Rangers,4,2,8,10,2.50,2,-1,https://www.eliteprospects.com/player/24664/artemi-panarin,2022-2021,nhl,Artemi Panarin ,LW
1,Mika Zibanejad (C),New York Rangers,4,4,4,8,2.00,0,2,https://www.eliteprospects.com/player/23856/mika-zibanejad,2022-2021,nhl,Mika Zibanejad ,C
2,David Pastrnak (RW),Boston Bruins,4,3,5,8,2.00,4,1,https://www.eliteprospects.com/player/130383/david-pastrnak,2022-2021,nhl,David Pastrnak ,RW
3,Steven Stamkos (C/W),Tampa Bay Lightning,4,6,1,7,1.75,6,1,https://www.eliteprospects.com/player/11113/steven-stamkos,2022-2021,nhl,Steven Stamkos ,C/W
4,Gabriel Vilardi (C),Los Angeles Kings,5,4,3,7,1.40,2,3,https://www.eliteprospects.com/player/286867/gabriel-vilardi,2022-2021,nhl,Gabriel Vilardi ,C
5,Nathan MacKinnon (C/RW),Colorado Avalanche,3,2,5,7,2.33,2,4,https://www.eliteprospects.com/player/99204/nathan-mackinnon,2022-2021,nhl,Nathan MacKinnon ,C/RW
6,Valeri Nichushkin (RW),Colorado Avalanche,3,4,2,6,2.00,0,-1,https://www.eliteprospects.com/player/108661/valeri-nichushkin,2022-2021,nhl,Valeri Nichushkin ,RW
7,Connor McDavid (C),Edmonton Oilers,3,4,2,6,2.00,4,0,https://www.eliteprospects.com/player/183442/connor-mcdavid,2022-2021,nhl,Connor McDavid ,C
8,Adrian Kempe (C/W),Los Angeles Kings,5,4,2,6,1.20,4,1,https://www.eliteprospects.com/player/86313/adrian-kempe,2022-2021,nhl,Adrian Kempe ,C/W
9,Elias Pettersson (C/W),Vancouver Canucks,4,3,3,6,1.50,0,1,https://www.eliteprospects.com/player/266336/elias-pettersson,2022-2021,nhl,Elias Pettersson ,C/W
10,Troy Terry (RW/C),Anaheim Ducks,4,3,3,6,1.50,2,1,https://www.eliteprospects.com/player/234046/troy-terry,2022-2021,nhl,Troy Terry ,RW/C
