,powerPlayPrct_home,penaltyKillPrct_home,shots_home,shotsallowed_home,faceOffWinPercentage_home,shootingPrct_home,savePrct_home,powerPlayPrct_away,penaltyKillPrct_away,shots_away,shotsallowed_away,faceOffWinPercentage_away,shootingPrct_away,savePrct_away
0,0.0,0.857142857142857,30,21,50.0000065698706,0.133333333333333,0.904761904761905,0.142857142857143,1.0,21,30,50.0000065698706,0.0952380952380952,0.866666666666667
1,0.428571428571429,1.0,33,29,50.0000065698706,0.181818181818182,0.896551724137931,0.0,0.571428571428571,29,33,50.0000065698706,0.103448275862069,0.818181818181818
2,0.0,0.75,21,28,50.0000065698706,0.142857142857143,0.857142857142857,0.25,1.0,28,21,50.0000065698706,0.142857142857143,0.857142857142857
3,0.333333333333333,0.75,20,33,50.0000065698706,0.2,0.96969696969697,0.25,0.666666666666667,33,20,50.0000065698706,0.0303030303030303,0.8
4,0.25,0.571428571428571,34,30,50.0000065698706,0.235294117647059,0.866666666666667,0.428571428571429,0.75,30,34,50.0000065698706,0.133333333333333,0.764705882352941
5,0.125,1.0,20,31,50.0000065698706,0.05,0.870967741935484,0.0,0.875,31,20,50.0000065698706,0.129032258064516,0.95
6,0.125,0.833333333333333,24,21,50.0000065698706,0.125,0.80952380952381,0.166666666666667,0.875,21,24,50.0000065698706,0.19047619047619,0.875
7,0.166666666666667,0.8,29,34,50.0000065698706,0.0689655172413793,0.970588235294118,0.2,0.833333333333333,34,29,50.0000065698706,0.0294117647058824,0.931034482758621
8,0.2,1.0,39,36,50.0000065698706,0.0769230769230769,0.972222222222222,0.0,0.8,36,39,50.0000065698706,0.0277777777777778,0.923076923076923
9,0.0,0.888888888888889,19,29,50.0000065698706,0.0526315789473684,0.862068965517241,0.111111111111111,1.0,29,19,50.0000065698706,0.137931034482759,0.947368421052632
10,0.5,0.666666666666667,24,22,50.0000065698706,0.208333333333333,0.863636363636364,0.333333333333333,0.5,22,24,50.0000065698706,0.136363636363636,0.791666666666667
11,0.142857142857143,1.0,18,26,50.0000065698706,0.111111111111111,1.0,0.0,0.857142857142857,26,18,50.0000065698706,0.0,0.888888888888889
12,0.0,0.857142857142857,20,24,50.0000065698706,0.15,0.958333333333333,0.142857142857143,1.0,24,20,50.0000065698706,0.0416666666666667,0.85
13,0.2,0.625,32,25,50.0000065698706,0.03125,0.8,0.375,0.8,25,32,50.0000065698706,0.2,0.96875
14,0.333333333333333,0.857142857142857,26,33,50.0000065698706,0.0384615384615385,0.909090909090909,0.142857142857143,0.666666666666667,33,26,50.0000065698706,0.0909090909090909,0.961538461538462
15,0.0,0.666666666666667,28,28,50.0000065698706,0.0357142857142857,0.928571428571429,0.333333333333333,1.0,28,28,50.0000065698706,0.0714285714285714,0.964285714285714
16,0.0,0.75,21,25,50.0000065698706,0.142857142857143,0.8,0.25,1.0,25,21,50.0000065698706,0.2,0.857142857142857
17,0.333333333333333,1.0,27,22,50.0000065698706,0.148148148148148,0.954545454545455,0.0,0.666666666666667,22,27,50.0000065698706,0.0454545454545455,0.851851851851852
18,0.25,1.0,16,41,50.0000065698706,0.25,0.878048780487805,0.0,0.75,41,16,50.0000065698706,0.121951219512195,0.75
19,0.0,0.833333333333333,22,41,50.0000065698706,0.0454545454545455,0.926829268292683,0.166666666666667,1.0,41,22,50.0000065698706,0.0731707317073171,0.954545454545455
20,0.0,0.875,25,40,50.0000065698706,0.04,0.875,0.125,1.0,40,25,50.0000065698706,0.125,0.96
21,0.166666666666667,0.857142857142857,22,31,50.0000065698706,0.181818181818182,0.935483870967742,0.142857142857143,0.833333333333333,31,22,50.0000065698706,0.0645161290322581,0.818181818181818
22,0.5,0.666666666666667,31,23,50.0000065698706,0.032258064516129,0.869565217391304,0.333333333333333,0.5,23,31,50.0000065698706,0.130434782608696,0.967741935483871
23,0.166666666666667,0.714285714285714,28,39,50.0000065698706,0.0357142857142857,0.82051282051282,0.285714285714286,0.833333333333333,39,28,50.0000065698706,0.179487179487179,0.964285714285714
24,0.333333333333333,1.0,23,18,50.0000065698706,0.217391304347826,0.888888888888889,0.0,0.666666666666667,18,23,50.0000065698706,0.111111111111111,0.782608695652174
25,0.142857142857143,1.0,22,21,50.0000065698706,0.227272727272727,0.904761904761905,0.0,0.857142857142857,21,22,50.0000065698706,0.0952380952380952,0.772727272727273
26,0.0,0.833333333333333,30,19,50.0000065698706,0.0333333333333333,0.842105263157895,0.166666666666667,1.0,19,30,50.0000065698706,0.157894736842105,0.966666666666667
27,0.125,1.0,33,20,50.0000065698706,0.0909090909090909,0.9,0.0,0.875,20,33,50.0000065698706,0.1,0.909090909090909
28,0.4,0.333333333333333,26,21,50.0000065698706,0.230769230769231,0.761904761904762,0.666666666666667,0.6,21,26,50.0000065698706,0.238095238095238,0.769230769230769
29,0.333333333333333,1.0,32,29,50.0000065698706,0.09375,0.96551724137931,0.0,0.666666666666667,29,32,50.0000065698706,0.0344827586206897,0.90625
30,0.0,1.0,36,25,50.0000065698706,0.0833333333333333,0.84,0.0,1.0,25,36,50.0000065698706,0.16,0.916666666666667
31,0.142857142857143,0.625,30,28,50.0000065698706,0.0666666666666667,0.892857142857143,0.375,0.857142857142857,28,30,50.0000065698706,0.107142857142857,0.933333333333333
32,0.0,0.833333333333333,23,19,50.0000065698706,0.0,0.789473684210526,0.166666666666667,1.0,19,23,50.0000065698706,0.210526315789474,1.0
33,0.0,1.0,22,27,50.0000065698706,0.181818181818182,0.962962962962963,0.0,1.0,27,22,50.0000065698706,0.037037037037037,0.818181818181818
