game_id,team_id_home,abbreviation_home,won_home,goals_home,powerPlayPrct_home,penaltyKillPrct_home,shots_home,shotsallowed_home,winoutshootopp_home,winoutshotbyopp_home,faceOffWinPercentage_home,shootingPrct_home,savePrct_home,team_id_away,abbreviation_away,won_away,goals_away,powerPlayPrct_away,penaltyKillPrct_away,shots_away,shotsallowed_away,winoutshootopp_away,winoutshotbyopp_away,faceOffWinPercentage_away,shootingPrct_away,savePrct_away
2000020003,7,BUF,t,4,0,0.857142857142857,30,21,True,False,50.0000065698706,0.133333333333333,0.904761904761905,16,CHI,f,2,0.142857142857143,1,21,30,False,False,50.0000065698706,0.0952380952380952,0.866666666666667
2000020004,4,PHI,t,6,0.428571428571429,1,33,29,True,False,50.0000065698706,0.181818181818182,0.896551724137931,23,VAN,f,3,0,0.571428571428571,29,33,False,False,50.0000065698706,0.103448275862069,0.818181818181818
2000020005,20,CGY,f,3,0,0.75,21,28,False,False,50.0000065698706,0.142857142857143,0.857142857142857,17,DET,t,4,0.25,1,28,21,True,False,50.0000065698706,0.142857142857143,0.857142857142857
2000020006,27,PHX,t,4,0.333333333333333,0.75,20,33,False,True,50.0000065698706,0.2,0.96969696969697,19,STL,f,1,0.25,0.666666666666667,33,20,False,False,50.0000065698706,0.0303030303030303,0.8
2000020007,1,NJD,t,8,0.25,0.571428571428571,34,30,True,False,50.0000065698706,0.235294117647059,0.866666666666667,8,MTL,f,4,0.428571428571429,0.75,30,34,False,False,50.0000065698706,0.133333333333333,0.764705882352941
2000020008,15,WSH,f,1,0.125,1,20,31,False,False,50.0000065698706,0.05,0.870967741935484,26,LAK,t,4,0,0.875,31,20,True,False,50.0000065698706,0.129032258064516,0.95
2000020010,13,FLA,f,3,0.125,0.833333333333333,24,21,False,False,50.0000065698706,0.125,0.80952380952381,23,VAN,t,4,0.166666666666667,0.875,21,24,False,True,50.0000065698706,0.19047619047619,0.875
2000020011,22,EDM,t,2,0.166666666666667,0.8,29,34,False,True,50.0000065698706,0.0689655172413793,0.970588235294118,17,DET,f,1,0.2,0.833333333333333,34,29,False,False,50.0000065698706,0.0294117647058824,0.931034482758621
2000020012,24,ANA,t,3,0.2,1,39,36,True,False,50.0000065698706,0.0769230769230769,0.972222222222222,30,MIN,f,1,0,0.8,36,39,False,False,50.0000065698706,0.0277777777777778,0.923076923076923
2000020013,28,SJS,f,1,0,0.888888888888889,19,29,False,False,50.0000065698706,0.0526315789473684,0.862068965517241,19,STL,t,4,0.111111111111111,1,29,19,True,False,50.0000065698706,0.137931034482759,0.947368421052632
2000020014,7,BUF,t,5,0.5,0.666666666666667,24,22,True,False,50.0000065698706,0.208333333333333,0.863636363636364,26,LAK,f,3,0.333333333333333,0.5,22,24,False,False,50.0000065698706,0.136363636363636,0.791666666666667
2000020015,10,TOR,t,2,0.142857142857143,1,18,26,False,True,50.0000065698706,0.111111111111111,1,8,MTL,f,0,0,0.857142857142857,26,18,False,False,50.0000065698706,0,0.888888888888889
2000020016,9,OTT,t,3,0,0.857142857142857,20,24,False,True,50.0000065698706,0.15,0.958333333333333,25,DAL,f,1,0.142857142857143,1,24,20,False,False,50.0000065698706,0.0416666666666667,0.85
2000020017,4,PHI,f,1,0.2,0.625,32,25,False,False,50.0000065698706,0.03125,0.8,6,BOS,t,5,0.375,0.8,25,32,False,True,50.0000065698706,0.2,0.96875
2000020018,5,PIT,f,1,0.333333333333333,0.857142857142857,26,33,False,False,50.0000065698706,0.0384615384615385,0.909090909090909,18,NSH,t,3,0.142857142857143,0.666666666666667,33,26,True,False,50.0000065698706,0.0909090909090909,0.961538461538462
2000020020,11,ATL,f,1,0,0.666666666666667,28,28,False,False,50.0000065698706,0.0357142857142857,0.928571428571429,3,NYR,t,2,0.333333333333333,1,28,28,False,False,50.0000065698706,0.0714285714285714,0.964285714285714
2000020021,29,CBJ,f,3,0,0.75,21,25,False,False,50.0000065698706,0.142857142857143,0.8,16,CHI,t,5,0.25,1,25,21,True,False,50.0000065698706,0.2,0.857142857142857
2000020023,27,PHX,t,4,0.333333333333333,1,27,22,True,False,50.0000065698706,0.148148148148148,0.954545454545455,30,MIN,f,1,0,0.666666666666667,22,27,False,False,50.0000065698706,0.0454545454545455,0.851851851851852
2000020024,14,TBL,f,4,0.25,1,16,41,False,False,50.0000065698706,0.25,0.878048780487805,23,VAN,t,5,0,0.75,41,16,True,False,50.0000065698706,0.121951219512195,0.75
2000020025,18,NSH,f,1,0,0.833333333333333,22,41,False,False,50.0000065698706,0.0454545454545455,0.926829268292683,5,PIT,t,3,0.166666666666667,1,41,22,True,False,50.0000065698706,0.0731707317073171,0.954545454545455
2000020026,24,ANA,f,1,0,0.875,25,40,False,False,50.0000065698706,0.04,0.875,19,STL,t,5,0.125,1,40,25,True,False,50.0000065698706,0.125,0.96
2000020027,6,BOS,t,4,0.166666666666667,0.857142857142857,22,31,False,True,50.0000065698706,0.181818181818182,0.935483870967742,13,FLA,f,2,0.142857142857143,0.833333333333333,31,22,False,False,50.0000065698706,0.0645161290322581,0.818181818181818
2000020028,10,TOR,f,1,0.5,0.666666666666667,31,23,False,False,50.0000065698706,0.032258064516129,0.869565217391304,25,DAL,t,3,0.333333333333333,0.5,23,31,False,True,50.0000065698706,0.130434782608696,0.967741935483871
2000020029,29,CBJ,f,1,0.166666666666667,0.714285714285714,28,39,False,False,50.0000065698706,0.0357142857142857,0.82051282051282,26,LAK,t,7,0.285714285714286,0.833333333333333,39,28,True,False,50.0000065698706,0.179487179487179,0.964285714285714
