,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Ben Bishop,Dallas Stars,46,1.98,.934,27,15,2,7,2637,1236,87,https://www.eliteprospects.com/player/11797/ben-bishop,2018-2017,nhl
1,Robin Lehner,New York Islanders,46,2.13,.930,25,13,5,6,2616,1230,93,https://www.eliteprospects.com/player/9796/robin-lehner,2018-2017,nhl
2,Jack Campbell,Los Angeles Kings,31,2.30,.928,10,14,1,2,1593,784,61,https://www.eliteprospects.com/player/20709/jack-campbell,2018-2017,nhl
3,Jordan Binnington,St. Louis Blues,32,1.89,.927,24,5,1,5,1876,748,59,https://www.eliteprospects.com/player/45580/jordan-binnington,2018-2017,nhl
4,Thomas Greiss,New York Islanders,43,2.28,.927,23,14,2,5,2294,1098,87,https://www.eliteprospects.com/player/10954/thomas-greiss,2018-2017,nhl
5,Darcy Kuemper,Arizona Coyotes,55,2.33,.925,27,20,8,5,3252,1551,126,https://www.eliteprospects.com/player/23162/darcy-kuemper,2018-2017,nhl
6,Andrei Vasilevsky,Tampa Bay Lightning,53,2.40,.925,39,10,4,6,3204,1585,128,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2018-2017,nhl
7,Laurent Brossoit,Winnipeg Jets,21,2.52,.925,13,6,2,1,1166,603,49,https://www.eliteprospects.com/player/37133/laurent-brossoit,2018-2017,nhl
8,Cal Petersen,Los Angeles Kings,11,2.60,.924,5,4,1,1,622,328,27,https://www.eliteprospects.com/player/121956/cal-petersen,2018-2017,nhl
9,Anton Khudobin,Dallas Stars,41,2.57,.923,16,17,5,2,2219,1137,95,https://www.eliteprospects.com/player/9265/anton-khudobin,2018-2017,nhl
10,Jaroslav Halák,Boston Bruins,40,2.34,.922,22,11,4,5,2309,1068,90,https://www.eliteprospects.com/player/9648/jaroslav-halak,2018-2017,nhl
11,Matt Murray,Pittsburgh Penguins,50,2.69,.919,29,14,6,4,2881,1465,129,https://www.eliteprospects.com/player/91683/matt-murray,2018-2017,nhl
12,Pekka Rinne,Nashville Predators,56,2.42,.918,30,19,4,4,3220,1451,130,https://www.eliteprospects.com/player/4282/pekka-rinne,2018-2017,nhl
13,Carey Price,Montréal Canadiens,66,2.49,.918,35,24,6,4,3880,1791,161,https://www.eliteprospects.com/player/9368/carey-price,2018-2017,nhl
14,Mackenzie Blackwood,New Jersey Devils,23,2.61,.918,10,10,0,2,1264,614,55,https://www.eliteprospects.com/player/203280/mackenzie-blackwood,2018-2017,nhl
15,Philipp Grubauer,Colorado Avalanche,37,2.64,.917,18,9,5,3,2021,982,89,https://www.eliteprospects.com/player/17632/philipp-grubauer,2018-2017,nhl
16,Frederik Andersen,Toronto Maple Leafs,60,2.77,.917,36,16,7,1,3510,1796,162,https://www.eliteprospects.com/player/15205/frederik-andersen,2018-2017,nhl
17,Carter Hart,Philadelphia Flyers,31,2.83,.917,16,13,1,0,1717,895,81,https://www.eliteprospects.com/player/161850/carter-hart,2018-2017,nhl
18,John Gibson,Anaheim Ducks,58,2.84,.917,26,22,8,2,3233,1685,153,https://www.eliteprospects.com/player/45399/john-gibson,2018-2017,nhl
19,Casey DeSmith,Pittsburgh Penguins,36,2.75,.916,15,11,5,3,1944,971,89,https://www.eliteprospects.com/player/45724/casey-desmith,2018-2017,nhl
20,Juuse Saros,Nashville Predators,31,2.62,.915,17,10,2,3,1696,796,74,https://www.eliteprospects.com/player/50744/juuse-saros,2018-2017,nhl
