,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
21,Petr Mrázek,Carolina Hurricanes,40,2.39,.914,23,14,3,4,2387,1009,95,https://www.eliteprospects.com/player/34797/petr-mrazek,2018-2017,nhl
22,Alexandar Georgiyev,New York Rangers,33,2.91,.914,14,13,4,2,1875,966,91,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2018-2017,nhl
23,Marc-André Fleury,Vegas Golden Knights,61,2.51,.913,35,21,5,8,3635,1593,152,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2018-2017,nhl
24,Devan Dubnyk,Minnesota Wild,67,2.54,.913,31,28,6,2,3856,1714,163,https://www.eliteprospects.com/player/9201/devan-dubnyk,2018-2017,nhl
25,Sergei Bobrovski,Columbus Blue Jackets,62,2.58,.913,37,24,1,9,3557,1603,153,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2018-2017,nhl
26,Connor Hellebuyck,Winnipeg Jets,63,2.90,.913,34,23,3,2,3705,1872,179,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2018-2017,nhl
27,Tuukka Rask,Boston Bruins,46,2.48,.912,27,13,5,4,2636,1136,109,https://www.eliteprospects.com/player/4217/tuukka-rask,2018-2017,nhl
28,Curtis McElhinney,Carolina Hurricanes,33,2.58,.912,20,11,2,2,1978,883,85,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2018-2017,nhl
29,Ryan Miller,Anaheim Ducks,20,2.76,.912,8,7,2,1,1109,527,51,https://www.eliteprospects.com/player/8802/ryan-miller,2018-2017,nhl
30,Jacob Markström,Vancouver Canucks,60,2.77,.912,28,23,9,1,3600,1730,166,https://www.eliteprospects.com/player/9787/jacob-markstrom,2018-2017,nhl
31,David Rittich,Calgary Flames,45,2.61,.911,27,9,5,1,2504,1119,109,https://www.eliteprospects.com/player/131342/david-rittich,2018-2017,nhl
32,Braden Holtby,Washington Capitals,59,2.82,.911,32,19,5,3,3407,1635,160,https://www.eliteprospects.com/player/11394/braden-holtby,2018-2017,nhl
33,Semyon Varlamov,Colorado Avalanche,49,2.87,.909,20,19,9,2,2839,1360,136,https://www.eliteprospects.com/player/9308/semyon-varlamov,2018-2017,nhl
34,Jimmy Howard,Detroit Red Wings,55,3.07,.909,23,22,5,0,3053,1553,156,https://www.eliteprospects.com/player/9058/jimmy-howard,2018-2017,nhl
35,Louis Domingue,Tampa Bay Lightning,26,2.88,.908,21,5,0,0,1561,737,75,https://www.eliteprospects.com/player/31515/louis-domingue,2018-2017,nhl
36,Corey Crawford,Chicago Blackhawks,39,2.93,.908,14,18,5,2,2213,1068,108,https://www.eliteprospects.com/player/11347/corey-crawford,2018-2017,nhl
37,Anders Nilsson,totals,36,2.97,.908,14,19,1,2,2040,997,101,https://www.eliteprospects.com/player/5591/anders-nilsson,2018-2017,nhl
38,Carter Hutton,Buffalo Sabres,50,3.00,.908,18,25,5,0,2840,1399,142,https://www.eliteprospects.com/player/24819/carter-hutton,2018-2017,nhl
39,Collin Delia,Chicago Blackhawks,16,3.61,.908,6,4,3,0,831,495,50,https://www.eliteprospects.com/player/155712/collin-delia,2018-2017,nhl
40,Brian Elliott,Philadelphia Flyers,26,2.96,.907,11,11,1,1,1397,672,69,https://www.eliteprospects.com/player/11336/brian-elliott,2018-2017,nhl
41,Henrik Lundqvist,New York Rangers,52,3.07,.907,18,23,10,0,3089,1541,158,https://www.eliteprospects.com/player/286/henrik-lundqvist,2018-2017,nhl
42,Antti Raanta,Arizona Coyotes,12,2.88,.906,5,6,0,0,688,318,33,https://www.eliteprospects.com/player/17016/antti-raanta,2018-2017,nhl
43,Mikko Koskinen,Edmonton Oilers,55,2.93,.906,25,21,6,4,2992,1405,146,https://www.eliteprospects.com/player/12807/mikko-koskinen,2018-2017,nhl
44,Jake Allen,St. Louis Blues,46,2.83,.905,19,17,8,3,2568,1156,121,https://www.eliteprospects.com/player/17522/jake-allen,2018-2017,nhl
45,Pheonix Copley,Washington Capitals,27,2.90,.905,16,7,3,1,1529,702,74,https://www.eliteprospects.com/player/90250/pheonix-copley,2018-2017,nhl
46,Linus Ullmark,Buffalo Sabres,37,3.11,.905,15,14,5,2,2103,1037,109,https://www.eliteprospects.com/player/19760/linus-ullmark,2018-2017,nhl
47,Jonathan Bernier,Detroit Red Wings,35,3.16,.904,9,18,5,1,1860,927,98,https://www.eliteprospects.com/player/9330/jonathan-bernier,2018-2017,nhl
48,Cory Schneider,New Jersey Devils,26,3.06,.903,6,13,4,1,1372,648,70,https://www.eliteprospects.com/player/9203/cory-schneider,2018-2017,nhl
49,Craig Anderson,Ottawa Senators,50,3.51,.903,17,27,4,2,2785,1513,163,https://www.eliteprospects.com/player/9066/craig-anderson,2018-2017,nhl
50,Malcolm Subban,Vegas Golden Knights,21,2.93,.902,8,10,2,1,1227,552,60,https://www.eliteprospects.com/player/59221/malcolm-subban,2018-2017,nhl
51,Garret Sparks,Toronto Maple Leafs,20,3.15,.902,8,9,1,1,1105,534,58,https://www.eliteprospects.com/player/91267/garret-sparks,2018-2017,nhl
52,Adin Hill,Arizona Coyotes,13,2.76,.901,7,5,0,1,697,290,32,https://www.eliteprospects.com/player/62230/adin-hill,2018-2017,nhl
53,Anthony Stolarz,totals,18,3.45,.901,4,5,3,1,869,453,50,https://www.eliteprospects.com/player/131368/anthony-stolarz,2018-2017,nhl
54,James Reimer,Florida Panthers,36,3.09,.900,13,12,5,0,1806,836,93,https://www.eliteprospects.com/player/11538/james-reimer,2018-2017,nhl
55,Alex Stalock,Minnesota Wild,21,2.99,.899,6,8,3,0,1066,472,53,https://www.eliteprospects.com/player/11796/alex-stalock,2018-2017,nhl
56,Roberto Luongo,Florida Panthers,43,3.12,.899,18,16,5,1,2347,1083,122,https://www.eliteprospects.com/player/8546/roberto-luongo,2018-2017,nhl
57,Mike Smith,Calgary Flames,42,2.73,.898,23,16,2,2,2400,960,109,https://www.eliteprospects.com/player/10173/mike-smith,2018-2017,nhl
58,Joonas Korpisalo,Columbus Blue Jackets,27,2.95,.897,10,7,3,0,1361,584,67,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2018-2017,nhl
59,Cam Ward,Chicago Blackhawks,33,3.67,.897,16,12,4,0,1883,998,115,https://www.eliteprospects.com/player/8806/cam-ward,2018-2017,nhl
60,Martin Jones,San Jose Sharks,62,2.94,.896,36,19,5,3,3598,1523,176,https://www.eliteprospects.com/player/11709/martin-jones,2018-2017,nhl
61,Samuel Montembeault,Florida Panthers,11,3.05,.894,4,3,2,0,591,252,30,https://www.eliteprospects.com/player/187526/samuel-montembeault,2018-2017,nhl
62,Cam Talbot,totals,35,3.40,.892,11,17,3,1,1906,889,108,https://www.eliteprospects.com/player/33246/cam-talbot,2018-2017,nhl
63,Mike McKenna,totals,11,3.99,.892,1,5,1,0,512,282,34,https://www.eliteprospects.com/player/11523/mike-mckenna,2018-2017,nhl
64,Keith Kinkaid,totals,41,3.36,.891,15,18,6,3,2302,1059,129,https://www.eliteprospects.com/player/14384/keith-kinkaid,2018-2017,nhl
65,Jonathan Quick,Los Angeles Kings,46,3.38,.888,16,23,7,2,2648,1180,149,https://www.eliteprospects.com/player/11798/jonathan-quick,2018-2017,nhl
66,Antti Niemi,Montréal Canadiens,17,3.78,.887,8,6,2,0,969,478,61,https://www.eliteprospects.com/player/7566/antti-niemi,2018-2017,nhl
67,Aaron Dell,San Jose Sharks,25,3.17,.886,10,8,4,2,1324,543,70,https://www.eliteprospects.com/player/25790/aaron-dell,2018-2017,nhl
68,Chad Johnson,totals,19,3.63,.879,2,11,0,1,811,357,49,https://www.eliteprospects.com/player/11918/chad-johnson,2018-2017,nhl
69,Calvin Pickard,totals,17,3.86,.875,4,6,2,1,747,336,48,https://www.eliteprospects.com/player/23165/calvin-pickard,2018-2017,nhl
70,Landon Bow,Dallas Stars,2,1.03,.947,0,0,0,0,59,18,1,https://www.eliteprospects.com/player/84264/landon-bow,2018-2017,nhl
71,Pavel Francouz,Colorado Avalanche,2,1.97,.943,0,2,0,0,62,33,2,https://www.eliteprospects.com/player/18084/pavel-francouz,2018-2017,nhl
72,Christopher Gibson,New York Islanders,2,1.50,.941,0,0,0,0,40,16,1,https://www.eliteprospects.com/player/40999/christopher-gibson,2018-2017,nhl
73,Kevin Boyle,Anaheim Ducks,5,2.17,.928,1,3,0,1,277,129,10,https://www.eliteprospects.com/player/37953/kevin-boyle,2018-2017,nhl
74,Alex Nedeljkovic,Carolina Hurricanes,1,2.00,.923,1,0,0,0,60,24,2,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2018-2017,nhl
75,Thatcher Demko,Vancouver Canucks,9,2.81,.913,4,3,1,0,535,263,25,https://www.eliteprospects.com/player/155248/thatcher-demko,2018-2017,nhl
76,Charlie Lindgren,Montréal Canadiens,1,4.62,.898,1,0,0,0,65,44,5,https://www.eliteprospects.com/player/122640/charlie-lindgren,2018-2017,nhl
77,Hunter Miska,Arizona Coyotes,1,3.33,.889,0,0,0,0,19,8,1,https://www.eliteprospects.com/player/151823/hunter-miska,2018-2017,nhl
78,Michael Hutchinson,totals,9,3.27,.887,3,4,2,1,497,212,27,https://www.eliteprospects.com/player/14727/michael-hutchinson,2018-2017,nhl
79,Tristan Jarry,Pittsburgh Penguins,2,3.50,.887,0,1,1,0,121,55,7,https://www.eliteprospects.com/player/88602/tristan-jarry,2018-2017,nhl
80,Scott Darling,Carolina Hurricanes,8,3.33,.884,2,4,2,0,486,206,27,https://www.eliteprospects.com/player/12553/scott-darling,2018-2017,nhl
81,Marcus Högberg,Ottawa Senators,4,4.08,.884,0,2,1,0,206,107,14,https://www.eliteprospects.com/player/29074/marcus-hogberg,2018-2017,nhl
82,Edward Pasquale,Tampa Bay Lightning,3,3.96,.882,2,1,0,0,182,90,12,https://www.eliteprospects.com/player/11248/edward-pasquale,2018-2017,nhl
83,Joey Daccord,Ottawa Senators,1,5.00,.875,0,1,0,0,60,35,5,https://www.eliteprospects.com/player/248377/joey-daccord,2018-2017,nhl
84,Max Lagacé,Vegas Golden Knights,1,4.00,.871,0,1,0,0,60,27,4,https://www.eliteprospects.com/player/76323/max-lagace,2018-2017,nhl
85,Michal Neuvirth,Philadelphia Flyers,7,4.26,.859,1,4,1,0,366,158,26,https://www.eliteprospects.com/player/9279/michal-neuvirth,2018-2017,nhl
86,Eric Comrie,Winnipeg Jets,1,5.00,.821,0,1,0,0,60,23,5,https://www.eliteprospects.com/player/83873/eric-comrie,2018-2017,nhl
87,Kaden Fulcher,Detroit Red Wings,1,4.44,.818,0,0,0,0,27,9,2,https://www.eliteprospects.com/player/269479/kaden-fulcher,2018-2017,nhl
88,Peter Budaj,Los Angeles Kings,3,5.00,.818,0,1,0,0,72,27,6,https://www.eliteprospects.com/player/8602/peter-budaj,2018-2017,nhl
89,Alex Lyon,Philadelphia Flyers,2,5.07,.806,0,1,0,0,71,25,6,https://www.eliteprospects.com/player/114768/alex-lyon,2018-2017,nhl
90,Mike Condon,Ottawa Senators,2,6.40,.800,0,2,0,0,76,32,8,https://www.eliteprospects.com/player/19184/mike-condon,2018-2017,nhl
91,Richard Bachman,Vancouver Canucks,1,6.00,.793,0,1,0,0,60,23,6,https://www.eliteprospects.com/player/11987/richard-bachman,2018-2017,nhl
92,Michael DiPietro,Vancouver Canucks,1,7.00,.708,0,1,0,0,60,17,7,https://www.eliteprospects.com/player/300424/michael-dipietro,2018-2017,nhl
