,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Igor Shestyorkin,New York Rangers,53,2.07,.935,36,13,4,6,3071,1516,106,https://www.eliteprospects.com/player/195577/igor-shestyorkin,2021-2020,nhl
1,Ilya Sorokin,New York Islanders,52,2.40,.925,26,18,8,7,3072,1520,123,https://www.eliteprospects.com/player/214182/ilya-sorokin,2021-2020,nhl
2,Frederik Andersen,Carolina Hurricanes,52,2.17,.922,35,14,3,4,3071,1320,111,https://www.eliteprospects.com/player/15205/frederik-andersen,2021-2020,nhl
3,Jacob Markström,Calgary Flames,63,2.22,.922,37,15,9,9,3696,1617,137,https://www.eliteprospects.com/player/9787/jacob-markstrom,2021-2020,nhl
4,Darcy Kuemper,Colorado Avalanche,57,2.54,.921,37,12,4,5,3259,1616,138,https://www.eliteprospects.com/player/23162/darcy-kuemper,2021-2020,nhl
5,Eric Comrie,Winnipeg Jets,19,2.58,.920,10,5,1,1,1025,506,44,https://www.eliteprospects.com/player/83873/eric-comrie,2021-2020,nhl
6,Tristan Jarry,Pittsburgh Penguins,58,2.42,.919,34,18,6,4,3415,1573,138,https://www.eliteprospects.com/player/88602/tristan-jarry,2021-2020,nhl
7,Ville Husso,St. Louis Blues,40,2.56,.919,25,7,6,2,2341,1136,100,https://www.eliteprospects.com/player/50661/ville-husso,2021-2020,nhl
8,Juuse Saros,Nashville Predators,67,2.64,.918,38,25,3,4,3931,1934,173,https://www.eliteprospects.com/player/50744/juuse-saros,2021-2020,nhl
9,Linus Ullmark,Boston Bruins,41,2.45,.917,26,10,2,1,2330,1045,95,https://www.eliteprospects.com/player/19760/linus-ullmark,2021-2020,nhl
10,Anthony Stolarz,Anaheim Ducks,28,2.67,.917,12,8,3,3,1506,742,67,https://www.eliteprospects.com/player/131368/anthony-stolarz,2021-2020,nhl
11,Anton Forsberg,Ottawa Senators,46,2.82,.917,22,17,4,1,2571,1336,121,https://www.eliteprospects.com/player/15830/anton-forsberg,2021-2020,nhl
12,Andrei Vasilevsky,Tampa Bay Lightning,63,2.49,.916,39,18,5,2,3761,1712,156,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2021-2020,nhl
13,Pavel Francouz,Colorado Avalanche,21,2.55,.916,15,5,1,2,1200,557,51,https://www.eliteprospects.com/player/18084/pavel-francouz,2021-2020,nhl
14,Thatcher Demko,Vancouver Canucks,64,2.72,.915,33,22,7,1,3701,1799,168,https://www.eliteprospects.com/player/155248/thatcher-demko,2021-2020,nhl
15,Mike Smith,Edmonton Oilers,28,2.81,.915,16,9,2,2,1580,800,74,https://www.eliteprospects.com/player/10173/mike-smith,2021-2020,nhl
16,Jeremy Swayman,Boston Bruins,41,2.41,.914,23,14,3,3,2390,1015,96,https://www.eliteprospects.com/player/269688/jeremy-swayman,2021-2020,nhl
17,Jake Oettinger,Dallas Stars,48,2.53,.914,30,15,1,1,2708,1217,114,https://www.eliteprospects.com/player/247982/jake-oettinger,2021-2020,nhl
18,Jack Campbell,Toronto Maple Leafs,49,2.64,.914,31,9,6,5,2795,1307,123,https://www.eliteprospects.com/player/20709/jack-campbell,2021-2020,nhl
19,Logan Thompson,Vegas Golden Knights,19,2.68,.914,10,5,3,1,1098,520,49,https://www.eliteprospects.com/player/161070/logan-thompson,2021-2020,nhl
20,Casey DeSmith,Pittsburgh Penguins,26,2.79,.914,11,6,5,3,1418,703,66,https://www.eliteprospects.com/player/45724/casey-desmith,2021-2020,nhl
21,Stuart Skinner,Edmonton Oilers,13,2.62,.913,6,6,0,1,734,335,32,https://www.eliteprospects.com/player/166664/stuart-skinner,2021-2020,nhl
22,Sergei Bobrovski,Florida Panthers,54,2.67,.913,39,7,3,3,3082,1429,137,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2021-2020,nhl
23,Braden Holtby,Dallas Stars,24,2.78,.913,10,10,1,0,1318,639,61,https://www.eliteprospects.com/player/11394/braden-holtby,2021-2020,nhl
24,Brian Elliott,Tampa Bay Lightning,19,2.43,.912,11,4,3,1,1063,446,43,https://www.eliteprospects.com/player/11336/brian-elliott,2021-2020,nhl
25,Antti Raanta,Carolina Hurricanes,28,2.45,.912,15,5,4,2,1517,644,62,https://www.eliteprospects.com/player/17016/antti-raanta,2021-2020,nhl
26,Kaapo Kähkönen,totals,36,2.87,.912,14,14,4,0,1946,963,93,https://www.eliteprospects.com/player/114708/kaapo-kahkonen,2021-2020,nhl
27,Cam Talbot,Minnesota Wild,49,2.76,.911,32,12,4,3,2864,1356,132,https://www.eliteprospects.com/player/33246/cam-talbot,2021-2020,nhl
28,James Reimer,San Jose Sharks,48,2.90,.911,19,17,10,1,2673,1321,129,https://www.eliteprospects.com/player/11538/james-reimer,2021-2020,nhl
29,Semyon Varlamov,New York Islanders,31,2.91,.911,10,17,2,2,1792,891,87,https://www.eliteprospects.com/player/9308/semyon-varlamov,2021-2020,nhl
30,Jonathan Quick,Los Angeles Kings,46,2.59,.910,23,13,9,2,2686,1168,116,https://www.eliteprospects.com/player/11798/jonathan-quick,2021-2020,nhl
31,Connor Hellebuyck,Winnipeg Jets,66,2.97,.910,29,27,10,4,3904,1962,193,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2021-2020,nhl
32,Scott Wedgewood,totals,37,3.14,.910,13,15,5,1,2102,1108,110,https://www.eliteprospects.com/player/30921/scott-wedgewood,2021-2020,nhl
33,Vitek Vanecek,Washington Capitals,42,2.67,.908,20,12,6,4,2317,1014,103,https://www.eliteprospects.com/player/161469/vitek-vanecek,2021-2020,nhl
34,Spencer Knight,Florida Panthers,32,2.79,.908,19,9,3,2,1740,795,81,https://www.eliteprospects.com/player/379758/spencer-knight,2021-2020,nhl
35,Marc-André Fleury,totals,56,2.90,.908,28,23,5,4,3285,1573,159,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2021-2020,nhl
36,Robin Lehner,Vegas Golden Knights,44,2.83,.907,23,17,2,1,2547,1168,120,https://www.eliteprospects.com/player/9796/robin-lehner,2021-2020,nhl
37,Elvis Merzlikins,Columbus Blue Jackets,59,3.22,.907,27,23,7,2,3320,1742,178,https://www.eliteprospects.com/player/66584/elvis-merzlikins,2021-2020,nhl
38,Adin Hill,San Jose Sharks,25,2.66,.906,10,11,1,2,1376,587,61,https://www.eliteprospects.com/player/62230/adin-hill,2021-2020,nhl
39,Dan Vladar,Calgary Flames,23,2.75,.906,13,6,2,2,1243,551,57,https://www.eliteprospects.com/player/215223/dan-vladar,2021-2020,nhl
40,Matt Murray,Ottawa Senators,20,3.05,.906,5,12,2,1,1182,580,60,https://www.eliteprospects.com/player/91683/matt-murray,2021-2020,nhl
41,Carter Hart,Philadelphia Flyers,45,3.16,.905,13,24,7,1,2603,1304,137,https://www.eliteprospects.com/player/161850/carter-hart,2021-2020,nhl
42,Jake Allen,Montréal Canadiens,35,3.30,.905,9,20,4,2,1948,1016,107,https://www.eliteprospects.com/player/17522/jake-allen,2021-2020,nhl
43,John Gibson,Anaheim Ducks,56,3.19,.904,18,26,11,1,3236,1617,172,https://www.eliteprospects.com/player/45399/john-gibson,2021-2020,nhl
44,Mikko Koskinen,Edmonton Oilers,45,3.10,.903,27,12,4,1,2629,1261,136,https://www.eliteprospects.com/player/12807/mikko-koskinen,2021-2020,nhl
45,Jaroslav Halák,Vancouver Canucks,17,2.94,.902,4,7,2,0,797,361,39,https://www.eliteprospects.com/player/9648/jaroslav-halak,2021-2020,nhl
46,Jonathan Bernier,New Jersey Devils,10,3.06,.902,4,4,1,0,510,238,26,https://www.eliteprospects.com/player/9330/jonathan-bernier,2021-2020,nhl
47,Jordan Binnington,St. Louis Blues,37,3.13,.901,18,14,4,2,2145,1023,112,https://www.eliteprospects.com/player/45580/jordan-binnington,2021-2020,nhl
48,Alex Nedeljkovic,Detroit Red Wings,59,3.31,.901,20,24,9,4,3231,1618,178,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2021-2020,nhl
49,Martin Jones,Philadelphia Flyers,35,3.42,.900,12,18,3,0,1997,1027,114,https://www.eliteprospects.com/player/11709/martin-jones,2021-2020,nhl
50,Chris Driedger,Seattle Kraken,27,2.96,.899,9,14,1,1,1478,649,73,https://www.eliteprospects.com/player/59689/chris-driedger,2021-2020,nhl
51,Dustin Tokarski,Buffalo Sabres,29,3.27,.899,10,12,5,1,1671,809,91,https://www.eliteprospects.com/player/11613/dustin-tokarski,2021-2020,nhl
52,Alexandar Georgiyev,New York Rangers,33,2.92,.898,15,10,2,2,1746,747,85,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2021-2020,nhl
53,Karel Vejmelka,Arizona Coyotes,52,3.68,.898,13,32,3,1,2773,1499,170,https://www.eliteprospects.com/player/189829/karel-vejmelka,2021-2020,nhl
54,Craig Anderson,Buffalo Sabres,31,3.12,.897,17,12,2,0,1867,848,97,https://www.eliteprospects.com/player/9066/craig-anderson,2021-2020,nhl
55,Ilya Samsonov,Washington Capitals,44,3.02,.896,23,12,5,3,2361,1026,119,https://www.eliteprospects.com/player/277797/ilya-samsonov,2021-2020,nhl
56,Cal Petersen,Los Angeles Kings,37,2.89,.895,20,14,2,3,2176,897,105,https://www.eliteprospects.com/player/121956/cal-petersen,2021-2020,nhl
57,Laurent Brossoit,Vegas Golden Knights,24,2.90,.895,10,9,3,1,1281,526,62,https://www.eliteprospects.com/player/37133/laurent-brossoit,2021-2020,nhl
58,Nico Daws,New Jersey Devils,25,3.11,.893,10,11,1,0,1272,551,66,https://www.eliteprospects.com/player/359000/nico-daws,2021-2020,nhl
59,Aaron Dell,Buffalo Sabres,12,4.03,.893,1,8,1,0,565,316,38,https://www.eliteprospects.com/player/25790/aaron-dell,2021-2020,nhl
60,Mackenzie Blackwood,New Jersey Devils,25,3.39,.892,9,10,4,2,1399,652,79,https://www.eliteprospects.com/player/203280/mackenzie-blackwood,2021-2020,nhl
61,Filip Gustavsson,Ottawa Senators,18,3.55,.892,5,12,1,0,1048,512,62,https://www.eliteprospects.com/player/212732/filip-gustavsson,2021-2020,nhl
62,Kevin Lankinen,Chicago Blackhawks,32,3.50,.891,8,15,6,0,1816,867,106,https://www.eliteprospects.com/player/50662/kevin-lankinen,2021-2020,nhl
63,Thomas Greiss,Detroit Red Wings,31,3.66,.891,10,15,1,0,1508,750,92,https://www.eliteprospects.com/player/10954/thomas-greiss,2021-2020,nhl
64,Samuel Montembeault,Montréal Canadiens,38,3.77,.891,8,18,6,1,1943,1002,122,https://www.eliteprospects.com/player/187526/samuel-montembeault,2021-2020,nhl
65,Philipp Grubauer,Seattle Kraken,55,3.16,.889,18,31,5,2,3111,1315,164,https://www.eliteprospects.com/player/17632/philipp-grubauer,2021-2020,nhl
66,Erik Källgren,Toronto Maple Leafs,14,3.31,.888,8,4,1,1,779,342,43,https://www.eliteprospects.com/player/142236/erik-kallgren,2021-2020,nhl
67,Petr Mrázek,Toronto Maple Leafs,20,3.34,.888,12,6,0,0,1042,462,58,https://www.eliteprospects.com/player/34797/petr-mrazek,2021-2020,nhl
68,Jon Gillies,totals,20,3.70,.887,3,10,1,0,1005,488,62,https://www.eliteprospects.com/player/86892/jon-gillies,2021-2020,nhl
69,David Rittich,Nashville Predators,17,3.57,.886,6,3,4,0,823,382,49,https://www.eliteprospects.com/player/131342/david-rittich,2021-2020,nhl
70,Andrew Hammond,totals,11,3.89,.879,4,5,1,0,586,276,38,https://www.eliteprospects.com/player/38007/andrew-hammond,2021-2020,nhl
71,Joonas Korpisalo,Columbus Blue Jackets,22,4.15,.877,7,11,0,0,1128,556,78,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2021-2020,nhl
72,Cayden Primeau,Montréal Canadiens,12,4.62,.868,1,7,1,0,519,262,40,https://www.eliteprospects.com/player/256228/cayden-primeau,2021-2020,nhl
73,Jonas Johansson,totals,11,4.69,.856,3,4,1,0,487,226,38,https://www.eliteprospects.com/player/86174/jonas-johansson,2021-2020,nhl
74,Charlie Lindgren,St. Louis Blues,5,1.22,.958,5,0,0,0,246,113,5,https://www.eliteprospects.com/player/122640/charlie-lindgren,2021-2020,nhl
75,Louis Domingue,Pittsburgh Penguins,2,2.02,.952,1,1,0,0,119,79,4,https://www.eliteprospects.com/player/31515/louis-domingue,2021-2020,nhl
76,Spencer Martin,Vancouver Canucks,6,1.74,.950,3,0,3,0,378,207,11,https://www.eliteprospects.com/player/99040/spencer-martin,2021-2020,nhl
77,Michael Houser,Buffalo Sabres,2,2.00,.948,2,0,0,0,120,73,4,https://www.eliteprospects.com/player/32977/michael-houser,2021-2020,nhl
78,Daniil Tarasov,Columbus Blue Jackets,4,2.40,.937,0,2,0,0,175,104,7,https://www.eliteprospects.com/player/359971/daniil-tarasov,2021-2020,nhl
79,Garret Sparks,Los Angeles Kings,2,1.85,.936,1,0,0,0,97,44,3,https://www.eliteprospects.com/player/91267/garret-sparks,2021-2020,nhl
80,Keith Kinkaid,New York Rangers,1,2.00,.935,1,0,0,0,60,29,2,https://www.eliteprospects.com/player/14384/keith-kinkaid,2021-2020,nhl
81,Zach Fucale,Washington Capitals,4,1.75,.924,1,1,1,1,172,61,5,https://www.eliteprospects.com/player/126396/zach-fucale,2021-2020,nhl
82,Ukko-Pekka Luukkonen,Buffalo Sabres,9,2.74,.917,2,5,2,0,503,254,23,https://www.eliteprospects.com/player/286397/ukko-pekka-luukkonen,2021-2020,nhl
83,Josef Korenar,Arizona Coyotes,2,2.56,.914,0,0,0,0,70,32,3,https://www.eliteprospects.com/player/225184/josef-korenar,2021-2020,nhl
84,Joseph Woll,Toronto Maple Leafs,4,2.76,.911,3,1,0,1,239,112,11,https://www.eliteprospects.com/player/272227/joseph-woll,2021-2020,nhl
85,Felix Sandström,Philadelphia Flyers,5,3.23,.910,0,4,1,0,297,161,16,https://www.eliteprospects.com/player/146703/felix-sandstrom,2021-2020,nhl
86,Alex Lyon,Carolina Hurricanes,2,2.93,.908,1,0,1,0,123,59,6,https://www.eliteprospects.com/player/114768/alex-lyon,2021-2020,nhl
87,Lukas Dostal,Anaheim Ducks,4,2.98,.907,1,2,0,0,201,98,10,https://www.eliteprospects.com/player/236340/lukas-dostal,2021-2020,nhl
88,Pyotr Kochetkov,Carolina Hurricanes,3,2.42,.902,3,0,0,0,149,55,6,https://www.eliteprospects.com/player/359578/pyotr-kochetkov,2021-2020,nhl
89,Zach Sawchenko,San Jose Sharks,7,3.35,.901,1,2,1,0,269,136,15,https://www.eliteprospects.com/player/161144/zach-sawchenko,2021-2020,nhl
90,Cory Schneider,New York Islanders,1,3.00,.900,1,0,0,0,60,27,3,https://www.eliteprospects.com/player/9203/cory-schneider,2021-2020,nhl
91,Jean-François Bérubé,Columbus Blue Jackets,6,4.12,.900,3,2,0,0,306,188,21,https://www.eliteprospects.com/player/23458/jean-francois-berube,2021-2020,nhl
92,Collin Delia,Chicago Blackhawks,8,3.85,.899,1,4,1,0,343,196,22,https://www.eliteprospects.com/player/155712/collin-delia,2021-2020,nhl
93,Mads Søgaard,Ottawa Senators,2,3.07,.889,1,1,0,0,117,48,6,https://www.eliteprospects.com/player/265409/mads-sogaard,2021-2020,nhl
94,Joel Hofer,St. Louis Blues,2,3.07,.880,1,1,0,0,117,44,6,https://www.eliteprospects.com/player/388650/joel-hofer,2021-2020,nhl
95,Anton Khudobin,Dallas Stars,9,3.63,.879,3,4,1,0,462,203,28,https://www.eliteprospects.com/player/9265/anton-khudobin,2021-2020,nhl
96,Connor Ingram,Nashville Predators,3,3.71,.879,1,2,0,0,178,80,11,https://www.eliteprospects.com/player/200675/connor-ingram,2021-2020,nhl
97,Pheonix Copley,Washington Capitals,2,3.11,.878,0,1,0,0,97,36,5,https://www.eliteprospects.com/player/90250/pheonix-copley,2021-2020,nhl
98,Carey Price,Montréal Canadiens,5,3.63,.878,1,4,0,0,298,130,18,https://www.eliteprospects.com/player/9368/carey-price,2021-2020,nhl
99,Ivan Prosvetov,Arizona Coyotes,3,4.22,.875,0,2,1,0,185,91,13,https://www.eliteprospects.com/player/361155/ivan-prosvetov,2021-2020,nhl
100,Calvin Pickard,Detroit Red Wings,3,4.30,.875,1,1,0,0,126,63,9,https://www.eliteprospects.com/player/23165/calvin-pickard,2021-2020,nhl
101,Malcolm Subban,Buffalo Sabres,4,4.85,.871,0,2,1,0,210,115,17,https://www.eliteprospects.com/player/59221/malcolm-subban,2021-2020,nhl
102,Magnus Hellberg,Detroit Red Wings,1,3.00,.870,1,0,0,0,60,20,3,https://www.eliteprospects.com/player/13297/magnus-hellberg,2021-2020,nhl
103,Harri Säteri,Arizona Coyotes,6,4.22,.866,2,2,1,0,298,136,21,https://www.eliteprospects.com/player/11181/harri-sateri,2021-2020,nhl
