,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Aaron Dell,San Jose Sharks,20,2.00,.931,11,6,1,1,1111,496,37,https://www.eliteprospects.com/player/25790/aaron-dell,2016-2015,nhl
1,Sergei Bobrovski,Columbus Blue Jackets,63,2.06,.931,41,17,5,7,3707,1727,127,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2016-2015,nhl
2,Jimmy Howard,Detroit Red Wings,26,2.10,.927,10,11,1,1,1397,626,49,https://www.eliteprospects.com/player/9058/jimmy-howard,2016-2015,nhl
3,Philipp Grubauer,Washington Capitals,24,2.04,.926,13,6,2,3,1265,542,43,https://www.eliteprospects.com/player/17632/philipp-grubauer,2016-2015,nhl
4,Craig Anderson,Ottawa Senators,40,2.28,.926,25,11,4,5,2421,1155,92,https://www.eliteprospects.com/player/9066/craig-anderson,2016-2015,nhl
5,Braden Holtby,Washington Capitals,63,2.07,.925,42,13,6,9,3680,1563,127,https://www.eliteprospects.com/player/11394/braden-holtby,2016-2015,nhl
6,John Gibson,Anaheim Ducks,52,2.22,.924,25,16,9,6,2950,1328,109,https://www.eliteprospects.com/player/45399/john-gibson,2016-2015,nhl
7,Scott Darling,Chicago Blackhawks,32,2.38,.924,18,5,5,2,1689,810,67,https://www.eliteprospects.com/player/12553/scott-darling,2016-2015,nhl
8,Carey Price,Montréal Canadiens,62,2.23,.923,37,20,5,3,3708,1656,138,https://www.eliteprospects.com/player/9368/carey-price,2016-2015,nhl
9,Devan Dubnyk,Minnesota Wild,65,2.25,.923,40,19,5,5,3758,1701,141,https://www.eliteprospects.com/player/9201/devan-dubnyk,2016-2015,nhl
10,Juuse Saros,Nashville Predators,21,2.35,.923,10,8,3,1,1200,567,47,https://www.eliteprospects.com/player/50744/juuse-saros,2016-2015,nhl
11,Matt Murray,Pittsburgh Penguins,49,2.41,.923,32,10,4,4,2766,1339,111,https://www.eliteprospects.com/player/91683/matt-murray,2016-2015,nhl
12,Anders Nilsson,Buffalo Sabres,26,2.67,.923,10,10,4,1,1484,791,66,https://www.eliteprospects.com/player/5591/anders-nilsson,2016-2015,nhl
13,Antti Raanta,New York Rangers,30,2.26,.922,16,8,2,4,1617,721,61,https://www.eliteprospects.com/player/17016/antti-raanta,2016-2015,nhl
14,James Reimer,Florida Panthers,43,2.53,.920,18,16,5,3,2325,1124,98,https://www.eliteprospects.com/player/11538/james-reimer,2016-2015,nhl
15,Robin Lehner,Buffalo Sabres,59,2.68,.920,23,26,8,2,3405,1758,152,https://www.eliteprospects.com/player/9796/robin-lehner,2016-2015,nhl
16,Cam Talbot,Edmonton Oilers,73,2.39,.919,42,22,8,7,4294,1946,171,https://www.eliteprospects.com/player/33246/cam-talbot,2016-2015,nhl
17,Pekka Rinne,Nashville Predators,61,2.42,.918,31,19,9,3,3568,1613,144,https://www.eliteprospects.com/player/4282/pekka-rinne,2016-2015,nhl
18,Corey Crawford,Chicago Blackhawks,55,2.55,.918,32,18,4,2,3247,1553,138,https://www.eliteprospects.com/player/11347/corey-crawford,2016-2015,nhl
19,Frederik Andersen,Toronto Maple Leafs,66,2.67,.918,33,16,14,4,3799,1883,169,https://www.eliteprospects.com/player/15205/frederik-andersen,2016-2015,nhl
20,Jonathan Quick,Los Angeles Kings,17,2.26,.917,8,5,2,2,931,386,35,https://www.eliteprospects.com/player/11798/jonathan-quick,2016-2015,nhl
21,Andrei Vasilevsky,Tampa Bay Lightning,50,2.61,.917,23,17,7,2,2831,1357,123,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2016-2015,nhl
22,Curtis McElhinney,totals,21,2.70,.917,8,8,2,1,1135,565,51,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2016-2015,nhl
23,Keith Kinkaid,New Jersey Devils,26,2.64,.916,8,13,3,1,1476,713,65,https://www.eliteprospects.com/player/14384/keith-kinkaid,2016-2015,nhl
24,Peter Budaj,totals,60,2.18,.915,30,21,3,7,3308,1294,120,https://www.eliteprospects.com/player/8602/peter-budaj,2016-2015,nhl
25,Tuukka Rask,Boston Bruins,65,2.23,.915,37,20,5,8,3680,1473,137,https://www.eliteprospects.com/player/4217/tuukka-rask,2016-2015,nhl
26,Jake Allen,St. Louis Blues,61,2.42,.915,33,20,5,4,3418,1482,138,https://www.eliteprospects.com/player/17522/jake-allen,2016-2015,nhl
27,Jonathan Bernier,Anaheim Ducks,39,2.50,.915,21,7,4,2,1993,899,83,https://www.eliteprospects.com/player/9330/jonathan-bernier,2016-2015,nhl
28,Roberto Luongo,Florida Panthers,40,2.68,.915,17,15,6,1,2327,1113,104,https://www.eliteprospects.com/player/8546/roberto-luongo,2016-2015,nhl
29,Jaroslav Halák,New York Islanders,28,2.80,.915,12,9,5,2,1605,810,75,https://www.eliteprospects.com/player/9648/jaroslav-halak,2016-2015,nhl
30,Mike Condon,totals,41,2.48,.914,19,14,6,5,2324,1026,96,https://www.eliteprospects.com/player/19184/mike-condon,2016-2015,nhl
31,Ryan Miller,Vancouver Canucks,54,2.80,.914,18,29,6,3,3212,1587,150,https://www.eliteprospects.com/player/8802/ryan-miller,2016-2015,nhl
32,Mike Smith,Arizona Coyotes,55,2.92,.914,19,26,9,3,3202,1663,156,https://www.eliteprospects.com/player/10173/mike-smith,2016-2015,nhl
33,Carter Hutton,St. Louis Blues,30,2.39,.913,13,8,2,4,1459,605,58,https://www.eliteprospects.com/player/24819/carter-hutton,2016-2015,nhl
34,Thomas Greiss,New York Islanders,51,2.69,.913,26,18,5,3,2813,1327,126,https://www.eliteprospects.com/player/10954/thomas-greiss,2016-2015,nhl
35,Martin Jones,San Jose Sharks,65,2.40,.912,35,23,6,2,3800,1573,152,https://www.eliteprospects.com/player/11709/martin-jones,2016-2015,nhl
36,Al Montoya,Montréal Canadiens,19,2.67,.912,8,6,4,2,1125,519,50,https://www.eliteprospects.com/player/9438/al-montoya,2016-2015,nhl
37,Ben Bishop,totals,39,2.54,.910,18,15,5,1,2223,946,94,https://www.eliteprospects.com/player/11797/ben-bishop,2016-2015,nhl
38,Brian Elliott,Calgary Flames,49,2.55,.910,26,18,3,2,2844,1217,121,https://www.eliteprospects.com/player/11336/brian-elliott,2016-2015,nhl
39,Chad Johnson,Calgary Flames,36,2.59,.910,18,15,1,3,2013,882,87,https://www.eliteprospects.com/player/11918/chad-johnson,2016-2015,nhl
40,Jacob Markström,Vancouver Canucks,26,2.63,.910,10,11,3,0,1417,630,62,https://www.eliteprospects.com/player/9787/jacob-markstrom,2016-2015,nhl
41,Henrik Lundqvist,New York Rangers,57,2.74,.910,31,20,4,2,3240,1502,148,https://www.eliteprospects.com/player/286/henrik-lundqvist,2016-2015,nhl
42,Marc-André Fleury,Pittsburgh Penguins,38,3.02,.909,18,10,7,1,2125,1074,107,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2016-2015,nhl
43,Steve Mason,Philadelphia Flyers,58,2.66,.908,26,21,8,3,3225,1413,143,https://www.eliteprospects.com/player/10428/steve-mason,2016-2015,nhl
44,Cory Schneider,New Jersey Devils,60,2.82,.908,20,27,11,2,3473,1618,163,https://www.eliteprospects.com/player/9203/cory-schneider,2016-2015,nhl
45,Louis Domingue,Arizona Coyotes,31,3.08,.908,11,15,1,0,1599,806,82,https://www.eliteprospects.com/player/31515/louis-domingue,2016-2015,nhl
46,Connor Hellebuyck,Winnipeg Jets,56,2.89,.907,26,19,4,4,3034,1426,146,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2016-2015,nhl
47,Cam Ward,Carolina Hurricanes,61,2.69,.905,26,22,12,2,3618,1549,162,https://www.eliteprospects.com/player/8806/cam-ward,2016-2015,nhl
48,Joonas Korpisalo,Columbus Blue Jackets,14,2.88,.905,7,5,1,1,791,363,38,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2016-2015,nhl
49,Anton Khudobin,Boston Bruins,16,2.64,.904,7,6,1,0,885,366,39,https://www.eliteprospects.com/player/9265/anton-khudobin,2016-2015,nhl
50,Calvin Pickard,Colorado Avalanche,50,2.98,.904,15,31,2,2,2820,1321,140,https://www.eliteprospects.com/player/23165/calvin-pickard,2016-2015,nhl
51,Michael Hutchinson,Winnipeg Jets,28,2.92,.903,9,12,3,1,1378,623,67,https://www.eliteprospects.com/player/14727/michael-hutchinson,2016-2015,nhl
52,Eddie Läck,Carolina Hurricanes,20,2.64,.902,8,7,3,1,1090,444,48,https://www.eliteprospects.com/player/4347/eddie-lack,2016-2015,nhl
53,Kari Lehtonen,Dallas Stars,59,2.85,.902,22,25,7,3,3177,1395,151,https://www.eliteprospects.com/player/2694/kari-lehtonen,2016-2015,nhl
54,Darcy Kuemper,Minnesota Wild,18,3.13,.902,8,5,3,0,1053,507,55,https://www.eliteprospects.com/player/23162/darcy-kuemper,2016-2015,nhl
55,Petr Mrázek,Detroit Red Wings,50,3.04,.901,18,21,9,1,2858,1317,145,https://www.eliteprospects.com/player/34797/petr-mrazek,2016-2015,nhl
56,Semyon Varlamov,Colorado Avalanche,24,3.38,.898,6,17,0,1,1348,669,76,https://www.eliteprospects.com/player/9308/semyon-varlamov,2016-2015,nhl
57,Antti Niemi,Dallas Stars,37,3.30,.892,12,12,4,0,1729,785,95,https://www.eliteprospects.com/player/7566/antti-niemi,2016-2015,nhl
58,Michal Neuvirth,Philadelphia Flyers,28,2.82,.891,11,11,1,0,1364,522,64,https://www.eliteprospects.com/player/9279/michal-neuvirth,2016-2015,nhl
59,Jean-François Bérubé,New York Islanders,14,3.42,.889,3,2,2,0,527,241,30,https://www.eliteprospects.com/player/23458/jean-francois-berube,2016-2015,nhl
60,Jeremy Smith,Colorado Avalanche,10,3.54,.888,1,6,1,0,543,254,32,https://www.eliteprospects.com/player/11341/jeremy-smith,2016-2015,nhl
61,Jared Coreau,Detroit Red Wings,14,3.46,.887,5,4,3,2,712,321,41,https://www.eliteprospects.com/player/45872/jared-coreau,2016-2015,nhl
62,Jeff Zatkoff,Los Angeles Kings,13,2.94,.879,2,7,1,0,550,196,27,https://www.eliteprospects.com/player/10457/jeff-zatkoff,2016-2015,nhl
63,Jack Campbell,Los Angeles Kings,1,0.00,1.000,0,0,0,0,20,5,0,https://www.eliteprospects.com/player/20709/jack-campbell,2016-2015,nhl
64,Kristers Gudlevskis,Tampa Bay Lightning,1,0.00,1.000,0,0,0,0,11,3,0,https://www.eliteprospects.com/player/49585/kristers-gudlevskis,2016-2015,nhl
65,Dustin Tokarski,Anaheim Ducks,1,0.00,1.000,0,0,0,0,10,5,0,https://www.eliteprospects.com/player/11613/dustin-tokarski,2016-2015,nhl
66,Alex Nedeljkovic,Carolina Hurricanes,1,0.00,1.000,0,0,0,0,30,17,0,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2016-2015,nhl
67,Jon Gillies,Calgary Flames,1,1.00,.964,1,0,0,0,60,27,1,https://www.eliteprospects.com/player/86892/jon-gillies,2016-2015,nhl
68,Charlie Lindgren,Montréal Canadiens,2,1.48,.949,2,0,0,0,122,56,3,https://www.eliteprospects.com/player/122640/charlie-lindgren,2016-2015,nhl
69,Alex Stalock,Minnesota Wild,2,1.51,.944,1,1,0,0,119,51,3,https://www.eliteprospects.com/player/11796/alex-stalock,2016-2015,nhl
70,Magnus Hellberg,New York Rangers,2,1.53,.929,1,0,0,0,79,26,2,https://www.eliteprospects.com/player/13297/magnus-hellberg,2016-2015,nhl
71,Laurent Brossoit,Edmonton Oilers,8,1.99,.928,4,1,0,0,332,142,11,https://www.eliteprospects.com/player/37133/laurent-brossoit,2016-2015,nhl
72,Anthony Stolarz,Philadelphia Flyers,7,2.07,.928,2,1,1,1,376,168,13,https://www.eliteprospects.com/player/131368/anthony-stolarz,2016-2015,nhl
73,Antoine Bibeau,Toronto Maple Leafs,2,1.99,.927,1,1,0,0,121,51,4,https://www.eliteprospects.com/player/95315/antoine-bibeau,2016-2015,nhl
74,Richard Bachman,Vancouver Canucks,5,2.64,.920,2,3,0,0,295,149,13,https://www.eliteprospects.com/player/11987/richard-bachman,2016-2015,nhl
75,Linus Ullmark,Buffalo Sabres,1,3.06,.917,0,1,0,0,59,33,3,https://www.eliteprospects.com/player/19760/linus-ullmark,2016-2015,nhl
76,David Rittich,Calgary Flames,1,3.00,.900,0,0,0,0,20,9,1,https://www.eliteprospects.com/player/131342/david-rittich,2016-2015,nhl
77,Justin Peters,Arizona Coyotes,3,3.16,.900,0,1,0,0,133,63,7,https://www.eliteprospects.com/player/10402/justin-peters,2016-2015,nhl
78,Eric Comrie,Winnipeg Jets,1,4.05,.897,1,0,0,0,59,35,4,https://www.eliteprospects.com/player/83873/eric-comrie,2016-2015,nhl
79,Ondrej Pavelec,Winnipeg Jets,8,3.55,.888,4,4,0,0,440,207,26,https://www.eliteprospects.com/player/9626/ondrej-pavelec,2016-2015,nhl
80,Tristan Jarry,Pittsburgh Penguins,1,3.06,.880,0,1,0,0,59,22,3,https://www.eliteprospects.com/player/88602/tristan-jarry,2016-2015,nhl
81,Jonas Gustavsson,Edmonton Oilers,7,3.10,.878,1,3,1,0,329,122,17,https://www.eliteprospects.com/player/2250/jonas-gustavsson,2016-2015,nhl
82,Reto Berra,Florida Panthers,7,3.45,.876,0,5,0,0,313,127,18,https://www.eliteprospects.com/player/11986/reto-berra,2016-2015,nhl
