,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
83,Marek Langhamer,Arizona Coyotes,1,3.87,.875,0,0,0,0,16,7,1,https://www.eliteprospects.com/player/100297/marek-langhamer,2016-2015,nhl
84,Jhonas Enroth,Toronto Maple Leafs,6,3.94,.872,0,3,1,0,274,123,18,https://www.eliteprospects.com/player/3688/jhonas-enroth,2016-2015,nhl
85,Michael Leighton,Carolina Hurricanes,4,3.42,.870,2,2,0,0,210,80,12,https://www.eliteprospects.com/player/8531/michael-leighton,2016-2015,nhl
86,Spencer Martin,Colorado Avalanche,3,4.35,.865,0,2,1,0,179,83,13,https://www.eliteprospects.com/player/99040/spencer-martin,2016-2015,nhl
87,Zane McIntyre,Boston Bruins,8,3.97,.858,0,4,1,0,333,133,22,https://www.eliteprospects.com/player/75336/zane-mcintyre,2016-2015,nhl
88,Anton Forsberg,Columbus Blue Jackets,1,4.10,.852,0,1,0,0,59,23,4,https://www.eliteprospects.com/player/15830/anton-forsberg,2016-2015,nhl
89,Marek Mazanec,Nashville Predators,4,4.73,.839,0,2,0,0,178,73,14,https://www.eliteprospects.com/player/34796/marek-mazanec,2016-2015,nhl
90,Andrew Hammond,Ottawa Senators,6,4.08,.837,0,2,0,0,206,72,14,https://www.eliteprospects.com/player/38007/andrew-hammond,2016-2015,nhl
91,Pheonix Copley,St. Louis Blues,1,5.09,.828,0,1,0,0,59,24,5,https://www.eliteprospects.com/player/90250/pheonix-copley,2016-2015,nhl
92,Malcolm Subban,Boston Bruins,1,5.88,.813,0,1,0,0,31,13,3,https://www.eliteprospects.com/player/59221/malcolm-subban,2016-2015,nhl
93,Chris Driedger,Ottawa Senators,1,6.00,.733,0,1,0,0,40,11,4,https://www.eliteprospects.com/player/59689/chris-driedger,2016-2015,nhl
94,Jorge Alves,Carolina Hurricanes,1,0.00,.000,0,0,0,0,1,0,0,https://www.eliteprospects.com/player/239955/jorge-alves,2016-2015,nhl
