,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Andrew Hammond,Ottawa Senators,24,1.79,.941,20,1,2,3,1411,665,42,https://www.eliteprospects.com/player/38007/andrew-hammond,2014-2013,nhl
1,Antti Raanta,Chicago Blackhawks,14,1.89,.936,7,4,1,2,792,364,25,https://www.eliteprospects.com/player/17016/antti-raanta,2014-2013,nhl
2,Scott Darling,Chicago Blackhawks,14,1.95,.936,9,4,0,1,833,392,27,https://www.eliteprospects.com/player/12553/scott-darling,2014-2013,nhl
3,Carey Price,Montréal Canadiens,66,1.96,.933,44,16,6,9,3977,1823,130,https://www.eliteprospects.com/player/9368/carey-price,2014-2013,nhl
4,Calvin Pickard,Colorado Avalanche,16,2.35,.932,6,7,3,0,895,476,35,https://www.eliteprospects.com/player/23165/calvin-pickard,2014-2013,nhl
5,Devan Dubnyk,totals,58,2.07,.929,36,14,4,6,3328,1510,115,https://www.eliteprospects.com/player/9201/devan-dubnyk,2014-2013,nhl
6,Steve Mason,Philadelphia Flyers,51,2.25,.928,18,18,11,3,2885,1382,108,https://www.eliteprospects.com/player/10428/steve-mason,2014-2013,nhl
7,Cam Talbot,New York Rangers,36,2.21,.926,21,9,4,5,2095,961,77,https://www.eliteprospects.com/player/33246/cam-talbot,2014-2013,nhl
8,Cory Schneider,New Jersey Devils,69,2.26,.925,26,31,9,5,3924,1834,148,https://www.eliteprospects.com/player/9203/cory-schneider,2014-2013,nhl
9,Corey Crawford,Chicago Blackhawks,57,2.27,.924,32,20,5,2,3333,1535,126,https://www.eliteprospects.com/player/11347/corey-crawford,2014-2013,nhl
10,Pekka Rinne,Nashville Predators,64,2.18,.923,41,17,6,4,3851,1667,140,https://www.eliteprospects.com/player/4282/pekka-rinne,2014-2013,nhl
11,Braden Holtby,Washington Capitals,73,2.22,.923,41,20,10,9,4247,1887,157,https://www.eliteprospects.com/player/11394/braden-holtby,2014-2013,nhl
12,Craig Anderson,Ottawa Senators,35,2.49,.923,14,13,8,3,2093,1047,87,https://www.eliteprospects.com/player/9066/craig-anderson,2014-2013,nhl
13,Henrik Lundqvist,New York Rangers,46,2.25,.922,30,13,3,5,2743,1226,103,https://www.eliteprospects.com/player/286/henrik-lundqvist,2014-2013,nhl
14,Tuukka Rask,Boston Bruins,70,2.30,.922,34,21,13,3,4063,1855,156,https://www.eliteprospects.com/player/4217/tuukka-rask,2014-2013,nhl
15,Roberto Luongo,Florida Panthers,61,2.35,.921,28,19,12,2,3528,1605,138,https://www.eliteprospects.com/player/8546/roberto-luongo,2014-2013,nhl
16,Eddie Läck,Vancouver Canucks,41,2.45,.921,18,13,4,2,2324,1106,95,https://www.eliteprospects.com/player/4347/eddie-lack,2014-2013,nhl
17,Semyon Varlamov,Colorado Avalanche,57,2.56,.921,28,20,8,5,3307,1650,141,https://www.eliteprospects.com/player/9308/semyon-varlamov,2014-2013,nhl
18,Ondrej Pavelec,Winnipeg Jets,50,2.28,.920,22,16,8,5,2838,1245,108,https://www.eliteprospects.com/player/9626/ondrej-pavelec,2014-2013,nhl
19,Marc-André Fleury,Pittsburgh Penguins,64,2.32,.920,34,20,9,10,3776,1685,146,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2014-2013,nhl
20,Jonathan Quick,Los Angeles Kings,72,2.24,.918,36,22,13,6,4184,1740,156,https://www.eliteprospects.com/player/11798/jonathan-quick,2014-2013,nhl
21,Niklas Svedberg,Boston Bruins,18,2.33,.918,7,5,1,2,900,390,35,https://www.eliteprospects.com/player/5511/niklas-svedberg,2014-2013,nhl
22,Jonas Hiller,Calgary Flames,52,2.36,.918,26,19,4,1,2871,1263,113,https://www.eliteprospects.com/player/10454/jonas-hiller,2014-2013,nhl
23,Andrei Vasilevsky,Tampa Bay Lightning,16,2.36,.918,7,5,1,1,864,381,34,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2014-2013,nhl
24,Petr Mrázek,Detroit Red Wings,29,2.38,.918,16,9,2,3,1585,705,63,https://www.eliteprospects.com/player/34797/petr-mrazek,2014-2013,nhl
25,Reto Berra,Colorado Avalanche,19,2.65,.918,5,4,1,1,746,370,33,https://www.eliteprospects.com/player/11986/reto-berra,2014-2013,nhl
26,Sergei Bobrovski,Columbus Blue Jackets,51,2.68,.918,30,17,3,2,2994,1498,134,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2014-2013,nhl
27,Brian Elliott,St. Louis Blues,46,2.26,.917,26,14,3,5,2546,1054,96,https://www.eliteprospects.com/player/11336/brian-elliott,2014-2013,nhl
28,Ben Bishop,Tampa Bay Lightning,62,2.32,.916,40,13,5,4,3519,1484,136,https://www.eliteprospects.com/player/11797/ben-bishop,2014-2013,nhl
