,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Chris Driedger,Florida Panthers,12,2.05,.938,7,2,1,1,643,332,22,https://www.eliteprospects.com/player/59689/chris-driedger,2019-2018,nhl
1,Igor Shestyorkin,New York Rangers,12,2.52,.932,10,2,0,0,692,395,29,https://www.eliteprospects.com/player/195577/igor-shestyorkin,2019-2018,nhl
2,Anton Khudobin,Dallas Stars,30,2.22,.930,16,8,4,0,1677,820,62,https://www.eliteprospects.com/player/9265/anton-khudobin,2019-2018,nhl
3,Tuukka Rask,Boston Bruins,41,2.12,.929,26,8,6,5,2402,1104,85,https://www.eliteprospects.com/player/4217/tuukka-rask,2019-2018,nhl
4,Darcy Kuemper,Arizona Coyotes,29,2.22,.928,16,11,2,2,1754,838,65,https://www.eliteprospects.com/player/23162/darcy-kuemper,2019-2018,nhl
5,Jake Allen,St. Louis Blues,24,2.15,.927,12,6,3,2,1339,607,48,https://www.eliteprospects.com/player/17522/jake-allen,2019-2018,nhl
6,Elvis Merzlikins,Columbus Blue Jackets,33,2.35,.923,13,9,8,5,1816,848,71,https://www.eliteprospects.com/player/66584/elvis-merzlikins,2019-2018,nhl
7,Pavel Francouz,Colorado Avalanche,34,2.41,.923,21,7,4,1,1915,919,77,https://www.eliteprospects.com/player/18084/pavel-francouz,2019-2018,nhl
8,Connor Hellebuyck,Winnipeg Jets,58,2.57,.922,31,21,5,6,3269,1656,140,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2019-2018,nhl
9,Tristan Jarry,Pittsburgh Penguins,33,2.43,.921,20,12,1,3,1927,907,78,https://www.eliteprospects.com/player/88602/tristan-jarry,2019-2018,nhl
10,Antti Raanta,Arizona Coyotes,33,2.63,.921,15,14,3,2,1823,934,80,https://www.eliteprospects.com/player/17016/antti-raanta,2019-2018,nhl
11,Ben Bishop,Dallas Stars,44,2.50,.920,21,16,4,2,2474,1183,103,https://www.eliteprospects.com/player/11797/ben-bishop,2019-2018,nhl
12,Robin Lehner,totals,36,2.89,.920,19,10,5,1,2056,1136,99,https://www.eliteprospects.com/player/9796/robin-lehner,2019-2018,nhl
13,Jaroslav Halák,Boston Bruins,31,2.39,.919,18,6,6,3,1834,832,73,https://www.eliteprospects.com/player/9648/jaroslav-halak,2019-2018,nhl
14,Cam Talbot,Calgary Flames,26,2.63,.919,12,10,1,2,1435,717,63,https://www.eliteprospects.com/player/33246/cam-talbot,2019-2018,nhl
15,Adin Hill,Arizona Coyotes,13,2.62,.918,2,4,3,0,641,315,28,https://www.eliteprospects.com/player/62230/adin-hill,2019-2018,nhl
16,Jacob Markström,Vancouver Canucks,43,2.75,.918,23,16,4,2,2552,1303,117,https://www.eliteprospects.com/player/9787/jacob-markstrom,2019-2018,nhl
17,Andrei Vasilevsky,Tampa Bay Lightning,52,2.56,.917,35,14,3,3,3122,1472,133,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2019-2018,nhl
18,Mikko Koskinen,Edmonton Oilers,38,2.75,.917,18,13,3,1,2117,1078,97,https://www.eliteprospects.com/player/12807/mikko-koskinen,2019-2018,nhl
19,Corey Crawford,Chicago Blackhawks,40,2.77,.917,16,20,3,1,2341,1186,108,https://www.eliteprospects.com/player/11347/corey-crawford,2019-2018,nhl
20,Philipp Grubauer,Colorado Avalanche,36,2.63,.916,18,12,4,2,2058,977,90,https://www.eliteprospects.com/player/17632/philipp-grubauer,2019-2018,nhl
21,Linus Ullmark,Buffalo Sabres,34,2.69,.915,17,14,3,1,2027,975,91,https://www.eliteprospects.com/player/19760/linus-ullmark,2019-2018,nhl
22,Mackenzie Blackwood,New Jersey Devils,47,2.77,.915,22,14,8,3,2684,1328,124,https://www.eliteprospects.com/player/203280/mackenzie-blackwood,2019-2018,nhl
23,Carter Hart,Philadelphia Flyers,43,2.42,.914,24,13,3,1,2356,1005,95,https://www.eliteprospects.com/player/161850/carter-hart,2019-2018,nhl
24,Semyon Varlamov,New York Islanders,45,2.62,.914,19,14,6,2,2517,1168,110,https://www.eliteprospects.com/player/9308/semyon-varlamov,2019-2018,nhl
25,James Reimer,Carolina Hurricanes,25,2.66,.914,14,6,2,3,1379,651,61,https://www.eliteprospects.com/player/11538/james-reimer,2019-2018,nhl
26,Juuse Saros,Nashville Predators,40,2.70,.914,17,12,4,4,2177,1044,98,https://www.eliteprospects.com/player/50744/juuse-saros,2019-2018,nhl
27,Ilya Samsonov,Washington Capitals,26,2.55,.913,16,6,2,1,1412,629,60,https://www.eliteprospects.com/player/277797/ilya-samsonov,2019-2018,nhl
28,Thomas Greiss,New York Islanders,31,2.74,.913,16,9,4,0,1596,765,73,https://www.eliteprospects.com/player/10954/thomas-greiss,2019-2018,nhl
29,Jordan Binnington,St. Louis Blues,50,2.56,.912,30,13,7,3,2948,1304,126,https://www.eliteprospects.com/player/45580/jordan-binnington,2019-2018,nhl
30,Joonas Korpisalo,Columbus Blue Jackets,37,2.60,.911,19,12,5,2,2126,938,92,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2019-2018,nhl
31,Alex Stalock,Minnesota Wild,38,2.67,.910,20,11,4,4,2178,985,97,https://www.eliteprospects.com/player/11796/alex-stalock,2019-2018,nhl
32,Alexandar Georgiyev,New York Rangers,34,3.04,.910,17,14,2,2,1892,967,96,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2019-2018,nhl
33,Carey Price,Montréal Canadiens,58,2.79,.909,27,25,6,4,3440,1595,160,https://www.eliteprospects.com/player/9368/carey-price,2019-2018,nhl
34,Frederik Andersen,Toronto Maple Leafs,52,2.85,.909,29,13,7,3,3007,1434,143,https://www.eliteprospects.com/player/15205/frederik-andersen,2019-2018,nhl
