,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
35,Anders Nilsson,Ottawa Senators,20,3.18,.908,9,9,2,0,1094,570,58,https://www.eliteprospects.com/player/5591/anders-nilsson,2019-2018,nhl
36,Jonathan Bernier,Detroit Red Wings,46,2.95,.907,15,22,3,1,2566,1227,126,https://www.eliteprospects.com/player/9330/jonathan-bernier,2019-2018,nhl
37,David Rittich,Calgary Flames,48,2.97,.907,24,17,6,2,2792,1340,138,https://www.eliteprospects.com/player/131342/david-rittich,2019-2018,nhl
38,Aaron Dell,San Jose Sharks,33,3.01,.907,12,15,3,0,1835,894,92,https://www.eliteprospects.com/player/25790/aaron-dell,2019-2018,nhl
39,Ryan Miller,Anaheim Ducks,23,3.10,.907,9,6,4,0,1239,621,64,https://www.eliteprospects.com/player/8802/ryan-miller,2019-2018,nhl
40,Curtis McElhinney,Tampa Bay Lightning,18,2.89,.906,8,7,3,1,1081,499,52,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2019-2018,nhl
41,Petr Mrázek,Carolina Hurricanes,40,2.69,.905,21,16,2,3,2321,987,104,https://www.eliteprospects.com/player/34797/petr-mrazek,2019-2018,nhl
42,Marc-André Fleury,Vegas Golden Knights,49,2.77,.905,27,16,5,5,2880,1266,133,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2019-2018,nhl
43,Thatcher Demko,Vancouver Canucks,27,3.06,.905,13,10,2,0,1530,744,78,https://www.eliteprospects.com/player/155248/thatcher-demko,2019-2018,nhl
44,Henrik Lundqvist,New York Rangers,30,3.16,.905,10,12,3,1,1597,799,84,https://www.eliteprospects.com/player/286/henrik-lundqvist,2019-2018,nhl
45,Jonathan Quick,Los Angeles Kings,42,2.79,.904,16,22,4,1,2516,1107,117,https://www.eliteprospects.com/player/11798/jonathan-quick,2019-2018,nhl
46,Jack Campbell,totals,26,2.80,.904,11,12,3,0,1567,688,73,https://www.eliteprospects.com/player/20709/jack-campbell,2019-2018,nhl
47,John Gibson,Anaheim Ducks,51,3.00,.904,20,26,5,1,2981,1403,149,https://www.eliteprospects.com/player/45399/john-gibson,2019-2018,nhl
48,Marcus Högberg,Ottawa Senators,24,3.12,.904,5,8,8,0,1345,658,70,https://www.eliteprospects.com/player/29074/marcus-hogberg,2019-2018,nhl
49,Mike Smith,Edmonton Oilers,39,2.95,.902,19,12,6,1,2157,981,106,https://www.eliteprospects.com/player/10173/mike-smith,2019-2018,nhl
50,Craig Anderson,Ottawa Senators,34,3.25,.902,11,17,2,0,1845,918,100,https://www.eliteprospects.com/player/9066/craig-anderson,2019-2018,nhl
51,Sergei Bobrovski,Florida Panthers,50,3.23,.900,23,19,6,1,2806,1354,151,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2019-2018,nhl
52,Matt Murray,Pittsburgh Penguins,38,2.87,.899,20,11,5,1,2238,948,107,https://www.eliteprospects.com/player/91683/matt-murray,2019-2018,nhl
53,Brian Elliott,Philadelphia Flyers,31,2.87,.899,16,7,4,2,1674,716,80,https://www.eliteprospects.com/player/11336/brian-elliott,2019-2018,nhl
54,Carter Hutton,Buffalo Sabres,31,3.18,.898,12,14,4,2,1776,824,94,https://www.eliteprospects.com/player/24819/carter-hutton,2019-2018,nhl
55,Braden Holtby,Washington Capitals,48,3.11,.897,25,14,6,0,2744,1243,142,https://www.eliteprospects.com/player/11394/braden-holtby,2019-2018,nhl
56,Martin Jones,San Jose Sharks,41,3.00,.896,17,21,2,2,2360,1021,118,https://www.eliteprospects.com/player/11709/martin-jones,2019-2018,nhl
57,Pekka Rinne,Nashville Predators,36,3.17,.895,18,14,4,3,1988,899,105,https://www.eliteprospects.com/player/4282/pekka-rinne,2019-2018,nhl
58,Laurent Brossoit,Winnipeg Jets,19,3.28,.895,6,7,1,0,988,458,54,https://www.eliteprospects.com/player/37133/laurent-brossoit,2019-2018,nhl
59,Malcolm Subban,totals,21,3.17,.890,9,7,3,0,1135,486,60,https://www.eliteprospects.com/player/59221/malcolm-subban,2019-2018,nhl
60,Samuel Montembeault,Florida Panthers,14,3.34,.890,5,5,1,0,701,317,39,https://www.eliteprospects.com/player/187526/samuel-montembeault,2019-2018,nhl
61,Devan Dubnyk,Minnesota Wild,30,3.35,.890,12,15,2,1,1665,756,93,https://www.eliteprospects.com/player/9201/devan-dubnyk,2019-2018,nhl
62,Michael Hutchinson,totals,16,3.47,.888,5,9,1,1,848,390,49,https://www.eliteprospects.com/player/14727/michael-hutchinson,2019-2018,nhl
63,Cory Schneider,New Jersey Devils,13,3.53,.887,3,6,2,1,680,315,40,https://www.eliteprospects.com/player/9203/cory-schneider,2019-2018,nhl
64,Louis Domingue,totals,17,3.81,.882,3,9,2,0,803,382,51,https://www.eliteprospects.com/player/31515/louis-domingue,2019-2018,nhl
65,Jimmy Howard,Detroit Red Wings,27,4.20,.882,2,23,2,0,1372,721,96,https://www.eliteprospects.com/player/9058/jimmy-howard,2019-2018,nhl
66,Anthony Stolarz,Anaheim Ducks,1,2.05,.944,0,1,0,0,59,34,2,https://www.eliteprospects.com/player/131368/anthony-stolarz,2019-2018,nhl
67,Cayden Primeau,Montréal Canadiens,2,2.52,.931,1,1,0,0,119,67,5,https://www.eliteprospects.com/player/256228/cayden-primeau,2019-2018,nhl
68,Cal Petersen,Los Angeles Kings,8,2.64,.922,5,3,0,0,477,248,21,https://www.eliteprospects.com/player/121956/cal-petersen,2019-2018,nhl
69,Adam Werner,Colorado Avalanche,2,3.42,.914,1,1,0,0,88,53,5,https://www.eliteprospects.com/player/147736/adam-werner,2019-2018,nhl
70,Kaapo Kähkönen,Minnesota Wild,5,2.96,.913,3,1,1,0,304,157,15,https://www.eliteprospects.com/player/114708/kaapo-kahkonen,2019-2018,nhl
71,Gilles Senn,New Jersey Devils,2,3.42,.902,0,1,0,0,71,37,4,https://www.eliteprospects.com/player/164037/gilles-senn,2019-2018,nhl
72,Matiss Kivlenieks,Columbus Blue Jackets,6,2.95,.898,1,1,2,0,285,123,14,https://www.eliteprospects.com/player/190622/matiss-kivlenieks,2019-2018,nhl
73,Anton Forsberg,Carolina Hurricanes,3,3.35,.897,1,1,0,0,144,70,8,https://www.eliteprospects.com/player/15830/anton-forsberg,2019-2018,nhl
74,Jonas Johansson,Buffalo Sabres,6,2.94,.894,1,3,1,0,327,135,16,https://www.eliteprospects.com/player/86174/jonas-johansson,2019-2018,nhl
75,Alex Lyon,Philadelphia Flyers,3,3.55,.890,1,1,0,0,135,65,8,https://www.eliteprospects.com/player/114768/alex-lyon,2019-2018,nhl
76,Charlie Lindgren,Montréal Canadiens,6,3.33,.888,2,4,0,0,361,158,20,https://www.eliteprospects.com/player/122640/charlie-lindgren,2019-2018,nhl
77,Alex Nedeljkovic,Carolina Hurricanes,4,3.05,.887,1,2,1,0,216,86,11,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2019-2018,nhl
78,Antoine Bibeau,Colorado Avalanche,2,3.27,.881,1,0,0,0,92,37,5,https://www.eliteprospects.com/player/95315/antoine-bibeau,2019-2018,nhl
79,Keith Kinkaid,Montréal Canadiens,6,4.24,.875,1,1,3,0,340,168,24,https://www.eliteprospects.com/player/14384/keith-kinkaid,2019-2018,nhl
80,Eric Comrie,Detroit Red Wings,3,4.28,.864,0,2,0,0,127,57,9,https://www.eliteprospects.com/player/83873/eric-comrie,2019-2018,nhl
81,Garret Sparks,Vegas Golden Knights,1,4.38,.857,0,0,0,0,27,12,2,https://www.eliteprospects.com/player/91267/garret-sparks,2019-2018,nhl
82,Michael DiPietro,Vancouver Canucks,1,7.16,.857,0,0,0,0,9,6,1,https://www.eliteprospects.com/player/300424/michael-dipietro,2019-2018,nhl
83,Kasimir Kaskisuo,Toronto Maple Leafs,1,6.00,.842,0,1,0,0,60,32,6,https://www.eliteprospects.com/player/45422/kasimir-kaskisuo,2019-2018,nhl
84,Oscar Dansk,Vegas Golden Knights,1,6.00,.838,0,1,0,0,60,31,6,https://www.eliteprospects.com/player/42373/oscar-dansk,2019-2018,nhl
85,David Ayres,Carolina Hurricanes,1,4.18,.800,1,0,0,0,29,8,2,https://www.eliteprospects.com/player/400710/david-ayres,2019-2018,nhl
86,Calvin Pickard,Detroit Red Wings,3,5.46,.797,0,2,0,0,165,59,15,https://www.eliteprospects.com/player/23165/calvin-pickard,2019-2018,nhl
