,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
44,Linus Ullmark,Buffalo Sabres,20,2.60,.913,8,10,2,0,1131,516,49,https://www.eliteprospects.com/player/19760/linus-ullmark,2015-2014,nhl
45,Louis Domingue,Arizona Coyotes,39,2.75,.912,15,18,5,2,2206,1041,101,https://www.eliteprospects.com/player/31515/louis-domingue,2015-2014,nhl
46,Andrei Vasilevsky,Tampa Bay Lightning,24,2.76,.910,11,10,0,1,1259,588,58,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2015-2014,nhl
47,Cam Ward,Carolina Hurricanes,52,2.41,.909,23,17,10,1,3038,1221,122,https://www.eliteprospects.com/player/8806/cam-ward,2015-2014,nhl
48,Karri Rämö,Calgary Flames,37,2.63,.909,17,18,1,1,2145,940,94,https://www.eliteprospects.com/player/4280/karri-ramo,2015-2014,nhl
49,Pekka Rinne,Nashville Predators,66,2.48,.908,34,21,10,4,3895,1583,161,https://www.eliteprospects.com/player/4282/pekka-rinne,2015-2014,nhl
50,Jonas Gustavsson,Boston Bruins,24,2.72,.908,11,9,1,1,1258,565,57,https://www.eliteprospects.com/player/2250/jonas-gustavsson,2015-2014,nhl
51,Sergei Bobrovski,Columbus Blue Jackets,37,2.75,.908,15,19,1,1,2116,952,97,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2015-2014,nhl
52,Jonathan Bernier,Toronto Maple Leafs,38,2.88,.908,12,21,3,3,2147,1011,103,https://www.eliteprospects.com/player/9330/jonathan-bernier,2015-2014,nhl
53,Michael Hutchinson,Winnipeg Jets,30,2.84,.907,9,15,3,0,1586,730,75,https://www.eliteprospects.com/player/14727/michael-hutchinson,2015-2014,nhl
54,Kari Lehtonen,Dallas Stars,43,2.76,.906,25,10,2,2,2279,1016,105,https://www.eliteprospects.com/player/2694/kari-lehtonen,2015-2014,nhl
55,Jimmy Howard,Detroit Red Wings,37,2.80,.906,14,14,5,2,1974,887,92,https://www.eliteprospects.com/player/9058/jimmy-howard,2015-2014,nhl
56,Ben Scrivens,Montréal Canadiens,15,3.07,.906,5,8,0,0,822,405,42,https://www.eliteprospects.com/player/25777/ben-scrivens,2015-2014,nhl
57,Antti Niemi,Dallas Stars,48,2.67,.905,25,13,7,3,2654,1128,118,https://www.eliteprospects.com/player/7566/antti-niemi,2015-2014,nhl
58,Ondrej Pavelec,Winnipeg Jets,33,2.78,.904,13,13,4,1,1899,830,88,https://www.eliteprospects.com/player/9626/ondrej-pavelec,2015-2014,nhl
59,Keith Kinkaid,New Jersey Devils,23,2.81,.904,9,9,1,2,1240,547,58,https://www.eliteprospects.com/player/14384/keith-kinkaid,2015-2014,nhl
60,Mike Condon,Montréal Canadiens,55,2.71,.903,21,25,6,1,3123,1317,141,https://www.eliteprospects.com/player/19184/mike-condon,2015-2014,nhl
61,Joni Ortio,Calgary Flames,22,2.76,.902,7,9,5,1,1196,509,55,https://www.eliteprospects.com/player/16050/joni-ortio,2015-2014,nhl
62,Eddie Läck,Carolina Hurricanes,34,2.81,.901,12,14,6,2,1920,820,90,https://www.eliteprospects.com/player/4347/eddie-lack,2015-2014,nhl
63,Anders Nilsson,totals,29,3.12,.901,10,13,2,0,1500,711,78,https://www.eliteprospects.com/player/5591/anders-nilsson,2015-2014,nhl
64,Anders Lindbäck,Arizona Coyotes,19,3.11,.894,5,7,1,0,906,396,47,https://www.eliteprospects.com/player/3769/anders-lindback,2015-2014,nhl
65,Garret Sparks,Toronto Maple Leafs,17,3.02,.893,6,9,1,1,975,407,49,https://www.eliteprospects.com/player/91267/garret-sparks,2015-2014,nhl
66,Curtis McElhinney,Columbus Blue Jackets,18,3.30,.890,2,7,3,0,835,371,46,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2015-2014,nhl
67,Alex Stalock,San Jose Sharks,13,2.94,.884,3,5,2,0,674,252,33,https://www.eliteprospects.com/player/11796/alex-stalock,2015-2014,nhl
68,Jonas Hiller,Calgary Flames,26,3.51,.879,9,11,1,1,1351,575,79,https://www.eliteprospects.com/player/10454/jonas-hiller,2015-2014,nhl
69,Chris Driedger,Ottawa Senators,1,0.00,1.000,0,0,0,0,32,11,0,https://www.eliteprospects.com/player/59689/chris-driedger,2015-2014,nhl
70,Kristers Gudlevskis,Tampa Bay Lightning,1,1.00,.969,0,0,1,0,60,31,1,https://www.eliteprospects.com/player/49585/kristers-gudlevskis,2015-2014,nhl
71,Scott Wedgewood,New Jersey Devils,4,1.25,.957,2,1,1,1,241,111,5,https://www.eliteprospects.com/player/30921/scott-wedgewood,2015-2014,nhl
72,Michael Leighton,Chicago Blackhawks,1,1.52,.941,0,0,0,0,39,16,1,https://www.eliteprospects.com/player/8531/michael-leighton,2015-2014,nhl
73,Charlie Lindgren,Montréal Canadiens,1,2.00,.929,1,0,0,0,60,26,2,https://www.eliteprospects.com/player/122640/charlie-lindgren,2015-2014,nhl
74,Jean-François Bérubé,New York Islanders,7,2.71,.914,3,2,1,0,399,192,18,https://www.eliteprospects.com/player/23458/jean-francois-berube,2015-2014,nhl
75,Matt O'Connor,Ottawa Senators,1,3.10,.912,0,1,0,0,58,31,3,https://www.eliteprospects.com/player/61293/matt-o-connor,2015-2014,nhl
76,Anton Khudobin,Anaheim Ducks,9,2.69,.909,3,3,0,1,356,159,16,https://www.eliteprospects.com/player/9265/anton-khudobin,2015-2014,nhl
77,Anton Forsberg,Columbus Blue Jackets,4,3.03,.907,1,3,0,0,178,88,9,https://www.eliteprospects.com/player/15830/anton-forsberg,2015-2014,nhl
78,Richard Bachman,Vancouver Canucks,1,3.00,.903,1,0,0,0,60,28,3,https://www.eliteprospects.com/player/11987/richard-bachman,2015-2014,nhl
79,Christopher Gibson,New York Islanders,4,3.40,.882,1,1,1,0,194,82,11,https://www.eliteprospects.com/player/40999/christopher-gibson,2015-2014,nhl
80,Niklas Bäckström,Calgary Flames,4,3.35,.881,2,2,0,0,233,96,13,https://www.eliteprospects.com/player/7/niklas-backstrom,2015-2014,nhl
81,Dustin Tokarski,Montréal Canadiens,6,3.18,.878,1,3,0,0,226,86,12,https://www.eliteprospects.com/player/11613/dustin-tokarski,2015-2014,nhl
82,Laurent Brossoit,Edmonton Oilers,5,3.61,.873,0,4,1,0,300,124,18,https://www.eliteprospects.com/player/37133/laurent-brossoit,2015-2014,nhl
83,Juuse Saros,Nashville Predators,1,3.10,.870,0,1,0,0,58,20,3,https://www.eliteprospects.com/player/50744/juuse-saros,2015-2014,nhl
84,Jason Kasdorf,Buffalo Sabres,1,4.00,.867,0,1,0,0,60,26,4,https://www.eliteprospects.com/player/69542/jason-kasdorf,2015-2014,nhl
85,Peter Budaj,Los Angeles Kings,1,3.85,.857,1,0,0,0,62,24,4,https://www.eliteprospects.com/player/8602/peter-budaj,2015-2014,nhl
86,Pheonix Copley,St. Louis Blues,1,2.46,.833,0,0,0,0,24,5,1,https://www.eliteprospects.com/player/90250/pheonix-copley,2015-2014,nhl
87,Yann Danis,New Jersey Devils,2,4.75,.778,0,1,0,0,51,14,4,https://www.eliteprospects.com/player/9130/yann-danis,2015-2014,nhl
88,Jordan Binnington,St. Louis Blues,1,4.69,.750,0,0,0,0,13,3,1,https://www.eliteprospects.com/player/45580/jordan-binnington,2015-2014,nhl
89,Niklas Treutle,Arizona Coyotes,2,6.04,.750,0,1,0,0,50,15,5,https://www.eliteprospects.com/player/22399/niklas-treutle,2015-2014,nhl
90,Roman Will,Colorado Avalanche,1,3.25,.667,0,0,0,0,18,2,1,https://www.eliteprospects.com/player/70390/roman-will,2015-2014,nhl
91,Magnus Hellberg,New York Rangers,1,6.00,.667,0,0,0,0,20,4,2,https://www.eliteprospects.com/player/13297/magnus-hellberg,2015-2014,nhl
