,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Carey Price,Montréal Canadiens,12,2.06,.934,10,2,0,2,698,341,24,https://www.eliteprospects.com/player/9368/carey-price,2015-2014,nhl
1,Matt Murray,Pittsburgh Penguins,13,2.00,.930,9,2,1,1,749,330,25,https://www.eliteprospects.com/player/91683/matt-murray,2015-2014,nhl
2,Brian Elliott,St. Louis Blues,42,2.07,.930,23,8,6,4,2261,1035,78,https://www.eliteprospects.com/player/11336/brian-elliott,2015-2014,nhl
3,Ben Bishop,Tampa Bay Lightning,61,2.06,.926,35,21,4,6,3585,1549,123,https://www.eliteprospects.com/player/11797/ben-bishop,2015-2014,nhl
4,Thomas Greiss,New York Islanders,41,2.36,.925,23,11,4,1,2287,1107,90,https://www.eliteprospects.com/player/10954/thomas-greiss,2015-2014,nhl
5,Cory Schneider,New Jersey Devils,58,2.15,.924,27,25,6,4,3412,1475,122,https://www.eliteprospects.com/player/9203/cory-schneider,2015-2014,nhl
6,Michal Neuvirth,Philadelphia Flyers,32,2.27,.924,18,8,4,3,1825,839,69,https://www.eliteprospects.com/player/9279/michal-neuvirth,2015-2014,nhl
7,Corey Crawford,Chicago Blackhawks,58,2.37,.924,35,18,5,7,3323,1587,131,https://www.eliteprospects.com/player/11347/corey-crawford,2015-2014,nhl
8,Robin Lehner,Buffalo Sabres,21,2.47,.924,5,9,5,1,1164,586,48,https://www.eliteprospects.com/player/9796/robin-lehner,2015-2014,nhl
9,Jhonas Enroth,Los Angeles Kings,16,2.17,.922,7,5,1,2,856,367,31,https://www.eliteprospects.com/player/3688/jhonas-enroth,2015-2014,nhl
10,Braden Holtby,Washington Capitals,66,2.20,.922,48,9,7,3,3841,1661,141,https://www.eliteprospects.com/player/11394/braden-holtby,2015-2014,nhl
11,James Reimer,totals,40,2.31,.922,17,14,7,3,2290,1040,88,https://www.eliteprospects.com/player/11538/james-reimer,2015-2014,nhl
12,Roberto Luongo,Florida Panthers,62,2.35,.922,35,19,6,4,3602,1660,141,https://www.eliteprospects.com/player/8546/roberto-luongo,2015-2014,nhl
13,Reto Berra,Colorado Avalanche,14,2.41,.922,5,8,0,2,721,345,29,https://www.eliteprospects.com/player/11986/reto-berra,2015-2014,nhl
14,Calvin Pickard,Colorado Avalanche,20,2.56,.922,7,6,1,1,985,497,42,https://www.eliteprospects.com/player/23165/calvin-pickard,2015-2014,nhl
15,Marc-André Fleury,Pittsburgh Penguins,58,2.29,.921,35,17,6,5,3463,1533,132,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2015-2014,nhl
16,Petr Mrázek,Detroit Red Wings,54,2.33,.921,27,16,6,4,2961,1333,115,https://www.eliteprospects.com/player/34797/petr-mrazek,2015-2014,nhl
17,John Gibson,Anaheim Ducks,40,2.07,.920,21,13,4,4,2295,913,79,https://www.eliteprospects.com/player/45399/john-gibson,2015-2014,nhl
18,Jake Allen,St. Louis Blues,47,2.35,.920,26,15,3,6,2583,1159,101,https://www.eliteprospects.com/player/17522/jake-allen,2015-2014,nhl
19,Chad Johnson,Buffalo Sabres,45,2.36,.920,22,16,4,1,2591,1168,102,https://www.eliteprospects.com/player/11918/chad-johnson,2015-2014,nhl
20,Henrik Lundqvist,New York Rangers,65,2.48,.920,35,21,7,4,3772,1788,156,https://www.eliteprospects.com/player/286/henrik-lundqvist,2015-2014,nhl
21,Joonas Korpisalo,Columbus Blue Jackets,31,2.60,.920,16,11,4,0,1803,891,78,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2015-2014,nhl
22,Al Montoya,Florida Panthers,25,2.18,.919,12,7,3,0,1351,559,49,https://www.eliteprospects.com/player/9438/al-montoya,2015-2014,nhl
23,Antti Raanta,New York Rangers,25,2.24,.919,11,6,2,1,1145,487,43,https://www.eliteprospects.com/player/17016/antti-raanta,2015-2014,nhl
24,Frederik Andersen,Anaheim Ducks,43,2.30,.919,22,9,7,3,2298,998,88,https://www.eliteprospects.com/player/15205/frederik-andersen,2015-2014,nhl
25,Jaroslav Halák,New York Islanders,36,2.30,.919,18,13,4,3,2091,904,80,https://www.eliteprospects.com/player/9648/jaroslav-halak,2015-2014,nhl
26,Jonathan Quick,Los Angeles Kings,68,2.22,.918,40,23,5,5,4034,1671,149,https://www.eliteprospects.com/player/11798/jonathan-quick,2015-2014,nhl
27,Martin Jones,San Jose Sharks,65,2.27,.918,37,23,4,6,3786,1591,143,https://www.eliteprospects.com/player/11709/martin-jones,2015-2014,nhl
28,Philipp Grubauer,Washington Capitals,22,2.32,.918,8,9,1,0,1111,480,43,https://www.eliteprospects.com/player/17632/philipp-grubauer,2015-2014,nhl
29,Devan Dubnyk,Minnesota Wild,67,2.33,.918,32,26,6,5,3861,1679,150,https://www.eliteprospects.com/player/9201/devan-dubnyk,2015-2014,nhl
30,Carter Hutton,Nashville Predators,17,2.33,.918,7,5,4,2,979,426,38,https://www.eliteprospects.com/player/24819/carter-hutton,2015-2014,nhl
31,Connor Hellebuyck,Winnipeg Jets,26,2.34,.918,13,11,1,2,1433,627,56,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2015-2014,nhl
32,Steve Mason,Philadelphia Flyers,54,2.51,.918,23,19,10,4,3150,1470,132,https://www.eliteprospects.com/player/10428/steve-mason,2015-2014,nhl
33,Cam Talbot,Edmonton Oilers,56,2.55,.917,21,27,5,3,3223,1511,137,https://www.eliteprospects.com/player/33246/cam-talbot,2015-2014,nhl
34,Jeff Zatkoff,Pittsburgh Penguins,14,2.79,.917,4,7,1,0,732,374,34,https://www.eliteprospects.com/player/10457/jeff-zatkoff,2015-2014,nhl
35,Mike Smith,Arizona Coyotes,32,2.64,.916,15,13,2,3,1753,844,77,https://www.eliteprospects.com/player/10173/mike-smith,2015-2014,nhl
36,Ryan Miller,Vancouver Canucks,51,2.70,.916,17,24,9,1,3043,1497,137,https://www.eliteprospects.com/player/8802/ryan-miller,2015-2014,nhl
37,Craig Anderson,Ottawa Senators,60,2.78,.916,31,23,5,4,3477,1754,161,https://www.eliteprospects.com/player/9066/craig-anderson,2015-2014,nhl
38,Darcy Kuemper,Minnesota Wild,21,2.43,.915,6,7,5,2,1063,464,43,https://www.eliteprospects.com/player/23162/darcy-kuemper,2015-2014,nhl
39,Tuukka Rask,Boston Bruins,64,2.56,.915,31,22,8,4,3678,1697,157,https://www.eliteprospects.com/player/4217/tuukka-rask,2015-2014,nhl
40,Scott Darling,Chicago Blackhawks,29,2.58,.915,12,8,4,1,1560,717,67,https://www.eliteprospects.com/player/12553/scott-darling,2015-2014,nhl
41,Jacob Markström,Vancouver Canucks,33,2.73,.915,13,14,4,0,1847,904,84,https://www.eliteprospects.com/player/9787/jacob-markstrom,2015-2014,nhl
42,Andrew Hammond,Ottawa Senators,24,2.65,.914,7,11,4,1,1382,651,61,https://www.eliteprospects.com/player/38007/andrew-hammond,2015-2014,nhl
43,Semyon Varlamov,Colorado Avalanche,57,2.81,.914,27,25,3,2,3159,1566,148,https://www.eliteprospects.com/player/9308/semyon-varlamov,2015-2014,nhl
