,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
18,Ilya Samsonov,Toronto Maple Leafs,2,2.00,.926,-,-,-,-,-,50,4,https://www.eliteprospects.com/player/277797/ilya-samsonov,2022-2021,nhl
19,Sergei Bobrovski,Florida Panthers,2,2.61,.924,-,-,-,-,-,61,5,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2022-2021,nhl
20,Ville Husso,Detroit Red Wings,2,2.50,.923,-,-,-,-,-,60,5,https://www.eliteprospects.com/player/50661/ville-husso,2022-2021,nhl
21,Casey DeSmith,Pittsburgh Penguins,1,2.85,.923,-,-,-,-,-,36,3,https://www.eliteprospects.com/player/45724/casey-desmith,2022-2021,nhl
22,Charlie Lindgren,Washington Capitals,1,3.18,.923,-,-,-,-,-,36,3,https://www.eliteprospects.com/player/122640/charlie-lindgren,2022-2021,nhl
23,Jordan Binnington,St. Louis Blues,1,2.00,.920,-,-,-,-,-,23,2,https://www.eliteprospects.com/player/45580/jordan-binnington,2022-2021,nhl
24,James Reimer,San Jose Sharks,3,3.05,.919,-,-,-,-,-,102,9,https://www.eliteprospects.com/player/11538/james-reimer,2022-2021,nhl
25,Samuel Montembeault,Montréal Canadiens,2,2.48,.912,-,-,-,-,-,52,5,https://www.eliteprospects.com/player/187526/samuel-montembeault,2022-2021,nhl
26,Andrei Vasilevsky,Tampa Bay Lightning,3,2.73,.912,-,-,-,-,-,83,8,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2022-2021,nhl
27,Alexandar Georgiyev,Colorado Avalanche,2,2.51,.911,-,-,-,-,-,51,5,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2022-2021,nhl
28,Jaroslav Halák,New York Rangers,1,3.05,.909,-,-,-,-,-,30,3,https://www.eliteprospects.com/player/9648/jaroslav-halak,2022-2021,nhl
29,Igor Shestyorkin,New York Rangers,3,2.68,.905,-,-,-,-,-,76,8,https://www.eliteprospects.com/player/195577/igor-shestyorkin,2022-2021,nhl
30,Anton Forsberg,Ottawa Senators,3,3.38,.900,-,-,-,-,-,90,10,https://www.eliteprospects.com/player/15830/anton-forsberg,2022-2021,nhl
31,Juuse Saros,Nashville Predators,4,3.00,.897,1,2,1,0,240,104,12,https://www.eliteprospects.com/player/50744/juuse-saros,2022-2021,nhl
32,Dan Vladar,Calgary Flames,1,3.00,.897,-,-,-,-,-,26,3,https://www.eliteprospects.com/player/215223/dan-vladar,2022-2021,nhl
33,Jonathan Quick,Los Angeles Kings,3,3.73,.895,-,-,-,-,-,94,11,https://www.eliteprospects.com/player/11798/jonathan-quick,2022-2021,nhl
34,Karel Vejmelka,Arizona Coyotes,3,4.35,.894,-,-,-,-,-,110,13,https://www.eliteprospects.com/player/189829/karel-vejmelka,2022-2021,nhl
35,Jacob Markström,Calgary Flames,2,2.50,.891,-,-,-,-,-,41,5,https://www.eliteprospects.com/player/9787/jacob-markstrom,2022-2021,nhl
36,Daniil Tarasov,Columbus Blue Jackets,2,4.50,.890,-,-,-,-,-,73,9,https://www.eliteprospects.com/player/359971/daniil-tarasov,2022-2021,nhl
37,Spencer Knight,Florida Panthers,1,3.00,.889,-,-,-,-,-,24,3,https://www.eliteprospects.com/player/379758/spencer-knight,2022-2021,nhl
38,Darcy Kuemper,Washington Capitals,3,3.04,.889,-,-,-,-,-,72,9,https://www.eliteprospects.com/player/23162/darcy-kuemper,2022-2021,nhl
39,Brian Elliott,Tampa Bay Lightning,1,5.05,.886,-,-,-,-,-,39,5,https://www.eliteprospects.com/player/11336/brian-elliott,2022-2021,nhl
40,Petr Mrázek,Chicago Blackhawks,2,3.50,.885,-,-,-,-,-,54,7,https://www.eliteprospects.com/player/34797/petr-mrazek,2022-2021,nhl
41,Anthony Stolarz,Anaheim Ducks,3,4.31,.885,-,-,-,-,-,54,7,https://www.eliteprospects.com/player/131368/anthony-stolarz,2022-2021,nhl
42,Martin Jones,Seattle Kraken,2,3.60,.882,-,-,-,-,-,45,6,https://www.eliteprospects.com/player/11709/martin-jones,2022-2021,nhl
43,Spencer Martin,Vancouver Canucks,1,3.79,.879,-,-,-,-,-,29,4,https://www.eliteprospects.com/player/99040/spencer-martin,2022-2021,nhl
44,John Gibson,Anaheim Ducks,3,5.96,.872,-,-,-,-,-,95,14,https://www.eliteprospects.com/player/45399/john-gibson,2022-2021,nhl
45,Elvis Merzlikins,Columbus Blue Jackets,2,3.89,.867,-,-,-,-,-,52,8,https://www.eliteprospects.com/player/66584/elvis-merzlikins,2022-2021,nhl
46,Cal Petersen,Los Angeles Kings,2,4.32,.866,-,-,-,-,-,58,9,https://www.eliteprospects.com/player/121956/cal-petersen,2022-2021,nhl
47,Mackenzie Blackwood,New Jersey Devils,2,3.06,.864,-,-,-,-,-,38,6,https://www.eliteprospects.com/player/203280/mackenzie-blackwood,2022-2021,nhl
48,Filip Gustavsson,Minnesota Wild,2,5.06,.860,-,-,-,-,-,49,8,https://www.eliteprospects.com/player/212732/filip-gustavsson,2022-2021,nhl
49,Philipp Grubauer,Seattle Kraken,3,4.26,.851,-,-,-,-,-,57,10,https://www.eliteprospects.com/player/17632/philipp-grubauer,2022-2021,nhl
50,Jack Campbell,Edmonton Oilers,2,5.98,.851,-,-,-,-,-,40,7,https://www.eliteprospects.com/player/20709/jack-campbell,2022-2021,nhl
51,Thatcher Demko,Vancouver Canucks,3,4.48,.847,-,-,-,-,-,72,13,https://www.eliteprospects.com/player/155248/thatcher-demko,2022-2021,nhl
52,Erik Källgren,Toronto Maple Leafs,1,3.05,.833,-,-,-,-,-,15,3,https://www.eliteprospects.com/player/142236/erik-kallgren,2022-2021,nhl
53,Matt Murray,Toronto Maple Leafs,1,4.05,.826,-,-,-,-,-,19,4,https://www.eliteprospects.com/player/91683/matt-murray,2022-2021,nhl
54,Jeremy Swayman,Boston Bruins,2,5.40,.816,-,-,-,-,-,40,9,https://www.eliteprospects.com/player/269688/jeremy-swayman,2022-2021,nhl
55,Pavel Francouz,Colorado Avalanche,1,5.21,.815,-,-,-,-,-,22,5,https://www.eliteprospects.com/player/18084/pavel-francouz,2022-2021,nhl
56,Kaapo Kähkönen,San Jose Sharks,2,4.10,.814,-,-,-,-,-,35,8,https://www.eliteprospects.com/player/114708/kaapo-kahkonen,2022-2021,nhl
57,Marc-André Fleury,Minnesota Wild,2,8.37,.776,-,-,-,-,-,38,11,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2022-2021,nhl
58,Vitek Vanecek,New Jersey Devils,1,5.00,.773,-,-,-,-,-,17,5,https://www.eliteprospects.com/player/161469/vitek-vanecek,2022-2021,nhl
