,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Alex Stalock,Chicago Blackhawks,1,1.03,.973,-,-,-,-,-,36,1,https://www.eliteprospects.com/player/11796/alex-stalock,2022-2021,nhl
1,Craig Anderson,Buffalo Sabres,1,1.00,.972,-,-,-,-,-,35,1,https://www.eliteprospects.com/player/9066/craig-anderson,2022-2021,nhl
2,Jake Oettinger,Dallas Stars,3,1.00,.966,-,-,-,-,-,84,3,https://www.eliteprospects.com/player/247982/jake-oettinger,2022-2021,nhl
3,Frederik Andersen,Carolina Hurricanes,2,1.00,.964,-,-,-,-,-,53,2,https://www.eliteprospects.com/player/15205/frederik-andersen,2022-2021,nhl
4,Alex Nedeljkovic,Detroit Red Wings,1,2.02,.949,-,-,-,-,-,37,2,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2022-2021,nhl
5,Antti Raanta,Carolina Hurricanes,1,1.00,.947,-,-,-,-,-,18,1,https://www.eliteprospects.com/player/17016/antti-raanta,2022-2021,nhl
6,Stuart Skinner,Edmonton Oilers,2,1.69,.944,-,-,-,-,-,51,3,https://www.eliteprospects.com/player/166664/stuart-skinner,2022-2021,nhl
7,Carter Hart,Philadelphia Flyers,3,2.00,.943,-,-,-,-,-,99,6,https://www.eliteprospects.com/player/161850/carter-hart,2022-2021,nhl
8,Jake Allen,Montréal Canadiens,2,2.03,.943,-,-,-,-,-,66,4,https://www.eliteprospects.com/player/17522/jake-allen,2022-2021,nhl
9,Ilya Sorokin,New York Islanders,2,1.52,.941,-,-,-,-,-,48,3,https://www.eliteprospects.com/player/214182/ilya-sorokin,2022-2021,nhl
10,Adin Hill,Vegas Golden Knights,1,2.00,.939,-,-,-,-,-,31,2,https://www.eliteprospects.com/player/62230/adin-hill,2022-2021,nhl
11,Kevin Lankinen,Nashville Predators,1,2.00,.939,1,0,0,0,60,31,2,https://www.eliteprospects.com/player/50662/kevin-lankinen,2022-2021,nhl
12,Tristan Jarry,Pittsburgh Penguins,2,2.01,.938,-,-,-,-,-,60,4,https://www.eliteprospects.com/player/88602/tristan-jarry,2022-2021,nhl
13,Logan Thompson,Vegas Golden Knights,3,2.03,.938,2,1,0,0,178,91,6,https://www.eliteprospects.com/player/161070/logan-thompson,2022-2021,nhl
14,Semyon Varlamov,New York Islanders,1,2.00,.929,-,-,-,-,-,26,2,https://www.eliteprospects.com/player/9308/semyon-varlamov,2022-2021,nhl
15,Connor Hellebuyck,Winnipeg Jets,2,2.50,.929,-,-,-,-,-,65,5,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2022-2021,nhl
16,Eric Comrie,Buffalo Sabres,2,3.01,.929,-,-,-,-,-,79,6,https://www.eliteprospects.com/player/83873/eric-comrie,2022-2021,nhl
17,Linus Ullmark,Boston Bruins,3,2.58,.927,-,-,-,-,-,76,6,https://www.eliteprospects.com/player/19760/linus-ullmark,2022-2021,nhl
