,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
25,Jake Oettinger,Dallas Stars,29,2.36,.911,11,8,7,1,1604,647,63,https://www.eliteprospects.com/player/247982/jake-oettinger,2020-2019,nhl
26,Cal Petersen,Los Angeles Kings,35,2.89,.911,9,18,5,0,2016,998,97,https://www.eliteprospects.com/player/121956/cal-petersen,2020-2019,nhl
27,Jordan Binnington,St. Louis Blues,42,2.65,.910,18,14,8,0,2448,1092,108,https://www.eliteprospects.com/player/45580/jordan-binnington,2020-2019,nhl
28,Tristan Jarry,Pittsburgh Penguins,39,2.75,.909,25,9,3,2,2185,1000,100,https://www.eliteprospects.com/player/88602/tristan-jarry,2020-2019,nhl
29,Kevin Lankinen,Chicago Blackhawks,37,3.01,.909,17,14,5,2,2175,1095,109,https://www.eliteprospects.com/player/50662/kevin-lankinen,2020-2019,nhl
30,Vitek Vanecek,Washington Capitals,37,2.69,.908,21,10,4,2,2115,936,95,https://www.eliteprospects.com/player/161469/vitek-vanecek,2020-2019,nhl
31,Darcy Kuemper,Arizona Coyotes,27,2.56,.907,10,11,3,2,1547,644,66,https://www.eliteprospects.com/player/23162/darcy-kuemper,2020-2019,nhl
32,Jake Allen,Montréal Canadiens,29,2.68,.907,11,12,5,0,1703,741,76,https://www.eliteprospects.com/player/17522/jake-allen,2020-2019,nhl
33,Pekka Rinne,Nashville Predators,24,2.84,.907,10,12,1,2,1310,602,62,https://www.eliteprospects.com/player/4282/pekka-rinne,2020-2019,nhl
34,James Reimer,Carolina Hurricanes,22,2.66,.906,15,5,2,0,1331,568,59,https://www.eliteprospects.com/player/11538/james-reimer,2020-2019,nhl
35,Sergei Bobrovski,Florida Panthers,31,2.91,.906,19,8,2,0,1816,847,88,https://www.eliteprospects.com/player/14590/sergei-bobrovski,2020-2019,nhl
36,Jaroslav Halák,Boston Bruins,19,2.53,.905,9,6,4,2,1090,436,46,https://www.eliteprospects.com/player/9648/jaroslav-halak,2020-2019,nhl
37,Anton Khudobin,Dallas Stars,32,2.54,.905,12,11,7,3,1795,723,76,https://www.eliteprospects.com/player/9265/anton-khudobin,2020-2019,nhl
38,Alexandar Georgiyev,New York Rangers,19,2.71,.905,8,7,2,2,974,421,44,https://www.eliteprospects.com/player/262640/alexandar-georgiyev,2020-2019,nhl
39,Antti Raanta,Arizona Coyotes,12,3.36,.905,5,5,2,0,679,363,38,https://www.eliteprospects.com/player/17016/antti-raanta,2020-2019,nhl
40,Jacob Markström,Calgary Flames,43,2.68,.904,22,19,2,3,2508,1050,111,https://www.eliteprospects.com/player/9787/jacob-markstrom,2020-2019,nhl
41,Dustin Tokarski,Buffalo Sabres,13,3.54,.904,2,8,2,0,729,404,43,https://www.eliteprospects.com/player/11613/dustin-tokarski,2020-2019,nhl
42,John Gibson,Anaheim Ducks,35,2.98,.903,9,19,7,3,2031,941,101,https://www.eliteprospects.com/player/45399/john-gibson,2020-2019,nhl
43,Ilya Samsonov,Washington Capitals,19,2.69,.902,13,4,1,2,1093,450,49,https://www.eliteprospects.com/player/277797/ilya-samsonov,2020-2019,nhl
44,Kaapo Kähkönen,Minnesota Wild,24,2.88,.902,16,8,0,2,1414,624,68,https://www.eliteprospects.com/player/114708/kaapo-kahkonen,2020-2019,nhl
45,Mackenzie Blackwood,New Jersey Devils,35,3.04,.902,14,17,4,1,2091,975,106,https://www.eliteprospects.com/player/203280/mackenzie-blackwood,2020-2019,nhl
46,Carey Price,Montréal Canadiens,25,2.64,.901,12,7,5,1,1479,594,65,https://www.eliteprospects.com/player/9368/carey-price,2020-2019,nhl
47,David Rittich,totals,19,2.86,.901,5,8,2,1,966,417,46,https://www.eliteprospects.com/player/131342/david-rittich,2020-2019,nhl
48,Scott Wedgewood,New Jersey Devils,16,3.11,.900,3,8,3,2,888,412,46,https://www.eliteprospects.com/player/30921/scott-wedgewood,2020-2019,nhl
49,Malcolm Subban,Chicago Blackhawks,16,3.20,.900,6,8,1,2,881,424,47,https://www.eliteprospects.com/player/59221/malcolm-subban,2020-2019,nhl
50,Mikko Koskinen,Edmonton Oilers,26,3.17,.899,13,13,0,0,1438,680,76,https://www.eliteprospects.com/player/12807/mikko-koskinen,2020-2019,nhl
51,Josef Korenar,San Jose Sharks,10,3.17,.899,3,5,0,0,492,232,26,https://www.eliteprospects.com/player/225184/josef-korenar,2020-2019,nhl
52,Jonathan Quick,Los Angeles Kings,22,2.86,.898,11,9,2,2,1219,508,58,https://www.eliteprospects.com/player/11798/jonathan-quick,2020-2019,nhl
53,Jonas Johansson,totals,15,2.86,.897,5,6,2,1,817,341,39,https://www.eliteprospects.com/player/86174/jonas-johansson,2020-2019,nhl
54,Martin Jones,San Jose Sharks,34,3.28,.896,15,13,4,1,1868,878,102,https://www.eliteprospects.com/player/11709/martin-jones,2020-2019,nhl
55,Frederik Andersen,Toronto Maple Leafs,24,2.96,.895,13,8,3,0,1420,598,70,https://www.eliteprospects.com/player/15205/frederik-andersen,2020-2019,nhl
56,Devan Dubnyk,totals,22,3.20,.895,6,11,2,1,1183,539,63,https://www.eliteprospects.com/player/9201/devan-dubnyk,2020-2019,nhl
57,Joonas Korpisalo,Columbus Blue Jackets,33,3.30,.894,9,13,7,0,1747,808,96,https://www.eliteprospects.com/player/44198/joonas-korpisalo,2020-2019,nhl
58,Ville Husso,St. Louis Blues,17,3.21,.893,9,6,1,1,917,411,49,https://www.eliteprospects.com/player/50661/ville-husso,2020-2019,nhl
59,Matt Murray,Ottawa Senators,27,3.38,.893,10,13,1,2,1404,659,79,https://www.eliteprospects.com/player/91683/matt-murray,2020-2019,nhl
60,Brian Elliott,Philadelphia Flyers,30,3.06,.889,15,9,2,2,1608,656,82,https://www.eliteprospects.com/player/11336/brian-elliott,2020-2019,nhl
61,Braden Holtby,Vancouver Canucks,21,3.67,.889,7,11,3,0,1260,618,77,https://www.eliteprospects.com/player/11394/braden-holtby,2020-2019,nhl
62,Carter Hutton,Buffalo Sabres,13,3.47,.886,1,10,1,0,675,302,39,https://www.eliteprospects.com/player/24819/carter-hutton,2020-2019,nhl
63,Ryan Miller,Anaheim Ducks,16,3.51,.882,4,8,2,0,871,381,51,https://www.eliteprospects.com/player/8802/ryan-miller,2020-2019,nhl
64,Carter Hart,Philadelphia Flyers,27,3.67,.877,9,11,5,1,1456,632,89,https://www.eliteprospects.com/player/161850/carter-hart,2020-2019,nhl
65,Marcus Högberg,Ottawa Senators,14,3.74,.876,4,7,0,0,642,282,40,https://www.eliteprospects.com/player/29074/marcus-hogberg,2020-2019,nhl
66,Curtis McElhinney,Tampa Bay Lightning,12,3.09,.875,4,6,2,1,719,259,37,https://www.eliteprospects.com/player/11433/curtis-mcelhinney,2020-2019,nhl
67,Max Lagacé,Pittsburgh Penguins,1,0.00,1.000,1,0,0,1,60,29,0,https://www.eliteprospects.com/player/76323/max-lagace,2020-2019,nhl
68,Logan Thompson,Vegas Golden Knights,1,0.00,1.000,0,0,0,0,8,2,0,https://www.eliteprospects.com/player/161070/logan-thompson,2020-2019,nhl
69,Kasimir Kaskisuo,Nashville Predators,1,0.00,1.000,0,0,0,0,15,3,0,https://www.eliteprospects.com/player/45422/kasimir-kaskisuo,2020-2019,nhl
70,Filip Gustavsson,Ottawa Senators,9,2.16,.933,5,1,2,0,472,237,17,https://www.eliteprospects.com/player/212732/filip-gustavsson,2020-2019,nhl
71,Anthony Stolarz,Anaheim Ducks,8,2.20,.926,4,3,0,1,464,213,17,https://www.eliteprospects.com/player/131368/anthony-stolarz,2020-2019,nhl
72,Troy Grosenick,Los Angeles Kings,2,3.00,.922,1,1,0,0,120,71,6,https://www.eliteprospects.com/player/31625/troy-grosenick,2020-2019,nhl
73,Spencer Knight,Florida Panthers,4,2.32,.919,4,0,0,0,207,91,8,https://www.eliteprospects.com/player/379758/spencer-knight,2020-2019,nhl
74,Michael Hutchinson,Toronto Maple Leafs,8,2.42,.919,4,2,1,1,422,194,17,https://www.eliteprospects.com/player/14727/michael-hutchinson,2020-2019,nhl
75,Craig Anderson,Washington Capitals,4,2.13,.915,2,1,0,0,169,65,6,https://www.eliteprospects.com/player/9066/craig-anderson,2020-2019,nhl
76,Eric Comrie,New Jersey Devils,1,3.00,.909,1,0,0,0,60,30,3,https://www.eliteprospects.com/player/83873/eric-comrie,2020-2019,nhl
77,Anton Forsberg,Ottawa Senators,8,3.21,.909,3,4,1,0,449,240,24,https://www.eliteprospects.com/player/15830/anton-forsberg,2020-2019,nhl
78,Ukko-Pekka Luukkonen,Buffalo Sabres,4,3.88,.906,1,3,0,0,217,135,14,https://www.eliteprospects.com/player/286397/ukko-pekka-luukkonen,2020-2019,nhl
79,Collin Delia,Chicago Blackhawks,6,3.59,.902,1,3,1,0,334,185,20,https://www.eliteprospects.com/player/155712/collin-delia,2020-2019,nhl
80,Matiss Kivlenieks,Columbus Blue Jackets,2,3.40,.901,1,1,0,0,123,64,7,https://www.eliteprospects.com/player/190622/matiss-kivlenieks,2020-2019,nhl
81,Michael Houser,Buffalo Sabres,4,3.46,.901,2,2,0,0,243,127,14,https://www.eliteprospects.com/player/32977/michael-houser,2020-2019,nhl
82,Keith Kinkaid,New York Rangers,9,2.59,.898,3,2,1,1,486,184,21,https://www.eliteprospects.com/player/14384/keith-kinkaid,2020-2019,nhl
83,Joey Daccord,Ottawa Senators,8,3.27,.897,1,3,1,0,403,192,22,https://www.eliteprospects.com/player/248377/joey-daccord,2020-2019,nhl
84,Alex Lyon,Philadelphia Flyers,6,3.33,.893,1,3,1,0,324,151,18,https://www.eliteprospects.com/player/114768/alex-lyon,2020-2019,nhl
85,Dan Vladar,Boston Bruins,5,3.40,.886,2,2,1,0,300,132,17,https://www.eliteprospects.com/player/215223/dan-vladar,2020-2019,nhl
86,Christopher Gibson,Tampa Bay Lightning,2,2.66,.875,1,1,0,0,113,35,5,https://www.eliteprospects.com/player/40999/christopher-gibson,2020-2019,nhl
87,Calvin Pickard,Detroit Red Wings,6,3.16,.874,2,1,1,0,304,111,16,https://www.eliteprospects.com/player/23165/calvin-pickard,2020-2019,nhl
88,Louis Domingue,Calgary Flames,1,3.12,.870,0,1,0,0,58,20,3,https://www.eliteprospects.com/player/31515/louis-domingue,2020-2019,nhl
89,Stuart Skinner,Edmonton Oilers,1,5.03,.868,1,0,0,0,60,33,5,https://www.eliteprospects.com/player/166664/stuart-skinner,2020-2019,nhl
90,Alexei Melnichuk,San Jose Sharks,3,5.05,.864,0,1,1,0,131,70,11,https://www.eliteprospects.com/player/353321/alexei-melnichuk,2020-2019,nhl
91,Oscar Dansk,Vegas Golden Knights,1,3.91,.862,1,0,0,0,61,25,4,https://www.eliteprospects.com/player/42373/oscar-dansk,2020-2019,nhl
92,Aaron Dell,New Jersey Devils,7,4.14,.857,1,5,0,0,319,132,22,https://www.eliteprospects.com/player/25790/aaron-dell,2020-2019,nhl
93,Cayden Primeau,Montréal Canadiens,4,4.16,.849,1,2,1,0,202,79,14,https://www.eliteprospects.com/player/256228/cayden-primeau,2020-2019,nhl
94,Hunter Miska,Colorado Avalanche,5,4.15,.838,1,1,2,0,260,93,18,https://www.eliteprospects.com/player/151823/hunter-miska,2020-2019,nhl
95,Ivan Prosvetov,Arizona Coyotes,3,4.15,.824,0,1,0,0,130,42,9,https://www.eliteprospects.com/player/361155/ivan-prosvetov,2020-2019,nhl
96,Artyom Zagidulin,Calgary Flames,1,4.25,.818,0,0,0,0,28,9,2,https://www.eliteprospects.com/player/242051/artyom-zagidulin,2020-2019,nhl
97,Veini Vehviläinen,Columbus Blue Jackets,1,5.62,.750,0,0,0,0,11,3,1,https://www.eliteprospects.com/player/176290/veini-vehvilainen,2020-2019,nhl
