,player,team,gp,gaa,sv%,w,l,t,so,toi,svs,ga,link,season,league
0,Jeremy Swayman,Boston Bruins,10,1.50,.945,7,3,0,2,602,256,15,https://www.eliteprospects.com/player/269688/jeremy-swayman,2020-2019,nhl
1,Alex Nedeljkovic,Carolina Hurricanes,23,1.90,.932,15,5,3,3,1392,604,44,https://www.eliteprospects.com/player/135425/alex-nedeljkovic,2020-2019,nhl
2,Semyon Varlamov,New York Islanders,36,2.04,.929,19,11,4,7,2117,948,72,https://www.eliteprospects.com/player/9308/semyon-varlamov,2020-2019,nhl
3,Marc-André Fleury,Vegas Golden Knights,36,1.98,.928,26,10,0,6,2147,918,71,https://www.eliteprospects.com/player/3655/marc-andre-fleury,2020-2019,nhl
4,Chris Driedger,Florida Panthers,23,2.07,.927,14,6,3,3,1362,593,47,https://www.eliteprospects.com/player/59689/chris-driedger,2020-2019,nhl
5,Juuse Saros,Nashville Predators,36,2.28,.927,21,11,1,3,2052,995,78,https://www.eliteprospects.com/player/50744/juuse-saros,2020-2019,nhl
6,Andrei Vasilevsky,Tampa Bay Lightning,42,2.21,.925,31,10,1,5,2524,1144,93,https://www.eliteprospects.com/player/70424/andrei-vasilevsky,2020-2019,nhl
7,Petr Mrázek,Carolina Hurricanes,12,2.06,.923,6,2,3,3,671,275,23,https://www.eliteprospects.com/player/34797/petr-mrazek,2020-2019,nhl
8,Mike Smith,Edmonton Oilers,32,2.31,.923,21,6,2,3,1847,850,71,https://www.eliteprospects.com/player/10173/mike-smith,2020-2019,nhl
9,Philipp Grubauer,Colorado Avalanche,40,1.95,.922,30,9,1,7,2367,916,77,https://www.eliteprospects.com/player/17632/philipp-grubauer,2020-2019,nhl
10,Jack Campbell,Toronto Maple Leafs,22,2.15,.921,17,3,2,2,1284,539,46,https://www.eliteprospects.com/player/20709/jack-campbell,2020-2019,nhl
11,Ilya Sorokin,New York Islanders,22,2.17,.918,13,6,3,3,1272,517,46,https://www.eliteprospects.com/player/214182/ilya-sorokin,2020-2019,nhl
12,Laurent Brossoit,Winnipeg Jets,14,2.42,.918,6,6,0,1,744,338,30,https://www.eliteprospects.com/player/37133/laurent-brossoit,2020-2019,nhl
13,Linus Ullmark,Buffalo Sabres,20,2.63,.917,9,6,3,0,1117,542,49,https://www.eliteprospects.com/player/19760/linus-ullmark,2020-2019,nhl
14,Connor Hellebuyck,Winnipeg Jets,45,2.58,.916,24,17,3,4,2603,1223,112,https://www.eliteprospects.com/player/142796/connor-hellebuyck,2020-2019,nhl
15,Igor Shestyorkin,New York Rangers,35,2.62,.916,16,14,3,2,1899,904,83,https://www.eliteprospects.com/player/195577/igor-shestyorkin,2020-2019,nhl
16,Elvis Merzlikins,Columbus Blue Jackets,28,2.77,.916,8,12,5,2,1497,756,69,https://www.eliteprospects.com/player/66584/elvis-merzlikins,2020-2019,nhl
17,Cam Talbot,Minnesota Wild,33,2.63,.915,19,8,5,2,1961,922,86,https://www.eliteprospects.com/player/33246/cam-talbot,2020-2019,nhl
18,Thatcher Demko,Vancouver Canucks,35,2.85,.915,16,18,1,1,2087,1065,99,https://www.eliteprospects.com/player/155248/thatcher-demko,2020-2019,nhl
19,Jonathan Bernier,Detroit Red Wings,24,2.99,.914,9,11,1,0,1306,692,65,https://www.eliteprospects.com/player/9330/jonathan-bernier,2020-2019,nhl
20,Tuukka Rask,Boston Bruins,24,2.28,.913,15,5,2,2,1396,558,53,https://www.eliteprospects.com/player/4217/tuukka-rask,2020-2019,nhl
21,Robin Lehner,Vegas Golden Knights,19,2.29,.913,13,4,2,1,1155,461,44,https://www.eliteprospects.com/player/9796/robin-lehner,2020-2019,nhl
22,Adin Hill,Arizona Coyotes,19,2.74,.913,9,9,1,2,1006,484,46,https://www.eliteprospects.com/player/62230/adin-hill,2020-2019,nhl
23,Casey DeSmith,Pittsburgh Penguins,20,2.54,.912,11,7,0,2,1132,495,48,https://www.eliteprospects.com/player/45724/casey-desmith,2020-2019,nhl
24,Thomas Greiss,Detroit Red Wings,34,2.70,.912,8,15,8,2,1755,815,79,https://www.eliteprospects.com/player/10954/thomas-greiss,2020-2019,nhl
